link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1,3,1.000000,10.000000,6.215040,10.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5447.781,-1.000,0.000,5447.781,5447.781,0.000,,,,0.000,5447.781,15.161,39.575,24.596,0.660,1.362,1.362,4000.000,0.000,0.000,0.000,1.000,1.000,5447.781,0.955,1.142,1.359,0.750,60.000,51.000,0.400,4.000,26.304,21.577,33858.176,1376.559,33858.176,1376.559,468.596,308.367,"LINESTRING (0.017882 -0.125179 ,19.778254 14.806867 )",5447.781,60.000,60.000,60.000,60.000,33.839,23.449,22.223,29.043,53.215,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5447.781,5447.781,0.000,39.575,39.575,0.000,1.362,1.362,0.000,1.359,1.359,period-based
2,bpr,3,2,1.000000,10.000000,6.215040,10.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5447.781,-1.000,0.000,5447.781,5447.781,0.000,,,,0.000,5447.781,15.161,39.575,24.596,0.660,1.362,1.362,4000.000,0.000,0.000,0.000,1.000,1.000,5447.781,0.955,1.142,1.359,0.750,60.000,51.000,0.400,4.000,26.304,21.577,33858.176,1376.559,33858.176,1376.559,468.596,308.367,"LINESTRING (19.778254 14.806867 ,40.253933 0.053648 )",5447.781,60.000,60.000,60.000,60.000,33.839,23.449,22.223,29.043,53.215,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5447.781,5447.781,0.000,39.575,39.575,0.000,1.362,1.362,0.000,1.359,1.359,period-based
3,bpr,1,4,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,-1,2,,,0700_0800,1552.219,-1.000,0.000,1552.219,1552.219,0.000,,,,0.000,1552.219,15.161,59.362,36.894,0.989,0.517,0.517,3000.000,0.000,0.000,0.000,1.000,1.000,1552.219,0.955,1.142,0.068,0.000,60.000,51.000,0.400,4.000,57.934,51.000,14470.660,392.227,14470.660,392.227,4.172,0.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",1552.219,60.000,60.000,60.000,60.000,59.630,58.522,55.891,59.261,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,1552.219,1552.219,0.000,59.362,59.362,0.000,0.517,0.517,0.000,0.068,0.068,period-based
4,bpr,4,2,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,-1,2,,,0700_0800,1552.219,-1.000,0.000,1552.219,1552.219,0.000,,,,0.000,1552.219,15.161,59.362,36.894,0.989,0.517,0.517,3000.000,0.000,0.000,0.000,1.000,1.000,1552.219,0.955,1.142,0.068,0.000,60.000,51.000,0.400,4.000,57.934,51.000,14470.660,392.227,14470.660,392.227,4.172,0.000,"LINESTRING (19.688841 -9.692418 ,40.253933 0.053648 )",1552.219,60.000,60.000,60.000,60.000,59.630,58.522,55.891,59.261,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,1552.219,1552.219,0.000,59.362,59.362,0.000,0.517,0.517,0.000,0.068,0.068,period-based
