first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_agent_type_sequence,information_type,agent_type,demand_period,volume,OD_relative_gap,travel_time,path_gap,preload_volume,volume_before_odme,volume_after_odme,volume_diff_odme,rt_new_path_flag,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,#_of_SA_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, ODME_TT_0,ODME_TT_1,ODME_TT_2,ODME_Vol_0,ODME_Vol_1,ODME_Vol_2,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,1,1,2,0,1,1->2,0,1,,,0,p,AM,5447.7806,0.0000,30.3219,0.0000,0.0000,5447.7806,5447.7806,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,30.3,30.3219,30.3219,20.0000,12.4301,1;3;2;,1;2;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)",,,,,
,2,1,2,0,1,1->2,1,2,,,0,p,AM,1552.2195,0.0000,30.3225,0.0000,0.0000,1552.2195,1552.2195,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,30.3,30.3225,30.3225,30.0000,18.6451,1;4;2;,3;4;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (0.017882 -0.125179, 19.688841 -9.692418, 40.253933 0.053648)",,,,,
