link_type,link_type_name,name_description,type_code,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,peak_load_factor_p1_auto,peak_load_factor_p1_bike,peak_load_factor_p1_walk,free_speed_bike,free_speed_walk,capacity_bike,capacity_walk,lanes_bike,lanes_walk,k_jam_km,meu_auto_bike,meu_auto_walk,meu_bike_walk,meu_bike_auto,meu_walk_bike,meu_walk_auto,emissions_auto_co2,emissions_auto_nox,emissions_bike_co2,emissions_bike_nox,emissions_walk_co2,emissions_walk_nox,emissions_ev_co2,emissions_ev_nox,emissions_truck_co2,emissions_truck_nox,emissions_bus_co2,emissions_bus_nox,emissions_hov_co2,emissions_hov_nox
0,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
1,motorway,motorway,f,kw,,,,1,1,1,25,5,300,200,0,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3412,5.53516;0.0003;0.0043;0.0959,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0959,23816.14583;0.0002;0.0042;0.3412,6.342370833;0.0003;0.0043;0.0959,25115.20833;0.0002;0.0042;0.3412,6.688318333;0.0003;0.0043;0.0959,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0959
2,trunk,trunk,a,spatial_queue,,,,1,1,1,25,5,300,200,0,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3413,5.53516;0.0003;0.0043;0.0960,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0960,23816.14583;0.0002;0.0042;0.3413,6.342370833;0.0003;0.0043;0.0960,25115.20833;0.0002;0.0042;0.3413,6.688318333;0.0003;0.0043;0.0960,10392.99771;0.0002;0.0042;0.3413,2;0.0003;0.0043;0.0960
3,primary,primary,a,spatial_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3414,5.53516;0.0003;0.0043;0.0961,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3413,2;0.0003;0.0043;0.0961,23816.14583;0.0002;0.0042;0.3414,6.342370833;0.0003;0.0043;0.0961,25115.20833;0.0002;0.0042;0.3414,6.688318333;0.0003;0.0043;0.0961,10392.99771;0.0002;0.0042;0.3414,2;0.0003;0.0043;0.0961
4,residential,residential,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3415,5.53516;0.0003;0.0043;0.0962,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3414,2;0.0003;0.0043;0.0962,23816.14583;0.0002;0.0042;0.3415,6.342370833;0.0003;0.0043;0.0962,25115.20833;0.0002;0.0042;0.3415,6.688318333;0.0003;0.0043;0.0962,10392.99771;0.0002;0.0042;0.3415,2;0.0003;0.0043;0.0962
5,secondary,secondary,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3416,5.53516;0.0003;0.0043;0.0963,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3415,2;0.0003;0.0043;0.0963,23816.14583;0.0002;0.0042;0.3416,6.342370833;0.0003;0.0043;0.0963,25115.20833;0.0002;0.0042;0.3416,6.688318333;0.0003;0.0043;0.0963,10392.99771;0.0002;0.0042;0.3416,2;0.0003;0.0043;0.0963
6,tertiary,tertiary,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3417,5.53516;0.0003;0.0043;0.0964,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3416,2;0.0003;0.0043;0.0964,23816.14583;0.0002;0.0042;0.3417,6.342370833;0.0003;0.0043;0.0964,25115.20833;0.0002;0.0042;0.3417,6.688318333;0.0003;0.0043;0.0964,10392.99771;0.0002;0.0042;0.3417,2;0.0003;0.0043;0.0964
7,unclassified,unclassified,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3418,5.53516;0.0003;0.0043;0.0965,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3417,2;0.0003;0.0043;0.0965,23816.14583;0.0002;0.0042;0.3418,6.342370833;0.0003;0.0043;0.0965,25115.20833;0.0002;0.0042;0.3418,6.688318333;0.0003;0.0043;0.0965,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0965
9,collector,collector,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3419,5.53516;0.0003;0.0043;0.0966,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0966,23816.14583;0.0002;0.0042;0.3419,6.342370833;0.0003;0.0043;0.0966,25115.20833;0.0002;0.0042;0.3419,6.688318333;0.0003;0.0043;0.0966,10392.99771;0.0002;0.0042;0.3419,2;0.0003;0.0043;0.0966
10,connector,connector,c,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,,,,,,,,,,,,,,
20,shared_use,,a,point_queue,,,,1,1,1,25,5,300,200,1,1,300,0.5,0,0,2,0,0,20785.99541;0.0002;0.0042;0.3419,5.53516;0.0003;0.0043;0.0966,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0966,23816.14583;0.0002;0.0042;0.3419,6.342370833;0.0003;0.0043;0.0966,25115.20833;0.0002;0.0042;0.3419,6.688318333;0.0003;0.0043;0.0966,10392.99771;0.0002;0.0042;0.3419,2;0.0003;0.0043;0.0966
80,bikeonly,Bike only,a,point_queue,bike,bike,bike,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3420,5.53516;0.0003;0.0043;0.0967,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3419,2;0.0003;0.0043;0.0967,23816.14583;0.0002;0.0042;0.3420,6.342370833;0.0003;0.0043;0.0967,25115.20833;0.0002;0.0042;0.3420,6.688318333;0.0003;0.0043;0.0967,10392.99771;0.0002;0.0042;0.3420,2;0.0003;0.0043;0.0967
90,walkonly,walk only,a,point_queue,walk,walk,walk,1,1,1,25,5,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3421,5.53516;0.0003;0.0043;0.0968,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3420,2;0.0003;0.0043;0.0968,23816.14583;0.0002;0.0042;0.3421,6.342370833;0.0003;0.0043;0.0968,25115.20833;0.0002;0.0042;0.3421,6.688318333;0.0003;0.0043;0.0968,10392.99771;0.0002;0.0042;0.3421,2;0.0003;0.0043;0.0968
100,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
101,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3423,5.53516;0.0003;0.0043;0.0970,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3422,2;0.0003;0.0043;0.0970,23816.14583;0.0002;0.0042;0.3423,6.342370833;0.0003;0.0043;0.0970,25115.20833;0.0002;0.0042;0.3423,6.688318333;0.0003;0.0043;0.0970,10392.99771;0.0002;0.0042;0.3423,2;0.0003;0.0043;0.0970
102,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3424,5.53516;0.0003;0.0043;0.0971,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3423,2;0.0003;0.0043;0.0971,23816.14583;0.0002;0.0042;0.3424,6.342370833;0.0003;0.0043;0.0971,25115.20833;0.0002;0.0042;0.3424,6.688318333;0.0003;0.0043;0.0971,10392.99771;0.0002;0.0042;0.3424,2;0.0003;0.0043;0.0971
103,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3425,5.53516;0.0003;0.0043;0.0972,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3424,2;0.0003;0.0043;0.0972,23816.14583;0.0002;0.0042;0.3425,6.342370833;0.0003;0.0043;0.0972,25115.20833;0.0002;0.0042;0.3425,6.688318333;0.0003;0.0043;0.0972,10392.99771;0.0002;0.0042;0.3425,2;0.0003;0.0043;0.0972
104,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3426,5.53516;0.0003;0.0043;0.0973,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3425,2;0.0003;0.0043;0.0973,23816.14583;0.0002;0.0042;0.3426,6.342370833;0.0003;0.0043;0.0973,25115.20833;0.0002;0.0042;0.3426,6.688318333;0.0003;0.0043;0.0973,10392.99771;0.0002;0.0042;0.3426,2;0.0003;0.0043;0.0973
105,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3427,5.53516;0.0003;0.0043;0.0974,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3426,2;0.0003;0.0043;0.0974,23816.14583;0.0002;0.0042;0.3427,6.342370833;0.0003;0.0043;0.0974,25115.20833;0.0002;0.0042;0.3427,6.688318333;0.0003;0.0043;0.0974,10392.99771;0.0002;0.0042;0.3427,2;0.0003;0.0043;0.0974
106,Ramp,,r,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3428,5.53516;0.0003;0.0043;0.0975,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3427,2;0.0003;0.0043;0.0975,23816.14583;0.0002;0.0042;0.3428,6.342370833;0.0003;0.0043;0.0975,25115.20833;0.0002;0.0042;0.3428,6.688318333;0.0003;0.0043;0.0975,10392.99771;0.0002;0.0042;0.3428,2;0.0003;0.0043;0.0975
200,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
201,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3430,5.53516;0.0003;0.0043;0.0977,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3429,2;0.0003;0.0043;0.0977,23816.14583;0.0002;0.0042;0.3430,6.342370833;0.0003;0.0043;0.0977,25115.20833;0.0002;0.0042;0.3430,6.688318333;0.0003;0.0043;0.0977,10392.99771;0.0002;0.0042;0.3430,2;0.0003;0.0043;0.0977
202,Major Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3431,5.53516;0.0003;0.0043;0.0978,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3430,2;0.0003;0.0043;0.0978,23816.14583;0.0002;0.0042;0.3431,6.342370833;0.0003;0.0043;0.0978,25115.20833;0.0002;0.0042;0.3431,6.688318333;0.0003;0.0043;0.0978,10392.99771;0.0002;0.0042;0.3431,2;0.0003;0.0043;0.0978
203,Minor Arterial,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3432,5.53516;0.0003;0.0043;0.0979,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3431,2;0.0003;0.0043;0.0979,23816.14583;0.0002;0.0042;0.3432,6.342370833;0.0003;0.0043;0.0979,25115.20833;0.0002;0.0042;0.3432,6.688318333;0.0003;0.0043;0.0979,10392.99771;0.0002;0.0042;0.3432,2;0.0003;0.0043;0.0979
204,Collector,,a,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3433,5.53516;0.0003;0.0043;0.0980,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3432,2;0.0003;0.0043;0.0980,23816.14583;0.0002;0.0042;0.3433,6.342370833;0.0003;0.0043;0.0980,25115.20833;0.0002;0.0042;0.3433,6.688318333;0.0003;0.0043;0.0980,10392.99771;0.0002;0.0042;0.3433,2;0.0003;0.0043;0.0980
205,Expressway,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3434,5.53516;0.0003;0.0043;0.0981,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3433,2;0.0003;0.0043;0.0981,23816.14583;0.0002;0.0042;0.3434,6.342370833;0.0003;0.0043;0.0981,25115.20833;0.0002;0.0042;0.3434,6.688318333;0.0003;0.0043;0.0981,10392.99771;0.0002;0.0042;0.3434,2;0.0003;0.0043;0.0981
206,Ramp,,r,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3435,5.53516;0.0003;0.0043;0.0982,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3434,2;0.0003;0.0043;0.0982,23816.14583;0.0002;0.0042;0.3435,6.342370833;0.0003;0.0043;0.0982,25115.20833;0.0002;0.0042;0.3435,6.688318333;0.0003;0.0043;0.0982,10392.99771;0.0002;0.0042;0.3435,2;0.0003;0.0043;0.0982
300,Centroids,,c,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,,,,,,,,,,,,,,
301,Freeways,,f,point_queue,,,,,,,,,,,,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3437,5.53516;0.0003;0.0043;0.0984,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3436,2;0.0003;0.0043;0.0984,23816.14583;0.0002;0.0042;0.3437,6.342370833;0.0003;0.0043;0.0984,25115.20833;0.0002;0.0042;0.3437,6.688318333;0.0003;0.0043;0.0984,10392.99771;0.0002;0.0042;0.3437,2;0.0003;0.0043;0.0984
