iteration_no,link_id,from_node_id,to_node_id,volume,travel_time
0,1,1,4,0,15
0,2,4,2,0,15
0,3,1,3,0,30
0,4,3,2,0,30
1,1,1,4,2700,16.4762
1,2,4,2,2700,16.4762
1,3,1,3,0,30
1,4,3,2,0,30
2,1,1,4,2700,16.4762
2,2,4,2,2700,16.4762
2,3,1,3,0,30
2,4,3,2,0,30
3,1,1,4,2700,16.4762
3,2,4,2,2700,16.4762
3,3,1,3,0,30
3,4,3,2,0,30
4,1,1,4,2700,16.4762
4,2,4,2,2700,16.4762
4,3,1,3,0,30
4,4,3,2,0,30
5,1,1,4,2700,16.4762
5,2,4,2,2700,16.4762
5,3,1,3,0,30
5,4,3,2,0,30
6,1,1,4,2700,16.4762
6,2,4,2,2700,16.4762
6,3,1,3,0,30
6,4,3,2,0,30
7,1,1,4,2700,16.4762
7,2,4,2,2700,16.4762
7,3,1,3,0,30
7,4,3,2,0,30
8,1,1,4,2700,16.4762
8,2,4,2,2700,16.4762
8,3,1,3,0,30
8,4,3,2,0,30
9,1,1,4,2700,16.4762
9,2,4,2,2700,16.4762
9,3,1,3,0,30
9,4,3,2,0,30
10,1,1,4,2700,16.4762
10,2,4,2,2700,16.4762
10,3,1,3,0,30
10,4,3,2,0,30
11,1,1,4,2700,16.4762
11,2,4,2,2700,16.4762
11,3,1,3,0,30
11,4,3,2,0,30
12,1,1,4,2700,16.4762
12,2,4,2,2700,16.4762
12,3,1,3,0,30
12,4,3,2,0,30
13,1,1,4,2700,16.4762
13,2,4,2,2700,16.4762
13,3,1,3,0,30
13,4,3,2,0,30
14,1,1,4,2700,16.4762
14,2,4,2,2700,16.4762
14,3,1,3,0,30
14,4,3,2,0,30
15,1,1,4,2700,16.4762
15,2,4,2,2700,16.4762
15,3,1,3,0,30
15,4,3,2,0,30
16,1,1,4,2700,16.4762
16,2,4,2,2700,16.4762
16,3,1,3,0,30
16,4,3,2,0,30
17,1,1,4,2700,16.4762
17,2,4,2,2700,16.4762
17,3,1,3,0,30
17,4,3,2,0,30
18,1,1,4,2700,16.4762
18,2,4,2,2700,16.4762
18,3,1,3,0,30
18,4,3,2,0,30
19,1,1,4,2700,16.4762
19,2,4,2,2700,16.4762
19,3,1,3,0,30
19,4,3,2,0,30
0,1,1,4,2700,16.4762
0,2,4,2,2700,16.4762
0,3,1,3,0,30
0,4,3,2,0,30
20,1,1,4,2700,16.4762
20,2,4,2,2700,16.4762
20,3,1,3,0,30
20,4,3,2,0,30
0,1,1,4,2700,90
0,2,4,2,2700,16.4762
0,3,1,3,0,30
0,4,3,2,0,30
0,1,1,4,2700,90
0,2,4,2,2700,16.4762
0,3,1,3,0,30
0,4,3,2,0,30
0,1,1,4,2700,90
0,2,4,2,2700,16.4762
0,3,1,3,0,30
0,4,3,2,0,30
1,1,1,4,2700,90
1,2,4,2,2700,16.4762
1,3,1,3,0,30
1,4,3,2,0,30
2,1,1,4,2700,90
2,2,4,2,2700,16.4762
2,3,1,3,0,30
2,4,3,2,0,30
3,1,1,4,2700,90
3,2,4,2,2700,16.4762
3,3,1,3,0,30
3,4,3,2,0,30
4,1,1,4,2700,90
4,2,4,2,2700,16.4762
4,3,1,3,0,30
4,4,3,2,0,30
5,1,1,4,2700,90
5,2,4,2,2700,16.4762
5,3,1,3,0,30
5,4,3,2,0,30
6,1,1,4,2700,90
6,2,4,2,2700,16.4762
6,3,1,3,0,30
6,4,3,2,0,30
7,1,1,4,2700,90
7,2,4,2,2700,16.4762
7,3,1,3,0,30
7,4,3,2,0,30
8,1,1,4,2700,90
8,2,4,2,2700,16.4762
8,3,1,3,0,30
8,4,3,2,0,30
9,1,1,4,2700,90
9,2,4,2,2700,16.4762
9,3,1,3,0,30
9,4,3,2,0,30
0,1,1,4,0,15
0,2,4,2,0,15
0,3,1,3,0,30
0,4,3,2,0,30
