link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_info,MEU_vol_auto,MEU_vol_info,mode_link_cap_auto,mode_link_cap_info,mode_DOC_auto,mode_DOC_info,mode_TT_auto,mode_TT_info,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,4,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0700_0800,2701.002,-1.000,0.000,,2:2700;,0.000,0.000,0.000,,,,0.000,2701.002,90.000,10.000,6.215,0.167,9.990,9.990,3000.000,30.000,0.000,267140.479,98.904,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,25180.252,4051.502,25180.252,4051.502,3376.252,3257.090,"LINESTRING (0 -0.1, 19.7 -9.7)",2700.000,1.002,2700.000,1.002,3000.000,2000.000,9.990000,0.900000,90.000,90.000,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,lane_closure,3000.000,2701.002,-298.998,10.000,10.000,0.000,9.990,9.990,0.000,0.627,0.627,0.000,period-based
1,1,bpr,1,4,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0800_0900,3000.000,-1.000,0.000,,2:2700;,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,267140.479,89.047,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (0 -0.1, 19.7 -9.7)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
1,1,bpr,1,4,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0900_1000,3000.000,-1.000,0.000,,2:2700;,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,267140.479,89.047,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (0 -0.1, 19.7 -9.7)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
1,1,bpr,1,4,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,1000_1100,3000.000,-1.000,0.000,,2:2700;,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,267140.479,89.047,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (0 -0.1, 19.7 -9.7)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
2,2,bpr,4,2,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0700_0800,2701.002,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2701.002,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,0.000,0.000,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,25180.252,741.705,25180.252,741.705,66.455,0.000,"LINESTRING (19.7 -9.7, 40.3 0.1)",2700.000,1.002,2700.000,1.002,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,2701.002,-298.998,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
2,2,bpr,4,2,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0800_0900,3000.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,0.000,0.000,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (19.7 -9.7, 40.3 0.1)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
2,2,bpr,4,2,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0900_1000,3000.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,0.000,0.000,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (19.7 -9.7, 40.3 0.1)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
2,2,bpr,4,2,1.000000,15.000000,9.322561,15.000000,-1,0,,network_wide,-1,0,-1,1,3,,,1000_1100,3000.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,3000.000,16.476,54.624,33.949,0.910,0.900,0.900,3000.000,3000.000,0.000,0.000,0.000,1.000,1.000,2700.000,0.955,1.142,0.627,0.000,60.000,51.000,0.400,4.000,45.235,48.038,27967.682,823.811,27967.682,823.811,73.811,0.000,"LINESTRING (19.7 -9.7, 40.3 0.1)",2700.000,300.000,2700.000,300.000,3000.000,2000.000,0.900000,0.900000,16.476,16.476,60.000,60.000,60.000,60.000,58.927,59.219,59.512,59.805,59.050,59.309,59.568,59.827,59.148,59.381,59.613,59.845,59.228,59.439,59.649,59.860,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3000.000,3000.000,0.000,54.624,54.624,0.000,0.900,0.900,0.000,0.627,0.627,0.000,period-based
3,3,bpr,1,3,1.000000,30.000000,18.645121,30.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0700_0800,298.998,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,298.998,30.000,60.000,37.290,1.000,0.000,0.000,3000.000,3000.000,0.000,0.646,0.002,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,5574.860,149.499,5574.860,149.499,0.000,0.000,"LINESTRING (0 -0.1, 19.8 14.8)",0.000,298.998,0.000,298.998,3000.000,2000.000,0.000000,0.000000,30.000,30.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,298.998,298.998,60.000,60.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
3,3,bpr,1,3,1.000000,30.000000,18.645121,30.000000,-1,0,,network_wide,-1,0,-1,1,3,,,0800_0900,0.000,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,0.000,30.000,60.000,37.290,1.000,0.000,0.000,3000.000,3000.000,0.000,0.646,0.646,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (0 -0.1, 19.8 14.8)",0.000,0.000,0.000,0.000,3000.000,2000.000,0.000000,0.000000,30.000,30.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,60.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
