link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,volume,CA,CD,density,queue,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0721:00.000_0722:00.000,49.000,55.000,896.000,99.000,53.133,797.000,0.177,50.000,15.004,0.249,59.983,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0722:00.000_0723:00.000,49.000,48.000,945.000,147.000,53.200,798.000,0.177,50.000,15.005,0.275,59.982,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0723:00.000_0724:00.000,49.000,51.000,994.000,198.000,53.067,796.000,0.177,50.000,15.005,0.319,59.979,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0724:00.000_0725:00.000,56.000,49.000,1050.000,247.000,53.533,803.000,0.178,50.000,15.004,0.249,59.983,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0725:00.000_0726:00.000,49.000,49.000,1099.000,296.000,53.533,803.000,0.178,50.000,15.005,0.285,59.981,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0726:00.000_0727:00.000,49.000,52.000,1148.000,348.000,53.333,800.000,0.178,50.000,15.006,0.351,59.977,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0727:00.000_0728:00.000,56.000,51.000,1204.000,399.000,53.667,805.000,0.179,50.000,15.005,0.272,59.982,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0728:00.000_0729:00.000,49.000,49.000,1253.000,448.000,53.667,805.000,0.179,50.000,15.005,0.300,59.980,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0729:00.000_0730:00.000,49.000,46.000,1302.000,494.000,53.867,808.000,0.180,50.000,15.006,0.336,59.978,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
1,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0730:00.000_0731:00.000,56.000,45.000,1358.000,539.000,54.600,819.000,0.182,50.000,15.004,0.270,59.982,"LINESTRING (0 -0.1, 19.7 -9.7)",simulation-based
