first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_travel_delay_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_travel_delay_in_min,avg_speed_kmph,avg_speed_mph,avg_co2_kg,avg_nox_kg,
0,0,base,am7,auto,2700,1,81000,50341.8,287486,206486,48026.8,7.54807,30,18.6451,106.476,76.4762,16.9052,10.5066,17.7877,0.00279558,
0,0,base,am7,info,300,2,18000,11187.1,18000,0,6235.8,1.66055,60,37.2902,60,0,60,37.2902,20.786,0.00553516,
0,0,base,am8,auto,2700,1,81000,50341.8,88971.6,7971.62,27763.7,7.05676,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,0,base,am8,info,300,1,9000,5593.54,9885.74,885.735,3084.85,0.784084,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,0,base,am9,auto,2700,1,81000,50341.8,88971.6,7971.62,27763.7,7.05676,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,0,base,am9,info,300,1,9000,5593.54,9885.74,885.735,3084.85,0.784084,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,0,base,am10,auto,2700,1,81000,50341.8,88971.6,7971.62,27763.7,7.05676,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,0,base,am10,info,300,1,9000,5593.54,9885.74,885.735,3084.85,0.784084,30,18.6451,32.9525,2.95245,54.6242,33.9491,10.2828,0.00261361,
0,1,info,am7,auto,1500,1,45000,27967.7,157711,112711,26750.4,4.29554,30,18.6451,105.141,75.1406,17.1199,10.6401,17.8336,0.00286369,
0,1,info,am7,info,1500,2,90000,55935.4,90000,0,31179,8.30274,60,37.2902,60,0,60,37.2902,20.786,0.00553516,
0,1,info,am8,auto,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
0,1,info,am8,info,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
0,1,info,am9,auto,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
0,1,info,am9,info,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
0,1,info,am10,auto,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
0,1,info,am10,info,1500,1,45000,27967.7,45421.9,421.875,15561.9,4.12476,30,18.6451,30.2813,0.28125,59.4427,36.9439,10.3746,0.00274984,
