link_id,vdf_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,Vam25nbd,Vam25nbb,Vam25nbw,Vam25s1d,Vam25s1b,Vam25s1w,Vmd25nbd,Vmd25nbb,Vmd25nbw,Vmd25s1d,Vmd25s1b,Vmd25s1w,Vpm25nbd,Vpm25nbb,Vpm25nbw,Vpm25s1d,Vpm25s1b,Vpm25s1w,VABam25nbd,VABam25nbb,VABam25nbw,VABam25s1d,VABam25s1b,VABam25s1w,VABmd25nbd,VABmd25nbb,VABmd25nbw,VABmd25s1d,VABmd25s1b,VABmd25s1w,VABpm25nbd,VABpm25nbb,VABpm25nbw,VABpm25s1d,VABpm25s1b,VABpm25s1w,VBAam25nbd,VBAam25nbb,VBAam25nbw,VBAam25s1d,VBAam25s1b,VBAam25s1w,VBAmd25nbd,VBAmd25nbb,VBAmd25nbw,VBAmd25s1d,VBAmd25s1b,VBAmd25s1w,VBApm25nbd,VBApm25nbb,VBApm25nbw,VBApm25s1d,VBApm25s1b,VBApm25s1w,
3,,1,4,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,3183.0,0.0,0.0,2209.8,0.0,0.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
4,,4,2,"LINESTRING (19.688841 -9.692418 ,40.253933 0.053648 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,3183.0,0.0,0.0,2209.8,0.0,0.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
1,,1,3,"LINESTRING (0.017882 -0.125179 ,19.778254 14.806867 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,10817.0,0.0,0.0,11790.2,0.0,0.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
2,,3,2,"LINESTRING (19.778254 14.806867 ,40.253933 0.053648 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,10817.0,0.0,0.0,11790.2,0.0,0.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,-185119262698635661473663566401415454264497375930239988927561728.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
