link_id,vdf_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,p0_s0_d_vol,p0_s0_b_vol,p0_s0_w_vol,p0_s1_d_vol,p0_s1_b_vol,p0_s1_w_vol,p1_s0_d_vol,p1_s0_b_vol,p1_s0_w_vol,p1_s1_d_vol,p1_s1_b_vol,p1_s1_w_vol,p2_s0_d_vol,p2_s0_b_vol,p2_s0_w_vol,p2_s1_d_vol,p2_s1_b_vol,p2_s1_w_vol,am_s_25nb_d_vol,am_s_25nb_b_vol,am_s_25nb_w_vol,am_s_25s1_d_vol,am_s_25s1_b_vol,am_s_25s1_w_vol,md_s_25nb_d_vol,md_s_25nb_b_vol,md_s_25nb_w_vol,md_s_25s1_d_vol,md_s_25s1_b_vol,md_s_25s1_w_vol,pm_s_25nb_d_vol,pm_s_25nb_b_vol,pm_s_25nb_w_vol,pm_s_25s1_d_vol,pm_s_25s1_b_vol,pm_s_25s1_w_vol,
3,,1,4,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
3,,4,1,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
4,,4,2,"LINESTRING (19.688841 -9.692418 ,40.253933 0.053648 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
4,,2,4,"LINESTRING (19.688841 -9.692418 ,40.253933 0.053648 )",15.000000,9.322561,15.000000,-1,,network_wide,-1,0,-1,-1,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,1591.5,0.0,0.0,1104.9,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
1,,1,3,"LINESTRING (0.017882 -0.125179 ,19.778254 14.806867 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
1,,3,1,"LINESTRING (0.017882 -0.125179 ,19.778254 14.806867 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
2,,3,2,"LINESTRING (19.778254 14.806867 ,40.253933 0.053648 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
2,,2,3,"LINESTRING (19.778254 14.806867 ,40.253933 0.053648 )",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,5408.5,0.0,0.0,5895.1,0.0,0.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,-92559631349317830736831783200707727132248687965119994463780864.0,
