iteration,agent_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,b,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,d,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,w,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,b,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,d,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,w,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,b,1,2,-1,1,3,90.909264,-34.090904,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,d,1,2,-1,1,3,20.000170,-105.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,w,1,2,-1,1,3,250.000168,125.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,b,1,2,-1,1,3,90.909264,-34.090904,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,d,1,2,-1,1,3,20.000170,-105.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,w,1,2,-1,1,3,250.000168,125.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,b,1,3,-1,1,1,45.454716,45.454548,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,d,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,w,1,3,-1,1,1,125.000168,125.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,b,1,3,-1,1,1,45.454716,45.454548,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,d,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,w,1,3,-1,1,1,125.000168,125.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,b,1,4,-1,1,1,68.181992,68.181824,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,d,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,w,1,4,-1,1,1,187.500168,187.500000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,b,1,4,-1,1,1,68.181992,68.181824,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,d,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,w,1,4,-1,1,1,187.500168,187.500000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,b,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,d,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,w,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,b,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,d,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,w,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,b,1,-2,2,1,2,90.909431,-159.090729,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
0,d,1,-2,2,1,2,20.000340,-229.999832,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
0,w,1,-2,2,1,2,250.000336,0.000168,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,b,1,-2,2,1,2,90.909431,-159.090729,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,d,1,-2,2,1,2,20.000340,-229.999832,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,w,1,-2,2,1,2,250.000336,0.000168,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
