link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,outflow_volume,CA,CD,density,queue_length_in_process,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed_kmph,speed_mph,geometry,notes
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0731:00.000_0730:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0732:00.000_0731:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0733:00.000_0732:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0734:00.000_0733:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0735:00.000_0734:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0736:00.000_0735:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0737:00.000_0736:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0738:00.000_0737:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0739:00.000_0738:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
3,network_wide,,1,4,-1,,0,15.000,60.000,37.290,15.000,0740:00.000_0739:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-50.000,15.000,0.000,60.000,"LINESTRING (0.017882 -0.125179 ,19.688841 -9.692418 )",simulation-based
