iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,auto,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,rt,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,auto,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,rt,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,auto,1,2,-1,1,3,20.000170,10.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,rt,1,2,-1,1,3,20.000170,10.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,auto,1,2,-1,1,3,20.000170,10.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,rt,1,2,-1,1,3,20.000170,10.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,auto,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,rt,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,auto,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,rt,1,3,-1,1,1,10.000170,10.000000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,auto,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,rt,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,auto,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,rt,1,4,-1,1,1,15.000170,15.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,auto,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,rt,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,auto,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,rt,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,auto,1,-2,2,1,2,20.000340,0.000170,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
0,rt,1,-2,2,1,2,20.000340,0.000170,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,auto,1,-2,2,1,2,20.000340,0.000170,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,rt,1,-2,2,1,2,20.000340,0.000170,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
