agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
37,2,3,T0716:27.249,436.45416,10.000000,600.0000,0,19.778254,14.806867
38,1,1,T0706:30.250,426.50418,0.000000,600.0000,0,0.017882,-0.125179
38,2,3,T0716:30.250,436.50418,10.000000,600.0000,0,19.778254,14.806867
39,1,1,T0706:30.499,426.50833,0.000000,600.4999,1,0.017882,-0.125179
39,2,3,T0716:31.000,436.51666,10.008331,600.0000,0,19.778254,14.806867
40,1,1,T0706:33.750,426.56250,0.000000,600.0000,0,0.017882,-0.125179
40,2,3,T0716:33.750,436.56250,10.000000,600.0000,0,19.778254,14.806867
41,1,1,T0706:37.000,426.61667,0.000000,600.0000,0,0.017882,-0.125179
41,2,3,T0716:37.000,436.61667,10.000000,600.0000,0,19.778254,14.806867
42,1,1,T0706:37.000,426.61667,0.000000,600.9998,3,0.017882,-0.125179
42,2,3,T0716:38.000,436.63333,10.016663,600.0000,0,19.778254,14.806867
43,1,1,T0706:40.250,426.67084,0.000000,600.0000,0,0.017882,-0.125179
43,2,3,T0716:40.250,436.67084,10.000000,600.0000,0,19.778254,14.806867
44,1,1,T0706:43.500,426.72501,0.000000,600.0000,0,0.017882,-0.125179
44,2,3,T0716:43.500,436.72501,10.000000,600.0000,0,19.778254,14.806867
45,1,1,T0706:43.500,426.72501,0.000000,600.4999,1,0.017882,-0.125179
45,2,3,T0716:44.000,436.73334,10.008331,600.0000,0,19.778254,14.806867
46,1,1,T0706:46.750,426.77917,0.000000,600.0000,0,0.017882,-0.125179
46,2,3,T0716:46.750,436.77917,10.000000,600.0000,0,19.778254,14.806867
47,1,1,T0706:50.000,426.83334,0.000000,600.0000,0,0.017882,-0.125179
47,2,3,T0716:50.000,436.83334,10.000000,600.0000,0,19.778254,14.806867
48,1,1,T0706:50.000,426.83334,0.000000,600.9998,3,0.017882,-0.125179
48,2,3,T0716:51.000,436.85001,10.016663,600.0000,0,19.778254,14.806867
49,1,1,T0706:53.250,426.88751,0.000000,600.0000,0,0.017882,-0.125179
49,2,3,T0716:53.250,436.88751,10.000000,600.0000,0,19.778254,14.806867
50,1,1,T0706:56.500,426.94168,0.000000,600.0000,0,0.017882,-0.125179
50,2,3,T0716:56.500,436.94168,10.000000,600.0000,0,19.778254,14.806867
51,1,1,T0706:56.500,426.94168,0.000000,600.4999,1,0.017882,-0.125179
51,2,3,T0716:57.000,436.95001,10.008331,600.0000,0,19.778254,14.806867
52,1,1,T0706:59.749,426.99582,0.000000,600.0000,0,0.017882,-0.125179
52,2,3,T0716:59.749,436.99582,10.000000,600.0000,0,19.778254,14.806867
53,1,1,T0707:03.000,427.04999,0.000000,600.0000,0,0.017882,-0.125179
53,2,3,T0717:03.000,437.04999,10.000000,600.0000,0,19.778254,14.806867
54,1,1,T0707:03.000,427.04999,0.000000,601.0016,4,0.017882,-0.125179
54,2,3,T0717:04.000,437.06668,10.016693,600.0000,0,19.778254,14.806867
55,1,1,T0707:06.249,427.10416,0.000000,600.0000,0,0.017882,-0.125179
55,2,3,T0717:06.249,437.10416,10.000000,600.0000,0,19.778254,14.806867
56,1,1,T0707:09.499,427.15833,0.000000,600.0000,0,0.017882,-0.125179
56,2,3,T0717:09.499,437.15833,10.000000,600.0000,0,19.778254,14.806867
57,1,1,T0707:09.499,427.15833,0.000000,600.4999,1,0.017882,-0.125179
57,2,3,T0717:10.000,437.16666,10.008331,600.0000,0,19.778254,14.806867
58,1,1,T0707:12.749,427.21249,0.000000,600.0000,0,0.017882,-0.125179
58,2,3,T0717:12.749,437.21249,10.000000,600.0000,0,19.778254,14.806867
59,1,1,T0707:16.000,427.26666,0.000000,600.0000,0,0.017882,-0.125179
59,2,3,T0717:16.000,437.26666,10.000000,600.0000,0,19.778254,14.806867
60,1,1,T0707:16.250,427.27084,0.000000,600.7489,2,0.017882,-0.125179
60,2,3,T0717:17.000,437.28333,10.012482,600.0000,0,19.778254,14.806867
61,1,1,T0707:19.249,427.32083,0.000000,600.0000,0,0.017882,-0.125179
61,2,3,T0717:19.249,437.32083,10.000000,600.0000,0,19.778254,14.806867
62,1,1,T0707:22.500,427.37500,0.000000,600.0000,0,0.017882,-0.125179
62,2,3,T0717:22.500,437.37500,10.000000,600.0000,0,19.778254,14.806867
63,1,1,T0707:22.750,427.37918,0.000000,600.2490,0,0.017882,-0.125179
63,2,3,T0717:23.000,437.38333,10.004150,600.0000,0,19.778254,14.806867
64,1,1,T0707:25.750,427.42917,0.000000,600.0000,0,0.017882,-0.125179
64,2,3,T0717:25.750,437.42917,10.000000,600.0000,0,19.778254,14.806867
65,1,1,T0707:29.000,427.48334,0.000000,600.0000,0,0.017882,-0.125179
65,2,3,T0717:29.000,437.48334,10.000000,600.0000,0,19.778254,14.806867
66,1,1,T0707:29.249,427.48749,0.000000,600.7507,3,0.017882,-0.125179
66,2,3,T0717:30.000,437.50000,10.012512,600.0000,0,19.778254,14.806867
67,1,1,T0707:32.250,427.53751,0.000000,600.0000,0,0.017882,-0.125179
67,2,3,T0717:32.250,437.53751,10.000000,600.0000,0,19.778254,14.806867
68,1,1,T0707:35.500,427.59167,0.000000,600.0000,0,0.017882,-0.125179
68,2,3,T0717:35.500,437.59167,10.000000,600.0000,0,19.778254,14.806867
69,1,1,T0707:35.749,427.59583,0.000000,600.2509,1,0.017882,-0.125179
69,2,3,T0717:36.000,437.60001,10.004181,600.0000,0,19.778254,14.806867
70,1,1,T0707:38.750,427.64584,0.000000,600.0000,0,0.017882,-0.125179
70,2,3,T0717:38.750,437.64584,10.000000,600.0000,0,19.778254,14.806867
71,1,1,T0707:42.000,427.70001,0.000000,600.0000,0,0.017882,-0.125179
71,2,3,T0717:42.000,437.70001,10.000000,600.0000,0,19.778254,14.806867
72,1,1,T0707:42.249,427.70416,0.000000,600.7507,3,0.017882,-0.125179
72,2,3,T0717:43.000,437.71667,10.012512,600.0000,0,19.778254,14.806867
73,1,1,T0707:45.250,427.75418,0.000000,600.0000,0,0.017882,-0.125179
73,2,3,T0717:45.250,437.75418,10.000000,600.0000,0,19.778254,14.806867
74,1,1,T0707:48.499,427.80832,0.000000,600.0000,0,0.017882,-0.125179
74,2,3,T0717:48.499,437.80832,10.000000,600.0000,0,19.778254,14.806867
75,1,1,T0707:48.750,427.81250,0.000000,600.2509,1,0.017882,-0.125179
75,2,3,T0717:49.000,437.81668,10.004181,600.0000,0,19.778254,14.806867
76,1,1,T0707:51.749,427.86249,0.000000,600.0000,0,0.017882,-0.125179
76,2,3,T0717:51.749,437.86249,10.000000,600.0000,0,19.778254,14.806867
77,1,1,T0707:55.000,427.91666,0.000000,600.0000,0,0.017882,-0.125179
77,2,3,T0717:55.000,437.91666,10.000000,600.0000,0,19.778254,14.806867
78,1,1,T0707:55.250,427.92084,0.000000,600.7489,2,0.017882,-0.125179
78,2,3,T0717:56.000,437.93332,10.012482,600.0000,0,19.778254,14.806867
79,1,1,T0707:58.500,427.97501,0.000000,600.0000,0,0.017882,-0.125179
79,2,3,T0717:58.500,437.97501,10.000000,600.0000,0,19.778254,14.806867
80,1,1,T0708:01.499,428.02499,0.000000,600.0000,0,0.017882,-0.125179
80,2,3,T0718:01.499,438.02499,10.000000,600.0000,0,19.778254,14.806867
81,1,1,T0708:01.750,428.02917,0.000000,600.2490,0,0.017882,-0.125179
81,2,3,T0718:02.000,438.03333,10.004150,600.0000,0,19.778254,14.806867
82,1,1,T0708:05.000,428.08334,0.000000,600.0000,0,0.017882,-0.125179
82,2,3,T0718:05.000,438.08334,10.000000,600.0000,0,19.778254,14.806867
83,1,1,T0708:08.000,428.13333,0.000000,600.0000,0,0.017882,-0.125179
83,2,3,T0718:08.000,438.13333,10.000000,600.0000,0,19.778254,14.806867
84,1,1,T0708:08.250,428.13751,0.000000,600.7489,2,0.017882,-0.125179
84,2,3,T0718:09.000,438.14999,10.012482,600.0000,0,19.778254,14.806867
85,1,1,T0708:11.500,428.19168,0.000000,600.0000,0,0.017882,-0.125179
85,2,3,T0718:11.500,438.19168,10.000000,600.0000,0,19.778254,14.806867
86,1,1,T0708:14.500,428.24167,0.000000,600.0000,0,0.017882,-0.125179
86,2,3,T0718:14.500,438.24167,10.000000,600.0000,0,19.778254,14.806867
87,1,1,T0708:14.749,428.24582,0.000000,600.2509,1,0.017882,-0.125179
87,2,3,T0718:15.000,438.25000,10.004181,600.0000,0,19.778254,14.806867
88,1,1,T0708:18.000,428.29999,0.000000,600.0000,0,0.017882,-0.125179
88,2,3,T0718:18.000,438.29999,10.000000,600.0000,0,19.778254,14.806867
89,1,1,T0708:21.000,428.35001,0.000000,600.0000,0,0.017882,-0.125179
89,2,3,T0718:21.000,438.35001,10.000000,600.0000,0,19.778254,14.806867
90,1,1,T0708:21.249,428.35416,0.000000,600.7507,3,0.017882,-0.125179
90,2,3,T0718:22.000,438.36667,10.012512,600.0000,0,19.778254,14.806867
91,1,1,T0708:24.499,428.40833,0.000000,600.0000,0,0.017882,-0.125179
91,2,3,T0718:24.499,438.40833,10.000000,600.0000,0,19.778254,14.806867
92,1,1,T0708:27.500,428.45834,0.000000,600.0000,0,0.017882,-0.125179
92,2,3,T0718:27.500,438.45834,10.000000,600.0000,0,19.778254,14.806867
93,1,1,T0708:27.749,428.46249,0.000000,600.2509,1,0.017882,-0.125179
93,2,3,T0718:28.000,438.46667,10.004181,600.0000,0,19.778254,14.806867
94,1,1,T0708:31.000,428.51666,0.000000,600.0000,0,0.017882,-0.125179
94,2,3,T0718:31.000,438.51666,10.000000,600.0000,0,19.778254,14.806867
95,1,1,T0708:34.000,428.56668,0.000000,600.0000,0,0.017882,-0.125179
95,2,3,T0718:34.000,438.56668,10.000000,600.0000,0,19.778254,14.806867
96,1,1,T0708:34.249,428.57083,0.000000,600.7507,3,0.017882,-0.125179
96,2,3,T0718:35.000,438.58334,10.012512,600.0000,0,19.778254,14.806867
97,1,1,T0708:37.500,428.62500,0.000000,600.0000,0,0.017882,-0.125179
97,2,3,T0718:37.500,438.62500,10.000000,600.0000,0,19.778254,14.806867
98,1,1,T0708:40.750,428.67917,0.000000,600.0000,0,0.017882,-0.125179
98,2,3,T0718:40.750,438.67917,10.000000,600.0000,0,19.778254,14.806867
99,1,1,T0708:40.750,428.67917,0.000000,600.2490,0,0.017882,-0.125179
99,2,3,T0718:41.000,438.68332,10.004150,600.0000,0,19.778254,14.806867
100,1,1,T0708:44.000,428.73334,0.000000,600.0000,0,0.017882,-0.125179
100,2,3,T0718:44.000,438.73334,10.000000,600.0000,0,19.778254,14.806867
101,1,1,T0708:47.250,428.78751,0.000000,600.0000,0,0.017882,-0.125179
101,2,3,T0718:47.250,438.78751,10.000000,600.0000,0,19.778254,14.806867
102,1,1,T0708:47.250,428.78751,0.000000,600.7489,2,0.017882,-0.125179
