Unix Timestamp (local time),StationID,Total Flow_per_obs_interval,Avg Density,Avg Speed
03/01/2010 00:00,400009,41,0.0106,71.2
03/01/2010 00:00,400126,40,0.0134,71.6
03/01/2010 00:00,400176,30,0.008,71
03/01/2010 00:00,400367,46,0.0132,70.3
03/01/2010 00:00,400432,47,0.0112,70.1
03/01/2010 00:00,400679,49,0.015,70.1
03/01/2010 00:00,400691,34,0.0116,72
03/01/2010 00:00,400728,21,0.0063,71.8
03/01/2010 00:00,400803,30,0.0104,71.7
03/01/2010 00:00,400808,48,0.0149,70.2
03/01/2010 00:00,401198,47,0.0133,70.3
03/01/2010 00:00,401242,37,0.012,71.3
03/01/2010 00:05,400009,34,0.008,71.3
03/01/2010 00:05,400126,36,0.0112,70.4
03/01/2010 00:05,400176,36,0.0093,70.8
03/01/2010 00:05,400367,39,0.0111,69.8
03/01/2010 00:05,400432,44,0.0117,69.7
03/01/2010 00:05,400679,40,0.0125,68.9
03/01/2010 00:05,400691,34,0.0088,71.9
03/01/2010 00:05,400728,30,0.0077,72.5
03/01/2010 00:05,400803,34,0.0109,68.2
03/01/2010 00:05,400808,35,0.0113,66.7
03/01/2010 00:05,401198,43,0.0127,69.5
03/01/2010 00:05,401242,34,0.0097,70.9
03/01/2010 00:10,400009,28,0.006,71.1
03/01/2010 00:10,400126,31,0.0091,69.9
03/01/2010 00:10,400176,39,0.0101,71.2
03/01/2010 00:10,400367,47,0.0144,68.9
03/01/2010 00:10,400432,51,0.0117,70.9
03/01/2010 00:10,400679,53,0.0165,68.5
03/01/2010 00:10,400691,31,0.0071,71.7
03/01/2010 00:10,400728,22,0.0049,73
03/01/2010 00:10,400803,28,0.0075,65.5
03/01/2010 00:10,400808,50,0.0152,63.2
03/01/2010 00:10,401198,51,0.0159,68.8
03/01/2010 00:10,401242,32,0.0078,71.9
03/01/2010 00:15,400009,34,0.0075,71.6
03/01/2010 00:15,400126,31,0.0103,68.2
03/01/2010 00:15,400176,52,0.0161,70.6
03/01/2010 00:15,400367,50,0.0159,68.4
03/01/2010 00:15,400432,57,0.0161,70.1
03/01/2010 00:15,400679,54,0.0171,67.6
03/01/2010 00:15,400691,31,0.0087,71.2
03/01/2010 00:15,400728,29,0.008,72.1
03/01/2010 00:15,400803,27,0.0085,62.5
