first_column,agent_type,name,vot,pce,person_occupancy,desired_speed_ratio,headway_in_sec,real_time_info,comments
,p,passenger,10,1,1,1,1.5,0,hist info
,hv2,,15,1,2,1,1.5,0,hist info
,p_dms,rt,10,1,1,1,1.5,1,variable message sign
,p_rt,dms,10,1,1,1,1.5,2,real time info
,trk,truck,20,2,1,0.75,2,0,hist info
,trk_rt,truck,20,2,1,0.75,2,1,real time info
,b,bike,10,0.5,1,0.2,2,0,https://en.wikipedia.org/wiki/Passenger_car_equivalent
,pax,pedestrian,10,1,1,0.1,2,0,
,bus,bus,10,3,10,0.7,2,0,
