zone_id,activity_nodes,x_coord,y_coord,geometry,production,attraction,bin_index
1,1,,,,312.9739001,312.9739001,0
2,177,,,,329.5933583,329.5933583,0
3,57,,,,331.4453968,331.4453968,0
4,37,,,,84.79598717,84.79598717,0
5,146,,,,19.39958044,19.39958044,0
6,3,,,,551.2697577,551.2697577,1
7,59,,,,229.1651055,229.1651055,0
8,303,,,,305.7849878,305.7849878,0
9,0,,,,319.3825106,319.3825106,0
10,563,,,,22.27844209,22.27844209,0
11,4,,,,769.7748955,769.7748955,1
12,18,,,,615.5162752,615.5162752,1
13,14,,,,408.8874998,408.8874998,0
14,88,,,,290.0060639,290.0060639,0
15,98,,,,276.0193979,276.0193979,0
16,7,,,,447.9668996,447.9668996,0
17,63,,,,821.6254311,821.6254311,1
18,61,,,,756.9863881,756.9863881,1
19,35,,,,820.2248935,820.2248935,1
20,56,,,,100.2737025,100.2737025,0
21,11,,,,195.07158,195.07158,0
22,99,,,,516.263183,516.263183,1
23,43,,,,1053.899367,1053.899367,2
24,34,,,,380.0009402,380.0009402,0
25,39,,,,700.4222156,700.4222156,1
26,385,,,,2400,2400,4
27,381,,,,1600,1600,3
28,382,,,,2400,2400,4
29,436,,,,1600,1600,3
30,411,,,,2400,2400,4
31,378,,,,5600,5600,11
32,390,,,,4000,4000,8
33,315,,,,800,800,1
34,392,,,,800,800,1
35,403,,,,2400,2400,4
36,416,,,,2400,2400,4
37,100037,,,,,,0
38,413,,,,800,800,1
39,123,,,,1600,1600,3
40,100040,,,,,,0
41,396,,,,2400,2400,4
42,100042,,,,,,0
43,427,,,,800,800,1
44,380,,,,3200,3200,6
45,379,,,,5600,5600,11
