agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,geometry
1,1,2,0,auto,AM,1.00,0.0,0.3460,0.1600,333;556;198;6369;,,0730:00;0730:12;0730:17;0730:20;,450.01;450.21;450.29;450.34;,0.20;0.08;0.04;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.330119 47.664804)"
2,1,3,0,auto,AM,1.00,0.0,2.2122,1.2735,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;4078;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:12;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.20;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.03;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319873 47.665116)"
3,1,4,0,auto,AM,1.00,0.0,4.4071,2.2331,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;322;323;324;443;444;518;417;286;381;445;336;513;509;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:17;0732:29;0732:40;0733:04;0733:13;0733:18;0733:24;0733:35;0733:47;0734:00;0734:12;0734:18;0734:23;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.29;452.49;452.67;453.07;453.23;453.31;453.41;453.59;453.80;454.00;454.21;454.30;454.40;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.11;0.20;0.18;0.40;0.16;0.08;0.10;0.18;0.21;0.20;0.20;0.10;0.09;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319533 47.664954, -122.318420 47.664943, -122.317411 47.664930, -122.317420 47.663115, -122.316356 47.663110, -122.315821 47.663107, -122.315262 47.663104, -122.314247 47.663100, -122.313100 47.663097, -122.311967 47.663092, -122.310844 47.663080, -122.310295 47.663086, -122.309674 47.663085)"
4,1,5,0,auto,AM,1.00,0.0,6.7632,3.5478,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;322;323;324;443;444;518;417;286;381;445;336;513;509;313;259;164;165;166;632;474;37;38;39;671;40;84;1304;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:17;0732:29;0732:40;0733:04;0733:13;0733:18;0733:24;0733:35;0733:47;0734:00;0734:12;0734:18;0734:23;0734:25;0734:35;0735:00;0735:15;0735:21;0735:24;0735:32;0736:08;0736:21;0736:22;0736:24;0736:29;0736:32;0736:45;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.29;452.49;452.67;453.07;453.23;453.31;453.41;453.59;453.80;454.00;454.21;454.30;454.40;454.42;454.60;455.00;455.26;455.36;455.41;455.54;456.14;456.36;456.38;456.42;456.50;456.54;456.75;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.11;0.20;0.18;0.40;0.16;0.08;0.10;0.18;0.21;0.20;0.20;0.10;0.09;0.02;0.18;0.41;0.25;0.11;0.05;0.13;0.59;0.22;0.02;0.04;0.08;0.04;0.22;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319533 47.664954, -122.318420 47.664943, -122.317411 47.664930, -122.317420 47.663115, -122.316356 47.663110, -122.315821 47.663107, -122.315262 47.663104, -122.314247 47.663100, -122.313100 47.663097, -122.311967 47.663092, -122.310844 47.663080, -122.310295 47.663086, -122.309674 47.663085, -122.309518 47.663085, -122.308348 47.663083, -122.308367 47.661244, -122.307241 47.661237, -122.306528 47.661237, -122.306320 47.661237, -122.305728 47.661206, -122.302431 47.661242, -122.299430 47.661237, -122.299228 47.661218, -122.298712 47.661180, -122.298307 47.661072, -122.298706 47.661258, -122.298208 47.663144)"
5,1,6,0,auto,AM,1.00,0.0,0.0479,0.0275,5923;179;,,0730:00;0730:02;,450.01;450.04;,0.03;,"LINESTRING (-122.334965 47.663045, -122.335149 47.662831)"
6,1,7,0,auto,AM,1.00,0.0,0.3741,0.1475,404;403;292;,,0730:00;0730:08;0730:21;,450.01;450.15;450.36;,0.14;0.21;,"LINESTRING (-122.331355 47.663137, -122.331354 47.662615, -122.330160 47.662619)"
7,1,8,0,auto,AM,1.00,0.0,3.0237,1.6188,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;322;323;587;619;4045;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:17;0732:29;0732:44;0732:58;0733:00;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.29;452.49;452.73;452.97;453.01;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.11;0.20;0.25;0.24;0.04;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319533 47.664954, -122.318420 47.664943, -122.318393 47.664015, -122.318387 47.663124, -122.318814 47.662897)"
8,1,9,0,auto,AM,1.00,0.0,4.4649,2.2786,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;322;323;324;443;444;518;417;286;381;445;336;513;509;313;5193;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:17;0732:29;0732:40;0733:04;0733:13;0733:18;0733:24;0733:35;0733:47;0734:00;0734:12;0734:18;0734:23;0734:25;0734:27;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.29;452.49;452.67;453.07;453.23;453.31;453.41;453.59;453.80;454.00;454.21;454.30;454.40;454.42;454.45;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.11;0.20;0.18;0.40;0.16;0.08;0.10;0.18;0.21;0.20;0.20;0.10;0.09;0.02;0.03;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319533 47.664954, -122.318420 47.664943, -122.317411 47.664930, -122.317420 47.663115, -122.316356 47.663110, -122.315821 47.663107, -122.315262 47.663104, -122.314247 47.663100, -122.313100 47.663097, -122.311967 47.663092, -122.310844 47.663080, -122.310295 47.663086, -122.309674 47.663085, -122.309518 47.663085, -122.309133 47.662927)"
9,1,10,0,auto,AM,1.00,0.0,6.5792,3.3668,333;556;198;199;652;406;213;214;208;207;645;21;539;776;540;14;696;322;323;324;443;444;518;417;286;381;445;336;513;509;313;259;164;165;166;632;474;37;38;39;671;40;84;7024;,,0730:00;0730:12;0730:17;0730:34;0730:42;0730:51;0731:02;0731:15;0731:27;0731:32;0731:35;0731:39;0731:42;0731:47;0731:53;0732:02;0732:10;0732:17;0732:29;0732:40;0733:04;0733:13;0733:18;0733:24;0733:35;0733:47;0734:00;0734:12;0734:18;0734:23;0734:25;0734:35;0735:00;0735:15;0735:21;0735:24;0735:32;0736:08;0736:21;0736:22;0736:24;0736:29;0736:32;0736:34;,450.01;450.21;450.29;450.57;450.70;450.86;451.03;451.26;451.46;451.54;451.59;451.66;451.71;451.78;451.89;452.05;452.17;452.29;452.49;452.67;453.07;453.23;453.31;453.41;453.59;453.80;454.00;454.21;454.30;454.40;454.42;454.60;455.00;455.26;455.36;455.41;455.54;456.14;456.36;456.38;456.42;456.50;456.54;456.57;,0.20;0.08;0.28;0.13;0.16;0.17;0.22;0.20;0.08;0.05;0.07;0.05;0.08;0.10;0.16;0.13;0.11;0.20;0.18;0.40;0.16;0.08;0.10;0.18;0.21;0.20;0.20;0.10;0.09;0.02;0.18;0.41;0.25;0.11;0.05;0.13;0.59;0.22;0.02;0.04;0.08;0.04;0.03;,"LINESTRING (-122.331077 47.665760, -122.331053 47.665011, -122.330590 47.665008, -122.329056 47.664997, -122.328324 47.664992, -122.328298 47.665727, -122.328590 47.666458, -122.325593 47.666440, -122.322885 47.666414, -122.322900 47.665701, -122.322870 47.665222, -122.322865 47.664968, -122.322602 47.664966, -122.322183 47.664962, -122.321606 47.664957, -122.320725 47.664954, -122.320160 47.664953, -122.319533 47.664954, -122.318420 47.664943, -122.317411 47.664930, -122.317420 47.663115, -122.316356 47.663110, -122.315821 47.663107, -122.315262 47.663104, -122.314247 47.663100, -122.313100 47.663097, -122.311967 47.663092, -122.310844 47.663080, -122.310295 47.663086, -122.309674 47.663085, -122.309518 47.663085, -122.308348 47.663083, -122.308367 47.661244, -122.307241 47.661237, -122.306528 47.661237, -122.306320 47.661237, -122.305728 47.661206, -122.302431 47.661242, -122.299430 47.661237, -122.299228 47.661218, -122.298712 47.661180, -122.298307 47.661072, -122.298706 47.661258, -122.298811 47.661538)"
10,1,11,0,auto,AM,1.00,0.0,1.3069,0.5768,6301;180;456;455;370;609;583;579;,,0730:00;0730:02;0730:05;0730:13;0730:26;0730:40;0730:59;0731:17;,450.01;450.05;450.10;450.23;450.44;450.67;450.98;451.30;,0.04;0.05;0.13;0.21;0.24;0.31;0.31;,"LINESTRING (-122.333389 47.663067, -122.333719 47.662830, -122.333719 47.662631, -122.333722 47.662134, -122.333750 47.661367, -122.333767 47.660300, -122.333786 47.659139, -122.333795 47.657968)"
