Summary
path index,


Part I,time-dependent travel time
Time,,, 0:00, 0:15, 0:30, 0:45, 1:00, 1:15, 1:30, 1:45, 2:00, 2:15, 2:30, 2:45, 3:00, 3:15, 3:30, 3:45, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,
Path 1, ,travel time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

Travel Time Tndex,, 0:00, 0:15, 0:30, 0:45, 1:00, 1:15, 1:30, 1:45, 2:00, 2:15, 2:30, 2:45, 3:00, 3:15, 3:30, 3:45, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,
Path 1, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

Part II,link sequence

path_id,path_node_sequence
1,195;778;196;758;779;197;780;759;556;198;199;652;200;235;319;320;321;258;21;539;776;540;14;696;322;323;587;148;620;138;,

path_id,link_sequence_no,from_node_id->to_node_id,from_node_id,to_node_id,name,length,free speed,free-flow travel_time,# of lanes,Lane Saturation Flow Rate,Lane Capacity,Link Type
1,1,"[195,778]",195,778,North 50th Street,22.773,   25,54.655,1, 1800,2000.0,
1,2,"[778,196]",778,196,North 50th Street,70.296,   30,140.592,1, 1800,2000.0,
1,3,"[196,758]",196,758,North 50th Street,54.486,   30,108.973,1, 1800,2000.0,
1,4,"[758,779]",758,779,North 50th Street,26.865,   25,64.476,2, 1800,2000.0,
1,5,"[779,197]",779,197,North 50th Street,27.434,   25,65.842,2, 1800,2000.0,
1,6,"[197,780]",197,780,North 50th Street,27.118,   25,65.084,1, 1800,2000.0,
1,7,"[780,759]",780,759,North 50th Street,27.740,   30,55.480,1, 1800,2000.0,
1,8,"[759,556]",759,556,North 50th Street,143.520,   25,344.448,1, 1800,2000.0,
1,9,"[556,198]",556,198,North 50th Street,34.734,   25,83.362,1, 1800,2000.0,
1,10,"[198,199]",198,199,North 50th Street,114.866,   25,275.679,1, 1800,2000.0,
1,11,"[199,652]",199,652,North 50th Street,54.804,   25,131.530,1, 1800,2000.0,
1,12,"[652,200]",652,200,North 50th Street,4.426,   25,10.622,1, 1800,2000.0,
1,13,"[200,235]",200,235,Northeast 50th Street,80.556,   25,193.335,1, 1800,2000.0,
1,14,"[235,319]",235,319,Northeast 50th Street,78.796,   30,157.592,2, 1800,2000.0,
1,15,"[319,320]",319,320,Northeast 50th Street,39.061,   25,93.746,2, 1800,2000.0,
1,16,"[320,321]",320,321,Northeast 50th Street,43.315,   25,103.957,2, 1800,2000.0,
1,17,"[321,258]",321,258,Northeast 50th Street,78.288,   15,313.152,2, 1800,2000.0,
1,18,"[258,21]",258,21,Northeast 50th Street,84.399,   30,168.798,2, 1800,2000.0,
1,19,"[21,539]",21,539,Northeast 50th Street,19.711,   25,47.306,2, 1800,2000.0,
1,20,"[539,776]",539,776,Northeast 50th Street,31.350,   25,75.240,2, 1800,2000.0,
1,21,"[776,540]",776,540,Northeast 50th Street,43.213,   25,103.711,2, 1800,2000.0,
1,22,"[540,14]",540,14,Northeast 50th Street,65.983,   25,158.358,3, 1800,2000.0,
1,23,"[14,696]",14,696,Northeast 50th Street,42.273,   20,126.820,2, 1800,2000.0,
1,24,"[696,322]",696,322,Northeast 50th Street,47.007,   25,112.818,2, 1800,2000.0,
1,25,"[322,323]",322,323,Northeast 50th Street,83.338,   25,200.010,2, 1800,2000.0,
1,26,"[323,587]",323,587,9th Avenue Northeast,103.499,   25,248.397,1, 1800,2000.0,
1,27,"[587,148]",587,148,Northeast 48th Street,86.799,   60,86.799,1, 1800,1000.0,
1,28,"[148,620]",148,620,8th Avenue Northeast,98.387,   30,196.773,1, 1800,2000.0,
1,29,"[620,138]",620,138,Northeast 47th Street,86.828,   60,86.828,1, 1800,2000.0,
