poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
1,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
4,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
5,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
6,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
7,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,doctors,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
10,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
11,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
13,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
23,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
27,stands,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
29,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
30,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
31,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,railway_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,church,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
36,stage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,ship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
44,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
45,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
47,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
49,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
50,dentist,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
51,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
52,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
53,houseboat,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
54,gatehouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
55,kindergarten,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
56,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
57,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
58,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
59,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
