o_zone_id,d_zone_id,volume
23,15,0.581148444
24,23,0.615337351
22,23,0.721965125
22,15,0.735275386
24,15,0.864044442
23,22,1.060460484
24,22,1.136931966
23,1,1.36376358
17,23,1.377544917
17,15,1.44406646
24,1,1.537004544
21,23,1.552845895
10,23,1.559998107
1,23,1.591431328
21,15,1.618692924
1,15,1.811854336
2,23,1.874644141
15,23,1.88342241
22,1,1.894132636
5,23,1.943711601
23,26,2.045020491
9,23,2.052716421
23,24,2.087204645
23,21,2.112675554
2,15,2.220260287
23,2,2.234445986
24,26,2.235307261
26,23,2.255622933
24,21,2.301283008
23,17,2.318637938
26,15,2.366654129
24,17,2.521949398
24,2,2.582513722
22,24,2.625475447
23,19,2.670829637
19,23,2.740212974
7,23,2.843565208
17,22,2.860603755
22,26,2.892525309
10,22,2.906466141
18,23,2.914890065
14,23,2.990283889
22,21,2.995578421
23,11,3.027810126
22,2,3.046561359
16,23,3.09278148
10,15,3.115066474
23,5,3.117004579
23,16,3.143719706
4,23,3.14774852
18,15,3.164194862
9,15,3.170743308
21,22,3.234107978
7,15,3.242197561
1,22,3.246664953
23,18,3.250228372
16,15,3.265138182
22,17,3.277982286
24,11,3.331486139
12,23,3.352727635
22,19,3.367041152
24,16,3.432608569
15,22,3.500168507
3,23,3.536716446
23,3,3.550569971
11,23,3.559870574
23,36,3.608722481
5,22,3.634595091
23,14,3.646909431
13,23,3.658424161
12,15,3.670478936
24,18,3.690672813
5,15,3.710098974
2,22,3.754370928
23,4,3.780624039
11,15,3.837017236
9,22,3.857052857
8,23,3.861980063
23,6,3.863018641
23,7,3.885708287
23,12,3.889504695
23,35,3.89998795
22,5,3.968107035
24,19,3.972770388
19,15,4.016874764
17,1,4.042905927
23,27,4.081105699
22,18,4.104987226
35,23,4.133938437
36,23,4.151725123
22,11,4.263536467
10,1,4.276901861
24,6,4.305763479
24,12,4.325272582
13,15,4.392679913
24,7,4.410986525
23,13,4.423543556
24,3,4.425974267
22,16,4.451198319
14,15,4.459344146
27,23,4.460101602
24,27,4.466143998
24,5,4.507486591
22,36,4.581238775
22,14,4.620303843
22,3,4.663036272
26,22,4.686237296
6,23,4.693120625
3,15,4.704272247
23,9,4.719277921
27,15,4.72740552
22,4,4.863980773
8,15,4.869485953
23,42,4.884566725
4,15,4.9185664
22,35,4.987321739
15,1,5.03193612
19,22,5.074167821
17,24,5.08230769
24,4,5.127706777
21,1,5.128052849
24,14,5.186741352
6,15,5.209513619
42,23,5.234279101
24,36,5.307903351
24,13,5.332581816
22,7,5.332688909
22,6,5.395024927
22,12,5.395259345
18,22,5.407523107
5,1,5.48369324
24,35,5.544307098
14,22,5.564629461
7,22,5.732149628
22,13,5.732388753
21,24,5.737429168
22,27,5.770331984
23,10,5.781544624
9,1,5.802323219
10,26,5.810050848
23,29,5.9391866
4,22,5.948488926
10,21,5.95124183
17,26,6.016118133
22,9,6.037038103
23,28,6.054201201
1,24,6.083811104
23,31,6.169496792
22,42,6.169764025
17,21,6.21903949
31,23,6.309091396
16,22,6.432216205
17,2,6.451436642
29,23,6.453626881
24,9,6.486608591
24,29,6.565351807
17,19,6.570362465
10,17,6.575957901
28,23,6.615126735
24,28,6.651504838
23,8,6.654215386
3,22,6.822589333
12,22,6.831161779
15,26,6.953870681
13,22,6.963661543
2,1,6.99011376
19,1,7.030449824
24,31,7.041045777
24,42,7.050630131
29,15,7.062434785
28,15,7.112722504
15,21,7.13722801
42,15,7.189465813
18,1,7.254723133
10,2,7.303374435
5,26,7.32964764
22,10,7.333424208
2,24,7.349255912
11,22,7.362983451
21,19,7.3699024
31,15,7.401314165
