activity_zone_id,name,geometry,centroid,centroid_x,centroid_y,access_node_vector,total_poi_count
1,A1,"POLYGON ((55.105 25.13999,55.105 25.145,55.110009999999996 25.145,55.110009999999996 25.13999,55.105 25.13999))",POINT (55.107504999999996 25.142495),55.107504999999996,25.142495,,0
2,A2,"POLYGON ((55.110009999999996 25.13999,55.110009999999996 25.145,55.115019999999994 25.145,55.115019999999994 25.13999,55.110009999999996 25.13999))",POINT (55.112514999999995 25.142495),55.112514999999995,25.142495,,0
3,A3,"POLYGON ((55.115019999999994 25.13999,55.115019999999994 25.145,55.12002999999999 25.145,55.12002999999999 25.13999,55.115019999999994 25.13999))",POINT (55.11752499999999 25.142495),55.11752499999999,25.142495,,0
4,A4,"POLYGON ((55.12002999999999 25.13999,55.12002999999999 25.145,55.12503999999999 25.145,55.12503999999999 25.13999,55.12002999999999 25.13999))",POINT (55.12253499999999 25.142495),55.12253499999999,25.142495,,0
5,A5,"POLYGON ((55.12503999999999 25.13999,55.12503999999999 25.145,55.13004999999999 25.145,55.13004999999999 25.13999,55.12503999999999 25.13999))",POINT (55.12754499999999 25.142495),55.12754499999999,25.142495,,0
6,A6,"POLYGON ((55.13004999999999 25.13999,55.13004999999999 25.145,55.13505999999999 25.145,55.13505999999999 25.13999,55.13004999999999 25.13999))",POINT (55.13255499999999 25.142495),55.13255499999999,25.142495,,0
7,A7,"POLYGON ((55.13505999999999 25.13999,55.13505999999999 25.145,55.14006999999999 25.145,55.14006999999999 25.13999,55.13505999999999 25.13999))",POINT (55.13756499999999 25.142495),55.13756499999999,25.142495,,0
8,A8,"POLYGON ((55.14006999999999 25.13999,55.14006999999999 25.145,55.145079999999986 25.145,55.145079999999986 25.13999,55.14006999999999 25.13999))",POINT (55.14257499999999 25.142495),55.14257499999999,25.142495,,0
9,A9,"POLYGON ((55.145079999999986 25.13999,55.145079999999986 25.145,55.150089999999985 25.145,55.150089999999985 25.13999,55.145079999999986 25.13999))",POINT (55.147584999999985 25.142495),55.147584999999985,25.142495,,0
10,A10,"POLYGON ((55.150089999999985 25.13999,55.150089999999985 25.145,55.15509999999998 25.145,55.15509999999998 25.13999,55.150089999999985 25.13999))",POINT (55.152594999999984 25.142495),55.152594999999984,25.142495,,0
11,A11,"POLYGON ((55.15509999999998 25.13999,55.15509999999998 25.145,55.16010999999998 25.145,55.16010999999998 25.13999,55.15509999999998 25.13999))",POINT (55.15760499999998 25.142495),55.15760499999998,25.142495,,0
12,B1,"POLYGON ((55.105000000000004 25.134980000000002,55.105000000000004 25.13999,55.11001 25.13999,55.11001 25.134980000000002,55.105000000000004 25.134980000000002))",POINT (55.107505 25.137485),55.107505,25.137485,,0
13,B2,"POLYGON ((55.11001 25.134980000000002,55.11001 25.13999,55.11502 25.13999,55.11502 25.134980000000002,55.11001 25.134980000000002))",POINT (55.112515 25.137485),55.112515,25.137485,,0
14,B3,"POLYGON ((55.11502 25.134980000000002,55.11502 25.13999,55.12003 25.13999,55.12003 25.134980000000002,55.11502 25.134980000000002))",POINT (55.117525 25.137485),55.117525,25.137485,,0
15,B4,"POLYGON ((55.12003 25.134980000000002,55.12003 25.13999,55.12504 25.13999,55.12504 25.134980000000002,55.12003 25.134980000000002))",POINT (55.122535 25.137485),55.122535,25.137485,,0
16,B5,"POLYGON ((55.12504 25.134980000000002,55.12504 25.13999,55.13005 25.13999,55.13005 25.134980000000002,55.12504 25.134980000000002))",POINT (55.127545 25.137485),55.127545,25.137485,,0
17,B6,"POLYGON ((55.13005 25.134980000000002,55.13005 25.13999,55.135059999999996 25.13999,55.135059999999996 25.134980000000002,55.13005 25.134980000000002))",POINT (55.132554999999996 25.137485),55.132554999999996,25.137485,,0
18,B7,"POLYGON ((55.135059999999996 25.134980000000002,55.135059999999996 25.13999,55.140069999999994 25.13999,55.140069999999994 25.134980000000002,55.135059999999996 25.134980000000002))",POINT (55.137564999999995 25.137485),55.137564999999995,25.137485,,0
19,B8,"POLYGON ((55.140069999999994 25.134980000000002,55.140069999999994 25.13999,55.14507999999999 25.13999,55.14507999999999 25.134980000000002,55.140069999999994 25.134980000000002))",POINT (55.142574999999994 25.137485),55.142574999999994,25.137485,,0
20,B9,"POLYGON ((55.14507999999999 25.134980000000002,55.14507999999999 25.13999,55.15008999999999 25.13999,55.15008999999999 25.134980000000002,55.14507999999999 25.134980000000002))",POINT (55.14758499999999 25.137485),55.14758499999999,25.137485,,0
21,B10,"POLYGON ((55.15008999999999 25.134980000000002,55.15008999999999 25.13999,55.15509999999999 25.13999,55.15509999999999 25.134980000000002,55.15008999999999 25.134980000000002))",POINT (55.15259499999999 25.137485),55.15259499999999,25.137485,,0
