name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,90031463,,,,,,,55.3654066,25.1201526,,,
,1,1149158725,,,,,,,55.3824206,25.1393608,,,
,2,10006732394,,,,,,,55.38739,25.1509321,,,
,3,2330969717,motorway_junction,,,,,,55.3876249,25.151455,,,
Exit 50,4,95110025,motorway_junction,,,,,,55.3883417,25.1531827,,,
,5,4911154704,,,,,,,55.3917574,25.161916,,,
,6,26422232,,,,,,,55.2973566,25.2739681,,,
,7,26422233,crossing,,,,,,55.2970776,25.2753739,,,
,8,1065933931,,,,,,,55.3205668,25.251009,,,
سالك بوابة تعرفة جسر المكتوم,9,31220998,toll_gantry,,,,,,55.3222588,25.2530175,,,
,10,26386392,,,,,,,55.3018674,25.2753458,,,
,11,4900384934,,,,,,,55.3004025,25.2747503,,,
,12,1155088848,,,,,,,55.292836,25.2670525,,,
,13,9985082328,,,,,,,55.2933724,25.2677579,,,
,14,1330377134,,,,,,,55.2935844,25.2680376,,,
Exit 53 South,15,91049666,motorway_junction,,,,,,55.2955756,25.2310991,,,
,16,91049614,motorway_junction,,,,,,55.2948619,25.2310266,,,
,17,8349686769,motorway_junction,,,,,,55.5034257,25.2237546,,,
,18,7823889749,,,,,,,55.5034914,25.2230127,,,
,19,9974773891,,,,,,,55.5035107,25.2229185,,,
,20,7823889751,,,,,,,55.5035294,25.2228312,,,
,21,6841430992,,,,,,,55.5037627,25.2220143,,,
,22,9974816658,,,,,,,55.5088486,25.2113451,,,
,23,2935253388,,,,,,,55.5165056,25.2030397,,,
,24,95021033,,,,,,,55.290032,25.2287602,,,
,25,10577860442,traffic_signals,,signal,,,,55.2906993,25.229064,,,
,26,31473927,,,,,,,55.2908227,25.2292573,,,
,27,3485874289,traffic_signals,,signal,,,,55.2905607,25.2300615,,,
,28,10577800933,,,,,,,55.2903804,25.2301627,,,
,29,91067114,,,,,,,55.2903027,25.2301992,,,
,30,281188732,,,,,,,55.2500693,25.2143467,,,
,31,6462849229,traffic_signals,,signal,,,,55.2523513,25.2173383,,,
,32,4723181329,,,,,,,55.2536457,25.2190334,,,
,33,92641732,,,,,,,55.2786392,25.2352985,,,
,34,92641757,,,,,,,55.2779829,25.2356368,,,
,35,4904659337,,,,,,,55.2752764,25.2374817,,,
,36,4904659346,,,,,,,55.2749842,25.2376708,,,
,37,92670566,,,,,,,55.2745684,25.2379308,,,
,38,2268129830,,,,,,,55.1448162,25.0879328,,,
,39,3039737528,,,,,,,55.1427712,25.086368,,,
Exit 14,40,90027270,motorway_junction,,,,,,55.3560799,25.1300901,,,
,41,8928975989,,,,,,,55.3583956,25.1270319,,,
,42,9783930408,,,,,,,55.3645228,25.1195323,,,
,43,90032969,motorway_junction,,,,,,55.3682641,25.1165704,,,
,44,90034077,motorway_junction,,,,,,55.3674111,25.1179756,,,
,45,90034087,,,,,,,55.3689631,25.1222887,,,
,46,90034088,,,,,,,55.3704156,25.1234484,,,
,47,90034592,motorway_junction,,,,,,55.3623032,25.1175018,,,
,48,90034602,,,,,,,55.36779,25.1159096,,,
,49,1625214030,motorway_junction,,,,,,55.3128669,25.0816587,,,
,50,1202764450,motorway_junction,,,,,,55.2577838,25.0570883,,,
Exit 52,51,90042724,motorway_junction,,,,,,55.3961349,25.1742991,,,
,52,92800196,,,,,,,55.4027305,25.1785909,,,
,53,8928975896,motorway_junction,,,,,,55.3691137,25.1234068,,,
,54,90046359,motorway_junction,,,,,,55.3674309,25.1224528,,,
,55,90043415,,,,,,,55.3652275,25.1203582,,,
,56,90043341,,,,,,,55.3643547,25.1197498,,,
,57,90046342,motorway_junction,,,,,,55.3620835,25.1223799,,,
,58,90046348,motorway_junction,,,,,,55.3618526,25.1202953,,,
,59,9785128695,,,,,,,55.3635969,25.1226236,,,
,60,4587217189,,,,,,,55.2650651,25.2076646,,,
,61,4587217190,,,,,,,55.2651957,25.2075947,,,
Exit 22,62,3900703577,motorway_junction,,,,,,55.1468445,24.9953091,,,
,63,3425134454,,,,,,,55.1518283,25.0066422,,,
Exit 22,64,4528991915,motorway_junction,,,,,,55.1548609,25.0112411,,,
,65,4528991948,,,,,,,55.1571765,25.0147454,,,
,66,90112271,,,,,,,55.1569437,25.0148781,,,
,67,8326592111,,,,,,,55.1513317,25.0064067,,,
,68,5790272212,,,,,,,55.1465011,24.9953606,,,
Exit 21,69,7270430021,motorway_junction,,,,,,55.1449142,24.988279,,,
,70,6521444376,,,,,,,55.1435726,24.981649,,,
,71,90585923,,,,,,,55.0824267,25.0036925,,,
,72,9899309422,,,,,,,55.0830175,25.0043703,,,
,73,4842592524,,,,,,,55.0864715,25.00737,,,
,74,90115098,,,,,,,55.1565898,25.018752,,,
,75,90115097,,,,,,,55.15001,25.0184645,,,
,76,6932325514,motorway_junction,,,,,,55.1473119,25.0180809,,,
,77,90578056,,,,,,,55.1327534,25.0168996,,,
,78,9337441620,,,,,,,55.131892,25.0168871,,,
,79,6658584922,motorway_junction,,,,,,55.1207062,25.0172843,,,
,80,6658584909,,,,,,,55.1150643,25.0175931,,,
,81,4751679938,,,,,,,55.2072564,25.1193773,,,
,82,2824919869,motorway_junction,,,,,,55.2081796,25.1187513,,,
,83,90163662,,,,,,,55.2979193,25.2738324,,,
,84,31325771,,,,,,,55.2924176,25.2717687,,,
,85,90163822,,,,,,,55.2920453,25.2715301,,,
,86,90163823,,,,,,,55.2976241,25.2736068,,,
,87,4783643969,,,,,,,55.303909,25.2762317,,,
,88,4783643968,,,,,,,55.3042639,25.2764127,,,
,89,92554463,traffic_signals,,signal,,,,55.3048486,25.2767402,,,
,90,9899712406,,,,,,,55.042693,24.9667772,,,
,91,91009797,,,,,,,55.0411168,24.9669615,,,
,92,9899712350,,,,,,,55.0417686,24.9660928,,,
,93,4862476800,,,,,,,55.0440847,24.9643974,,,
,94,9899712322,,,,,,,55.047055,24.9615532,,,
,95,9899708726,,,,,,,55.0494179,24.959244,,,
,96,9899708734,,,,,,,55.0522256,24.9565674,,,
,97,90561740,motorway_junction,,,,,,55.0568812,24.9521628,,,
,98,9899712337,,,,,,,55.061028,24.9482025,,,
,99,90566418,,,,,,,55.0617311,24.9475394,,,
,100,90563414,motorway_junction,,,,,,55.0737565,24.9527165,,,
,101,90565655,motorway_junction,,,,,,55.0688608,24.9499032,,,
,102,9785287282,,,,,,,55.0550492,24.9448132,,,
,103,90562596,,,,,,,55.0571123,24.9521407,,,
,104,90566364,motorway_junction,,,,,,55.0616488,24.9478004,,,
,105,90566386,,,,,,,55.0623751,24.9473088,,,
,106,90566689,,,,,,,55.0627774,24.9465313,,,
,107,9899708754,,,,,,,55.0512739,24.957717,,,
,108,91005935,traffic_signals,,signal,,,,55.0509037,24.9580598,,,
,109,9899708720,,,,,,,55.0507711,24.9581876,,,
,110,9899708744,,,,,,,55.0503692,24.9585692,,,
,111,9899712321,,,,,,,55.0471455,24.9616645,,,
,112,90562601,,,,,,,55.0446179,24.9640587,,,
,113,4862476799,,,,,,,55.0441668,24.9644933,,,
,114,90570801,motorway_junction,,,,,,55.0630661,24.9462445,,,
,115,90571657,,,,,,,55.0674457,24.9424744,,,
,116,9796217430,,,,,,,55.0680192,24.9420614,,,
,117,90566688,,,,,,,55.0629029,24.9465982,,,
,118,90566493,,,,,,,55.0618533,24.9476049,,,
,119,90563785,motorway_junction,,,,,,55.0609865,24.9468373,,,
