link_seq_id,link_id,based_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,link_type_s0,link_type_s1,lanes_p1_s0_auto,lanes_p1_s0_info,lanes_p1_s1_auto,lanes_p1_s1_info,VOL_p1_s0_auto,VOL_p1_s0_info,VOL_p1_s1_auto,VOL_p1_s1_info,MEU_p1_s0_auto,MEU_p1_s0_info,MEU_p1_s1_auto,MEU_p1_s1_info,CAP_p1_s0_auto,CAP_p1_s0_info,CAP_p1_s1_auto,CAP_p1_s1_info,PEN_p1_s0_auto,PEN_p1_s0_info,PEN_p1_s1_auto,PEN_p1_s1_info,DOC_p1_s0_auto,DOC_p1_s0_info,DOC_p1_s1_auto,DOC_p1_s1_info,TT_p1_s0_auto,TT_p1_s0_info,TT_p1_s1_auto,TT_p1_s1_info,CO2_p1_s0_auto,CO2_p1_s0_info,CO2_p1_s1_auto,CO2_p1_s1_info,NOX_p1_s0_auto,NOX_p1_s0_info,NOX_p1_s1_auto,NOX_p1_s1_info,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_25nb_info,MEU_am_25nb_info,CAP_am_25nb_info,PEN_am_25nb_info,DOC_am_25nb_info,TT_am_25nb_info,CO2_am_25nb_info,NOX_am_25nb_info,VOL_am_2040_auto,MEU_am_2040_auto,CAP_am_2040_auto,PEN_am_2040_auto,DOC_am_2040_auto,TT_am_2040_auto,CO2_am_2040_auto,NOX_am_2040_auto,VOL_am_2040_info,MEU_am_2040_info,CAP_am_2040_info,PEN_am_2040_info,DOC_am_2040_info,TT_am_2040_info,CO2_am_2040_info,NOX_am_2040_info,
1,1,motorway,1,3,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",1.950400,1.212181,1.950400,60.000000,-60.000000,1900.000000,-100.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5700.0,6000.0,5700.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,2.0,2.0,2.0,2.0,127325.9,14147.3,92364.7,92364.7,33.7,3.7,24.5,24.5,3148.8,3148.8,5700.000,0.000,0.552,1.978,127325.905,33.672,349.9,349.9,6000.000,0.000,0.552,1.978,14147.323,3.741,2280.0,2280.0,5700.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.400,1.958,92364.654,24.549,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.400,1.958,92364.654,24.549,
2,2,motorway,3,4,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",1.891960,1.175861,1.891960,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.4,1.9,1.9,1.9,1.9,123441.6,13715.7,89581.3,89581.3,32.6,3.6,23.8,23.8,3148.8,3148.8,5400.000,0.000,0.583,1.925,123441.650,32.591,349.9,349.9,6000.000,0.000,0.583,1.925,13715.739,3.621,2280.0,2280.0,5400.000,0.000,0.422,1.901,89581.340,23.798,2280.0,2280.0,6000.000,0.000,0.422,1.901,89581.340,23.798,
3,3,motorway,4,5,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",1.815980,1.128639,1.815980,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,1.8,1.8,1.8,1.8,118484.3,13164.9,85983.8,85983.8,31.3,3.5,22.8,22.8,3148.8,3148.8,5400.000,0.000,0.583,1.847,118484.306,31.282,349.9,349.9,6000.000,0.000,0.583,1.847,13164.923,3.476,2280.0,2280.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,1.825,85983.806,22.843,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,1.825,85983.806,22.843,
4,4,motorway,5,6,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",2.078070,1.291529,2.078070,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,2.1,2.1,2.1,2.1,135584.5,15064.9,98393.4,98393.4,35.8,4.0,26.1,26.1,3148.8,3148.8,5400.000,0.000,0.583,2.114,135584.467,35.797,349.9,349.9,6000.000,0.000,0.583,2.114,15064.941,3.977,2280.0,2280.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,2.088,98393.356,26.139,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,2.088,98393.356,26.139,
5,5,motorway,6,7,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",1.890790,1.175134,1.890790,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.4,1.9,1.9,1.9,1.9,123365.3,13707.3,89525.9,89525.9,32.6,3.6,23.8,23.8,3148.8,3148.8,5400.000,0.000,0.583,1.924,123365.313,32.571,349.9,349.9,6000.000,0.000,0.583,1.924,13707.257,3.619,2280.0,2280.0,5400.000,0.000,0.422,1.900,89525.942,23.784,2280.0,2280.0,6000.000,0.000,0.422,1.900,89525.942,23.784,
6,6,motorway,7,8,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",2.059340,1.279888,2.059340,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,2.1,2.1,2.1,2.1,134362.4,14929.2,97506.5,97506.5,35.5,3.9,25.9,25.9,3148.8,3148.8,5400.000,0.000,0.583,2.095,134362.421,35.474,349.9,349.9,6000.000,0.000,0.583,2.095,14929.158,3.942,2280.0,2280.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,2.069,97506.520,25.904,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,2.069,97506.520,25.904,
7,7,motorway,8,9,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",1.703610,1.058800,1.703610,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,1.7,1.7,1.7,1.7,111152.7,12350.3,80663.3,80663.3,29.3,3.3,21.4,21.4,3148.8,3148.8,5400.000,0.000,0.583,1.733,111152.682,29.346,349.9,349.9,6000.000,0.000,0.583,1.733,12350.298,3.261,2280.0,2280.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,1.712,80663.262,21.429,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,1.712,80663.262,21.429,
8,8,motorway,10,11,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",1.497710,0.930833,1.497710,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,2.0,2.0,motorway,motorway,2.0,2.0,2.0,2.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,3600.0,4000.0,3600.0,4000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.9,0.9,0.6,0.6,1.6,1.6,1.5,1.5,97024.2,10780.5,70682.8,70682.8,24.8,2.8,18.6,18.6,3148.8,3148.8,3600.000,0.000,0.875,1.629,97024.195,24.780,349.9,349.9,4000.000,0.000,0.875,1.629,10780.466,2.753,2280.0,2280.0,3600.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.633,1.534,70682.802,18.600,2280.0,2280.0,4000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.633,1.534,70682.802,18.600,
9,9,motorway,11,12,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",0.987380,0.613661,0.987380,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3.0,3.0,3.0,3.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,5400.0,6000.0,5400.0,6000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.6,0.6,0.4,0.4,1.0,1.0,1.0,1.0,64422.0,7158.0,46750.9,46750.9,17.0,1.9,12.4,12.4,3148.8,3148.8,5400.000,0.000,0.583,1.005,64421.984,17.009,349.9,349.9,6000.000,0.000,0.583,1.005,7157.998,1.890,2280.0,2280.0,5400.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,0.992,46750.895,12.420,2280.0,2280.0,6000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.422,0.992,46750.895,12.420,
10,10,motorway,9,10,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",1.609970,1.000603,1.609970,60.000000,-60.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,1,2.0,2.0,motorway,motorway,2.0,2.0,2.0,2.0,3148.8,349.9,2280.0,2280.0,3148.8,349.9,2280.0,2280.0,3600.0,4000.0,3600.0,4000.0,0.0,0.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.9,0.9,0.6,0.6,1.8,1.8,1.6,1.6,104296.6,11588.5,75980.8,75980.8,26.6,3.0,20.0,20.0,3148.8,3148.8,3600.000,0.000,0.875,1.751,104296.588,26.637,349.9,349.9,4000.000,0.000,0.875,1.751,11588.510,2.960,2280.0,2280.0,3600.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.633,1.649,75980.791,19.994,2280.0,2280.0,4000.000,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.000,0.633,1.649,75980.791,19.994,
