first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,2040,am,auto,9800,183209,113865,186218,18.6948,11.6189,19.0019,1;,"POLYGON ((-112.216 33.6539,))"
,1,2040,am,info,4200,78460.9,48763.8,79093.9,18.6812,11.6104,18.8319,1;,"POLYGON ((-112.216 33.6539,))"
,2,2040,am,auto,0,0,0,0,0,0,0,2;,"POLYGON ((-112.03 33.6553,))"
,2,2040,am,info,0,0,0,0,0,0,0,2;,"POLYGON ((-112.03 33.6553,))"
,3,2040,am,auto,0,0,0,0,0,0,0,4;,"POLYGON ((-112.183 33.6676,))"
,3,2040,am,info,0,0,0,0,0,0,0,4;,"POLYGON ((-112.183 33.6676,))"
,4,2040,am,auto,0,0,0,0,0,0,0,42;,"POLYGON ((-112.12 33.6714,))"
,4,2040,am,info,0,0,0,0,0,0,0,42;,"POLYGON ((-112.12 33.6714,))"
,5,2040,am,auto,0,0,0,0,0,0,0,43;,"POLYGON ((-112.117 33.6349,))"
,5,2040,am,info,0,0,0,0,0,0,0,43;,"POLYGON ((-112.117 33.6349,))"
