first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_co2_kg,avg_nox_kg,
,0,25nb,am,auto,6300,3,115150,71566.3,4.36691e+06,1.91173e+08,49581.6,18.2778,11.3597,693.16,30345,7.8701,
,0,25nb,am,info,700,3,12853.2,7988.32,13189.6,4.30228e+07,11159,18.3617,11.4119,18.8422,61461.2,15.9415,
,1,2040,am,auto,3500,2,63123.2,39231.3,65674.4,1.89522e+06,490.317,18.0352,11.2089,18.7641,541.49,0.140091,
,1,2040,am,info,3500,2,63052.1,39187.1,65668.5,4.46741e+06,1160.77,18.0149,11.1963,18.7624,1276.4,0.331648,
