service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
646687,1,1,1,1,1,0,0,20140603,20140604
644154,1,1,1,1,1,0,0,20140605,20140703
644156,1,1,1,1,1,0,0,20140707,20140829
644158,1,1,1,1,1,0,0,20140902,20150902
643519,1,1,1,1,1,0,0,20140529,20140703
643520,1,1,1,1,1,0,0,20140707,20140829
643522,1,1,1,1,1,0,0,20140902,20150902
644159,0,0,1,1,1,0,0,20140530,20140530
633810,1,1,1,1,1,0,0,20140602,20140620
633811,1,1,1,1,1,0,0,20140623,20140703
644160,1,1,1,1,1,0,0,20140707,20140829
644162,1,1,1,1,1,0,0,20140902,20150902
649582,1,1,1,1,1,0,0,20140608,20140620
649583,1,1,1,1,1,0,0,20140623,20140703
649584,1,1,1,1,1,0,0,20140707,20140829
643534,1,1,1,1,1,0,0,20140902,20150902
649576,1,1,1,1,1,0,0,20140608,20140620
649577,1,1,1,1,1,0,0,20140623,20140703
649579,1,1,1,1,1,0,0,20140707,20140829
649581,1,1,1,1,1,0,0,20140902,20150902
644923,1,1,1,1,1,0,0,20140531,20140703
644924,1,1,1,1,1,0,0,20140707,20140829
644926,1,1,1,1,1,0,0,20140902,20150902
649585,1,1,1,1,1,0,0,20140608,20140620
649586,1,1,1,1,1,0,0,20140623,20140703
649587,1,1,1,1,1,0,0,20140707,20140829
643540,1,1,1,1,1,0,0,20140902,20150902
644170,1,1,1,1,1,0,0,20140530,20140703
644171,1,1,1,1,1,0,0,20140707,20140829
644173,1,1,1,1,1,0,0,20140902,20150902
649588,1,1,1,1,1,0,0,20140608,20140620
649589,1,1,1,1,1,0,0,20140623,20140703
649591,1,1,1,1,1,0,0,20140707,20140711
649592,1,1,1,1,1,0,0,20140714,20140829
649594,1,1,1,1,1,0,0,20140902,20150902
644927,1,1,1,1,1,0,0,20140531,20140606
626447,1,1,1,1,1,0,0,20140609,20140703
644928,1,1,1,1,1,0,0,20140707,20140829
644930,1,1,1,1,1,0,0,20140902,20150902
