trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2100646687,6:00:00,6:00:00,WAS,1,0,0
2100646687,6:21:00,6:21:00,BWI,2,0,0
2100646687,6:32:00,6:34:00,BAL,3,0,0
2100646687,7:16:00,7:16:00,WIL,4,0,0
2100646687,7:33:00,7:35:00,PHL,5,0,0
2100646687,8:32:00,8:32:00,NWK,6,1,0
2100646687,8:49:00,8:49:00,NYP,7,0,0
2100644154,6:00:00,6:00:00,WAS,1,0,0
2100644154,6:21:00,6:21:00,BWI,2,0,0
2100644154,6:32:00,6:34:00,BAL,3,0,0
2100644154,7:16:00,7:16:00,WIL,4,0,0
2100644154,7:33:00,7:35:00,PHL,5,0,0
2100644154,8:32:00,8:32:00,NWK,6,1,0
2100644154,8:49:00,8:49:00,NYP,7,0,0
2100644156,6:00:00,6:00:00,WAS,1,0,0
2100644156,6:21:00,6:21:00,BWI,2,0,0
2100644156,6:32:00,6:34:00,BAL,3,0,0
2100644156,7:16:00,7:16:00,WIL,4,0,0
2100644156,7:33:00,7:35:00,PHL,5,0,0
2100644156,8:32:00,8:32:00,NWK,6,1,0
2100644156,8:49:00,8:49:00,NYP,7,0,0
2100644158,6:00:00,6:00:00,WAS,1,0,0
2100644158,6:21:00,6:21:00,BWI,2,0,0
2100644158,6:32:00,6:34:00,BAL,3,0,0
2100644158,7:16:00,7:16:00,WIL,4,0,0
2100644158,7:33:00,7:35:00,PHL,5,0,0
2100644158,8:32:00,8:32:00,NWK,6,1,0
2100644158,8:49:00,8:49:00,NYP,7,0,0
2103643519,6:00:00,6:00:00,NYP,1,0,1
2103643519,6:15:00,6:15:00,NWK,2,0,1
2103643519,6:28:00,6:28:00,MET,3,0,0
2103643519,6:54:00,6:54:00,TRE,4,0,0
2103643519,7:18:00,7:20:00,PHL,5,0,0
2103643519,7:39:00,7:39:00,WIL,6,0,0
2103643519,8:18:00,8:20:00,BAL,7,0,0
2103643519,8:55:00,8:55:00,WAS,8,0,0
2103643520,6:00:00,6:00:00,NYP,1,0,1
2103643520,6:15:00,6:15:00,NWK,2,0,1
2103643520,6:28:00,6:28:00,MET,3,0,0
2103643520,6:54:00,6:54:00,TRE,4,0,0
2103643520,7:18:00,7:20:00,PHL,5,0,0
2103643520,7:39:00,7:39:00,WIL,6,0,0
2103643520,8:18:00,8:20:00,BAL,7,0,0
2103643520,8:55:00,8:55:00,WAS,8,0,0
2103643522,6:00:00,6:00:00,NYP,1,0,1
2103643522,6:15:00,6:15:00,NWK,2,0,1
2103643522,6:28:00,6:28:00,MET,3,0,0
2103643522,6:54:00,6:54:00,TRE,4,0,0
2103643522,7:18:00,7:20:00,PHL,5,0,0
2103643522,7:39:00,7:39:00,WIL,6,0,0
2103643522,8:18:00,8:20:00,BAL,7,0,0
2103643522,8:55:00,8:55:00,WAS,8,0,0
2104644159,8:00:00,8:00:00,WAS,1,0,1
2104644159,8:21:00,8:21:00,BWI,2,0,0
2104644159,8:32:00,8:34:00,BAL,3,0,0
2104644159,9:16:00,9:16:00,WIL,4,0,0
2104644159,9:33:00,9:35:00,PHL,5,0,0
2104644159,10:29:00,10:29:00,NWK,6,1,0
2104644159,10:46:00,10:46:00,NYP,7,0,0
2104633810,7:55:00,7:55:00,WAS,1,0,1
2104633810,8:16:00,8:16:00,BWI,2,0,0
2104633810,8:27:00,8:29:00,BAL,3,0,0
2104633810,9:16:00,9:16:00,WIL,4,0,0
2104633810,9:33:00,9:35:00,PHL,5,0,0
2104633810,10:29:00,10:29:00,NWK,6,1,0
2104633810,10:46:00,10:46:00,NYP,7,0,0
2104633811,8:00:00,8:00:00,WAS,1,0,1
2104633811,8:21:00,8:21:00,BWI,2,0,0
2104633811,8:32:00,8:34:00,BAL,3,0,0
2104633811,9:16:00,9:16:00,WIL,4,0,0
2104633811,9:33:00,9:35:00,PHL,5,0,0
2104633811,10:29:00,10:29:00,NWK,6,1,0
2104633811,10:46:00,10:46:00,NYP,7,0,0
2104644160,8:00:00,8:00:00,WAS,1,0,1
2104644160,8:21:00,8:21:00,BWI,2,0,0
2104644160,8:32:00,8:34:00,BAL,3,0,0
2104644160,9:16:00,9:16:00,WIL,4,0,0
2104644160,9:33:00,9:35:00,PHL,5,0,0
2104644160,10:29:00,10:29:00,NWK,6,1,0
2104644160,10:46:00,10:46:00,NYP,7,0,0
2104644162,8:00:00,8:00:00,WAS,1,0,1
2104644162,8:21:00,8:21:00,BWI,2,0,0
2104644162,8:32:00,8:34:00,BAL,3,0,0
2104644162,9:16:00,9:16:00,WIL,4,0,0
2104644162,9:33:00,9:35:00,PHL,5,0,0
2104644162,10:29:00,10:29:00,NWK,6,1,0
2104644162,10:46:00,10:46:00,NYP,7,0,0
2107649582,7:00:00,7:00:00,NYP,1,0,1
2107649582,7:15:00,7:15:00,NWK,2,0,1
2107649582,7:28:00,7:28:00,MET,3,0,0
2107649582,8:15:00,8:17:00,PHL,4,0,0
2107649582,8:34:00,8:36:00,WIL,5,0,0
2107649582,9:15:00,9:17:00,BAL,6,0,0
2107649582,9:58:00,9:58:00,WAS,7,0,0
2107649583,7:00:00,7:00:00,NYP,1,0,1
2107649583,7:15:00,7:15:00,NWK,2,0,1
2107649583,7:28:00,7:28:00,MET,3,0,0
2107649583,8:15:00,8:17:00,PHL,4,0,0
2107649583,8:34:00,8:36:00,WIL,5,0,0
2107649583,9:20:00,9:22:00,BAL,6,0,0
2107649583,9:55:00,9:55:00,WAS,7,0,0
