stop_id,stop_name,stop_lat,stop_lon,stop_url,stop_timezone
ABE,Aberdeen Amtrak,39.508447,-76.163260,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269477,America/New_York
ABQ,Albuquerque Alvarado Transportation Center,35.083457,-106.648024,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270103,America/Denver
ACA,Antioch Amtrak,38.017700,-121.816024,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269170,America/Los_Angeles
ADM,Ardmore Amtrak,34.172465,-97.125510,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270692,America/Chicago
AKY,Ashland Amtrak,38.480875,-82.639603,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726267909,America/New_York
ALB,Albany-Rensselaer Amtrak,42.641029,-73.741147,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268101,America/New_York
ALC,Alliance Amtrak,40.921275,-81.092904,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268833,America/New_York
ALD,Alderson Amtrak,37.724277,-80.644856,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270914,America/New_York
ALI,Albion Amtrak,42.247196,-84.755814,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268145,America/New_York
ALN,Alton Amtrak,38.904723,-90.136276,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270489,America/Chicago
ALP,Alpine Amtrak,30.357302,-103.661513,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268617,America/Chicago
ALT,Altoona Amtrak,40.514475,-78.401620,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269166,America/New_York
ALX,Alexandria Amtrak,38.806503,-77.062330,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268964,America/New_York
ALY,Albany Amtrak,44.630464,-123.102774,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269832,America/Los_Angeles
AMM,Amherst Amtrak,42.375315,-72.511567,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268589,America/New_York
AMS,Amsterdam Amtrak,42.953719,-74.219500,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270883,America/New_York
ANA,Anaheim Amtrak,33.803507,-117.882263,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269040,America/Los_Angeles
ARB,Ann Arbor Amtrak,42.287692,-83.743154,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270485,America/New_York
ARD,Ardmore Amtrak,40.008278,-75.290399,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268613,America/New_York
ARK,Arkadelphia Amtrak,34.113919,-93.053284,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269516,America/Chicago
ARN,Auburn Amtrak,38.903638,-121.083187,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270663,America/Los_Angeles
ASD,Ashland Amtrak,37.759596,-77.481304,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268346,America/New_York
AST,Aldershot Amtrak,43.313413,-79.855712,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270314,America/New_York
ATL,Atlanta,33.799445,-84.392477,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269668,America/New_York
ATN,Anniston Amtrak,33.649112,-85.832145,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268167,America/Chicago
AUS,Austin Amtrak,30.269449,-97.756940,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270397,America/Chicago
BAL,Baltimore Penn Station,39.307302,-76.615688,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270879,America/New_York
BAM,Bangor Amtrak,42.314519,-86.111646,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268282,America/New_York
BAR,Barstow Amtrak,34.904820,-117.025435,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268817,America/Los_Angeles
BBY,Boston Back Bay Station,42.347317,-71.075828,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270007,America/New_York
BCV,Burke Centre Amtrak,38.797271,-77.298790,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1246042854846,America/New_York
BEL,Bellingham Amtrak,48.720263,-122.511255,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269028,America/Los_Angeles
BEN,Benson Amtrak,31.968758,-110.296904,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270458,America/Phoenix
BER,Berlin Amtrak,41.635595,-72.765274,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270481,America/New_York
BFD,Bakersfield Amtrak,35.372140,-119.008210,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270748,America/Los_Angeles
BFX,Buffalo Exchange Street Station,42.878449,-78.873748,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270187,America/New_York
BHM,Birmingham Amtrak,33.512467,-86.807364,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270206,America/Chicago
BKY,Berkeley Amtrak,37.867254,-122.300707,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270736,America/Los_Angeles
BLF,Bellows Falls Amtrak,43.136540,-72.444597,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726267977,America/New_York
BMM,Birmingham Amtrak,42.545509,-83.194198,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269876,America/New_York
BMT,Beaumont Amtrak,30.076458,-94.127367,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268049,America/Chicago
BNC,Burlington Amtrak,36.094225,-79.434531,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270023,America/New_York
BNG,Bingen-White Salmon Amtrak,45.715020,-121.468730,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269405,America/Los_Angeles
BNL,Bloomington-Normal Amtrak,40.509010,-88.984306,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270267,America/Chicago
BON,Boston North Station,42.366235,-71.061122,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268837,America/New_York
BOS,Boston South Station,42.352311,-71.055304,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268095,America/New_York
BRA,Brattleboro Amtrak,42.850849,-72.556497,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269672,America/New_York
BRH,Brookhaven Amtrak,31.582961,-90.441070,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268641,America/Chicago
BRK,Brunswick,43.911388,-69.965541,http://www.amtrak.com/servlet/ContentServer?pagename=am/AM_Snippet_C/IBLegacy&code=BRK,America/New_York
BRL,Burlington Amtrak,40.805788,-91.101951,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268701,America/Chicago
BRO,Browning Amtrak,48.534067,-113.013151,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268083,America/Denver
BRP,Bridgeport Amtrak,41.178006,-73.187539,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268758,America/New_York
BTL,Battle Creek Amtrak,42.318453,-85.187825,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269433,America/New_York
BUF,Buffalo Depew Station,42.907017,-78.726584,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269600,America/New_York
BUR,Burbank Bob Hope Airport Amtrak,34.193072,-118.353767,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270929,America/Los_Angeles
BWI,BWI Marshall Airport Amtrak,39.192362,-76.694300,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269334,America/New_York
BYN,Bryan Amtrak,41.480319,-84.551799,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268286,America/New_York
CAM,Camden Amtrak,34.248157,-80.625190,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270521,America/New_York
CBN,Canadian Border New York,43.109235,-79.058357,http://www.amtrak.com/servlet/ContentServer?pagename=am/AM_Snippet_C/IBLegacy&code=CBN,America/New_York
CBR,Cleburne Amtrak,32.349743,-97.382333,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268869,America/Chicago
CBS,Columbus Amtrak,43.340611,-89.012609,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268151,America/Chicago
CBV,Carlsbad,33.160989,-117.350730,http://www.amtrak.com/servlet/ContentServer?pagename=am/AM_Snippet_C/IBLegacy&code=CBV,America/Los_Angeles
CDL,Carbondale Amtrak,37.724235,-89.216628,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269580,America/Chicago
CEN,Centralia Amtrak,38.527531,-89.136118,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726269262,America/Chicago
CHI,Chicago Union Station,41.878684,-87.639443,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1237405734838,America/Chicago
CHM,Champaign-Urbana Amtrak,40.115843,-88.241366,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268476,America/Chicago
CHS,Charleston Amtrak,32.874866,-79.998002,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270175,America/New_York
CHW,Charleston Amtrak,38.346368,-81.638494,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726270409,America/New_York
CIC,Chico Amtrak,39.723259,-121.845861,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268007,America/Los_Angeles
CIN,Cincinnati Union Terminal,39.109927,-84.537061,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268813,America/New_York
CLA,Claremont Amtrak,43.368330,-72.377644,http://www.amtrak.com/servlet/ContentServer?c=am2Station&pagename=am%2Fam2Station%2FStation_Page&p=1237405732508&cid=1229726268789,America/New_York
