link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,cell_type,length,lanes,free_speed,capacity,mvmt_txt_id,main_node_id,cycle_length,start_green_time,end_green_time,nema_phase,geometry,
1,0,1,100002,hot,99,1,-1,0.05246,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106108 40.743322, -84.105818 40.742592)"
2,0,1,101990,hot,99,1,-1,0.04527,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106105 40.743323, -84.106149 40.743978)"
3,0,1,101997,hot,99,1,-1,0.05549,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106107 40.743321, -84.105049 40.743308)"
4,0,1,101998,hot,99,1,-1,0.04356,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106107 40.743324, -84.106936 40.743313)"
5,0,2,100004,hot,99,1,-1,0.05000,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104304 40.743319, -84.104354 40.742595)"
6,0,2,101992,hot,99,1,-1,0.04280,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104301 40.743320, -84.104383 40.743938)"
7,0,2,101996,hot,99,1,-1,0.05246,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104302 40.743318, -84.103300 40.743305)"
8,0,2,101997,hot,99,1,-1,0.03902,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104302 40.743321, -84.105049 40.743310)"
9,0,3,101995,hot,99,1,-1,0.03220,1,25.0,1800.0,,,,,,,"LINESTRING (-84.102894 40.743282, -84.102281 40.743267)"
10,0,3,101996,hot,99,1,-1,0.02121,1,25.0,1800.0,,,,,,,"LINESTRING (-84.102894 40.743285, -84.103300 40.743308)"
11,0,4,100020,hot,99,1,-1,0.03864,1,25.0,1800.0,,,,,,,"LINESTRING (-84.102975 40.740701, -84.102238 40.740737)"
12,0,4,100021,hot,99,1,-1,0.01818,1,25.0,1800.0,,,,,,,"LINESTRING (-84.102975 40.740704, -84.103320 40.740723)"
13,0,5,100004,hot,99,1,-1,0.03712,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104340 40.742056, -84.104351 40.742595)"
14,0,5,100007,hot,99,1,-1,0.05436,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104341 40.742055, -84.103305 40.742066)"
15,0,5,100008,hot,99,1,-1,0.03561,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104341 40.742058, -84.105020 40.742084)"
16,0,5,100017,hot,99,1,-1,0.04924,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104343 40.742056, -84.104326 40.741343)"
17,0,6,100002,hot,99,1,-1,0.04583,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106143 40.741976, -84.105815 40.742592)"
18,0,6,100008,hot,99,1,-1,0.05928,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106144 40.741976, -84.105020 40.742081)"
19,0,6,100009,hot,99,1,-1,0.04280,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106144 40.741978, -84.106957 40.742033)"
20,0,6,100014,hot,99,1,-1,0.04356,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106145 40.741977, -84.106203 40.741345)"
21,0,7,100014,hot,99,1,-1,0.04375,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106221 40.740711, -84.106200 40.741345)"
22,0,7,100022,hot,99,1,-1,0.06288,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106222 40.740709, -84.105022 40.740726)"
23,0,7,100023,hot,99,1,-1,0.03807,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106222 40.740712, -84.106947 40.740768)"
24,0,7,100030,hot,99,1,-1,0.05530,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106224 40.740711, -84.106142 40.739911)"
25,0,8,100017,hot,99,1,-1,0.04356,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104345 40.740711, -84.104323 40.741343)"
26,0,8,100021,hot,99,1,-1,0.05379,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104346 40.740710, -84.103320 40.740720)"
27,0,8,100022,hot,99,1,-1,0.03542,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104346 40.740713, -84.105022 40.740728)"
28,0,8,100032,hot,99,1,-1,0.05625,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104347 40.740712, -84.104546 40.739910)"
29,0,9,100035,hot,99,1,-1,0.11989,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101227 40.738669, -84.103340 40.739331)"
30,0,9,100100,hot,99,1,-1,0.06212,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101228 40.738669, -84.102265 40.738235)"
31,0,10,100032,hot,99,1,-1,0.04337,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104456 40.739283, -84.104543 40.739910)"
32,0,10,100035,hot,99,1,-1,0.05852,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104457 40.739281, -84.103340 40.739328)"
33,0,10,100036,hot,99,1,-1,0.03333,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104457 40.739284, -84.105091 40.739333)"
34,0,10,100046,hot,99,1,-1,0.04848,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104458 40.739283, -84.104396 40.738579)"
35,0,11,100030,hot,99,1,-1,0.04337,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106007 40.739289, -84.106139 40.739912)"
36,0,11,100036,hot,99,1,-1,0.04811,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106009 40.739288, -84.105091 40.739330)"
37,0,11,100037,hot,99,1,-1,0.04735,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106009 40.739291, -84.106911 40.739276)"
38,0,11,100044,hot,99,1,-1,0.04981,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106010 40.739290, -84.106195 40.738581)"
39,0,12,100044,hot,99,1,-1,0.04621,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106228 40.737911, -84.106193 40.738581)"
40,0,12,100050,hot,99,1,-1,0.06136,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106229 40.737910, -84.105059 40.737936)"
41,0,12,100051,hot,99,1,-1,0.03561,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106229 40.737913, -84.106909 40.737927)"
42,0,12,100055,hot,99,1,-1,0.05095,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106231 40.737911, -84.106163 40.737174)"
43,0,13,100046,hot,99,1,-1,0.04792,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104383 40.737884, -84.104393 40.738579)"
44,0,13,100049,hot,99,1,-1,0.05549,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104385 40.737883, -84.103328 40.737947)"
45,0,13,100050,hot,99,1,-1,0.03542,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104385 40.737885, -84.105059 40.737939)"
46,0,13,100057,hot,99,1,-1,0.04905,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104386 40.737884, -84.104397 40.737172)"
47,0,14,101975,hot,99,1,-1,0.19299,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106111 40.748043, -84.106109 40.750842)"
48,0,14,101983,hot,99,1,-1,0.05739,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106113 40.748042, -84.105020 40.747999)"
49,0,14,101984,hot,99,1,-1,0.04299,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106113 40.748044, -84.106932 40.748001)"
50,0,15,100143,hot,99,1,-1,0.05208,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104107 40.747151, -84.103926 40.746408)"
51,0,15,101983,hot,99,1,-1,0.07557,1,25.0,1800.0,,,,,,,"LINESTRING (-84.104104 40.747152, -84.105019 40.748001)"
52,0,16,101900,hot,99,1,-1,0.20985,1,25.0,1800.0,,,,,,,"LINESTRING (-84.111421 40.764906, -84.113577 40.762345)"
53,0,16,101961,hot,99,1,-1,0.06402,1,25.0,1800.0,,,,,,,"LINESTRING (-84.111420 40.764904, -84.110226 40.764705)"
54,0,17,101932,hot,99,1,-1,0.12708,1,25.0,1800.0,,,,,,,"LINESTRING (-84.105320 40.767604, -84.106956 40.768964)"
55,0,17,101936,hot,99,1,-1,0.17765,1,25.0,1800.0,,,,,,,"LINESTRING (-84.105321 40.767604, -84.108689 40.767314)"
56,0,17,101939,hot,99,1,-1,0.19754,1,25.0,1800.0,,,,,,,"LINESTRING (-84.105322 40.767603, -84.105006 40.764751)"
57,0,18,100232,hot,99,1,-1,0.13125,1,25.0,1800.0,,,,,,,"LINESTRING (-84.150584 40.766767, -84.152693 40.765741)"
58,0,18,100235,hot,99,1,-1,0.15852,1,25.0,1800.0,,,,,,,"LINESTRING (-84.150584 40.766765, -84.149526 40.764612)"
59,0,18,100305,hot,99,1,-1,0.13163,1,25.0,1800.0,,,,,,,"LINESTRING (-84.150583 40.766764, -84.148081 40.766906)"
60,0,19,101940,hot,99,1,-1,0.09223,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106769 40.761758, -84.105010 40.761799)"
61,0,19,101941,hot,99,1,-1,0.10000,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106769 40.761761, -84.108674 40.761721)"
62,0,20,101940,hot,99,1,-1,0.17481,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101676 40.761750, -84.105010 40.761801)"
63,0,20,101946,hot,99,1,-1,0.18352,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101677 40.761749, -84.101608 40.759089)"
64,0,21,101946,hot,99,1,-1,0.31629,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101646 40.754504, -84.101605 40.759089)"
65,0,21,101967,hot,99,1,-1,0.17860,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101649 40.754504, -84.101698 40.751914)"
66,0,21,101969,hot,99,1,-1,0.17595,1,25.0,1800.0,,,,,,,"LINESTRING (-84.101647 40.754505, -84.105002 40.754555)"
67,0,22,100172,hot,99,1,-1,0.25511,1,25.0,1800.0,,,,,,,"LINESTRING (-84.106969 40.755142, -84.106768 40.751448)"
