from_zone_id,to_zone_id,number_of_vehicles
1,1,40.513187
1,2,30.369238
1,3,61.23941
1,4,2.942998
1,5,21.039307
1,6,28.052408
1,7,19.72435
1,8,3.130849
1,9,134.563904
1,10,8.828995
1,11,179.58551
1,12,4.808985
1,13,91.107712
1,14,111.771317
1,15,41.890762
1,16,52.285183
1,17,40.778057
1,18,39.702297
1,19,51.695332
1,20,38.505062
1,21,103.120155
1,22,52.345917
1,23,23.997332
1,24,135.116806
1,25,9.193426
1,26,18.130121
1,27,27.978519
1,28,41.414249
1,30,17.740017
1,31,55.354668
1,32,36.914593
1,33,16.032454
1,34,90.957428
1,35,13.230968
1,36,21.043064
1,37,42.170036
1,38,36.799374
1,39,14.601655
1,40,6.492129
1,41,177.83223
2,1,30.337976
2,2,22.74176
2,3,45.858643
2,4,2.203841
2,5,15.755116
2,6,21.006823
2,7,14.770422
2,8,2.344511
2,9,100.767097
2,10,6.611522
2,11,134.481171
2,12,3.60117
2,13,68.225281
2,14,83.699059
2,15,31.369562
2,16,39.153339
2,17,30.536322
2,18,29.730747
2,19,38.711636
2,20,28.834208
2,21,77.220703
2,22,39.198822
2,23,17.970211
2,24,101.181145
2,25,6.884424
2,26,13.576597
2,27,20.95149
2,28,31.012728
2,30,13.284471
2,31,41.4519
2,32,27.643198
2,33,12.005774
2,34,68.11274
2,35,9.907906
2,36,15.75793
2,37,31.578693
2,38,27.556917
2,39,10.934332
2,40,8
2,41,133.168243
3,1,61.176376
3,2,45.858643
3,3,92.473717
3,4,4.444033
3,5,31.770111
3,6,42.360149
3,7,29.784479
3,8,4.727695
3,9,203.196335
3,10,13.3321
3,11,271.180603
3,12,7.26174
3,13,137.575928
3,14,168.778717
3,15,63.256561
3,16,78.952507
3,17,61.576336
3,18,59.9519
3,19,78.061813
3,20,58.144032
3,21,155.715149
3,22,79.04422
3,23,36.236835
3,24,204.03125
3,25,13.882404
3,26,27.377138
3,27,42.248573
3,28,62.537006
3,30,26.788065
3,31,83.58754
3,32,55.742363
3,33,24.209581
3,34,137.348999
3,35,19.97924
3,36,31.775784
3,37,63.678272
3,38,55.568382
3,39,22.049025
3,40,9.803349
3,41,268.533081
4,1,2.939969
4,2,2.203841
4,3,4.444033
4,4,0.213568
4,5,1.526784
4,6,2.035713
4,7,1.43136
4,8,0.2272
4,9,9.765059
4,10,0.640704
4,11,13.032196
4,12,0.348979
4,13,6.611522
4,14,8.111043
4,15,3.039937
4,16,3.794241
4,17,2.95919
4,18,2.881124
4,19,3.751437
4,20,2.794243
4,21,7.483243
4,22,3.798649
4,23,1.741443
4,24,9.805182
4,25,0.66715
4,26,1.31567
4,27,2.030351
4,28,3.005357
4,30,1.287361
4,31,4.016988
4,32,2.678825
4,33,1.163446
4,34,6.600616
4,35,0.960148
4,36,1.527057
4,37,3.060203
4,38,2.670464
4,39,1.059616
4,40,0.471122
4,41,12.904964
5,1,21.038502
5,2,15.770746
5,3,31.801628
5,4,1.528299
5,5,10.925713
5,6,14.567617
5,7,10.242856
5,8,1.62585
5,9,69.879036
5,10,4.584898
5,11,93.258766
5,12,2.497306
5,13,47.312241
5,14,58.04285
5,15,21.753876
5,16,27.151697
5,17,21.176046
5,18,20.617405
5,19,26.845388
5,20,19.99568
5,21,53.550301
5,22,27.183239
5,23,12.461816
5,24,70.166168
5,25,4.774147
5,26,9.414973
5,27,14.529246
5,28,21.506422
5,30,9.212392
5,31,28.745682
5,32,19.16975
5,33,8.325654
5,34,47.2342
5,35,6.870843
5,36,10.927664
5,37,21.898901
5,38,19.109917
5,39,7.58264
5,40,3.371363
5,41,92.348289
6,1,28.044384
6,2,21.022451
6,3,42.391666
6,4,2.037227
6,5,14.564008
6,6,19.418676
6,7,13.653757
6,8,2.167263
6,9,93.148964
6,10,6.111682
6,11,124.314209
6,12,3.328916
6,13,63.067356
6,14,77.371292
6,15,28.99798
6,16,36.193295
6,17,28.227734
6,18,27.483063
6,19,35.784981
6,20,26.654301
6,21,71.382706
6,22,36.235336
6,23,16.611637
6,24,93.531708
6,25,6.363952
6,26,12.550187
6,27,19.367529
6,28,28.668123
6,30,12.280146
6,31,38.318081
6,32,25.553333
6,33,11.098122
6,34,62.963326
6,35,9.158854
6,36,14.566608
6,37,29.191301
6,38,25.473577
6,39,10.107681
6,40,4.494037
6,41,123.10054
7,1,19.683197
7,2,14.754791
7,3,29.75296
7,4,1.429846
7,5,10.221876
7,6,13.629169
7,7,9.583009
7,8,1.521113
7,9,65.377419
7,10,4.289537
7,11,87.251015
7,12,2.336429
7,13,44.264374
7,14,54.303719
7,15,20.352486
7,16,25.402578
7,17,19.811882
7,18,19.289228
7,19,25.116003
7,20,18.707554
7,21,50.100578
7,22,25.432089
7,23,11.659023
7,24,65.646049
7,25,4.466595
7,26,8.808458
7,27,13.593269
7,28,20.120974
7,30,8.618928
7,31,26.893879
7,32,17.93483
7,33,7.789313
7,34,44.19136
7,35,6.428222
7,36,10.223701
7,37,20.488169
7,38,17.878853
7,39,7.094165
7,40,3.154179
7,41,86.399193
8,1,3.127626
8,2,2.344511
8,3,4.727695
8,4,0.2272
8,5,1.624239
8,6,2.165652
8,7,1.522724
8,8,0.241702
8,9,10.388361
8,10,0.6816
8,11,13.864038
8,12,0.371255
8,13,7.033534
8,14,8.628769
8,15,3.233975
8,16,4.036427
8,17,3.148074
8,18,3.065026
8,19,3.99089
8,20,2.972599
8,21,7.960897
8,22,4.041116
8,23,1.852599
8,24,10.431046
8,25,0.709734
8,26,1.399649
8,27,2.159947
8,28,3.197188
8,30,1.369533
8,31,4.273392
8,32,2.849814
8,33,1.237709
8,34,7.021932
8,35,1.021433
8,36,1.624529
8,37,3.255535
8,38,2.840919
8,39,1.127251
8,40,0.501194
8,41,13.728685
9,1,14.929204
9,2,11.191134
9,3,22.566864
9,4,1.084502
9,5,7.753033
9,6,10.337378
9,7,7.268469
9,8,1.153725
9,9,49.587109
9,10,3.253505
9,11,66.177673
9,12,1.772122
9,13,33.573402
9,14,41.187988
9,15,15.436843
9,16,19.26721
9,17,15.026809
9,18,14.630389
9,19,19.049849
9,20,14.189204
9,21,38.000015
9,22,19.289593
9,23,8.843073
9,24,49.790859
9,25,3.387799
9,26,6.680992
9,27,10.310149
9,28,15.261247
9,30,6.537238
9,31,20.398323
9,32,13.603113
9,33,5.907996
9,34,33.518024
9,35,4.875643
9,36,7.754417
9,37,15.539756
9,38,13.560655
9,39,5.380744
9,40,2.392365
9,41,65.531593
10,1,0.97999
10,2,0.734614
10,3,1.481344
10,4,0.071189
10,5,0.508928
10,6,0.678571
10,7,0.47712
10,8,0.075733
10,9,3.25502
10,10,0.213568
10,11,4.344065
10,12,0.116326
10,13,2.203841
10,14,2.703681
10,15,1.013312
10,16,1.264747
10,17,0.986397
10,18,0.960375
10,19,1.250479
10,20,0.931414
10,21,2.494414
10,22,1.266216
10,23,0.580481
10,24,3.268394
10,25,0.222383
10,26,0.438557
10,27,0.676784
10,28,1.001786
10,30,0.42912
10,31,1.338996
10,32,0.892942
10,33,0.387815
10,34,2.200206
10,35,0.320049
10,36,0.509019
10,37,1.020068
10,38,0.890155
10,39,0.353205
10,40,0.157041
10,41,4.301655
11,1,19.912556
11,2,14.926723
11,3,30.099659
11,4,1.446507
11,5,10.340987
11,6,13.787983
11,7,9.694675
11,8,1.538837
11,9,66.139229
11,10,4.339521
11,11,88.267708
11,12,2.363654
11,13,44.780167
11,14,54.936493
11,15,20.589643
11,16,25.698584
11,17,20.04274
11,18,19.513996
11,19,25.408667
11,20,18.925545
11,21,50.684376
11,22,25.728436
11,23,11.79488
11,24,66.410988
11,25,4.518642
11,26,8.911099
11,27,13.751665
11,28,20.355433
11,30,8.71936
11,31,27.20726
11,32,18.143816
11,33,7.880079
11,34,44.706303
11,35,6.503127
11,36,10.342834
11,37,20.72691
11,38,18.087187
11,39,7.17683
11,40,3.190933
11,41,87.40596
