link_id,nb_lane,length,from_node_id,to_node_id,FT,AT,dir_flag,time_period,period,period_factor,volume,capacity,speed,speed_limit,Date
10360AB,6,0.21931,12596,12614,1,1,1,0000_0015,1800_0600,4.789740585,80,8566,69.075,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0015_0030,1800_0600,4.789740585,75.5,8566,68.625,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0030_0045,1800_0600,4.789740585,67.41666667,8566,68.39166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0045_0100,1800_0600,4.789740585,62.25,8566,68.90833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0100_0115,1800_0600,4.789740585,55.08333333,8566,67.55833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0115_0130,1800_0600,4.789740585,52,8566,67.75,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0130_0145,1800_0600,4.789740585,48.5,8566,67.43333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0145_0200,1800_0600,4.789740585,43.25,8566,68.31666667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0160_0215,1800_0600,4.789740585,48.16666667,8566,68.63333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0215_0230,1800_0600,4.789740585,42.66666667,8566,68.93333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0230_0245,1800_0600,4.789740585,42.33333333,8566,67.525,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0245_0260,1800_0600,4.789740585,42.25,8566,68.73333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0300_0315,1800_0600,4.789740585,44.75,8566,69.025,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0315_0330,1800_0600,4.789740585,46.41666667,8566,68.375,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0330_0345,1800_0600,4.789740585,57,8566,68.88333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0345_0400,1800_0600,4.789740585,59.91666667,8566,69.69166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0400_0415,1800_0600,4.789740585,66.41666667,8566,69.325,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0415_0430,1800_0600,4.789740585,94.16666667,8566,69.63333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0430_0445,1800_0600,4.789740585,138.1666667,8566,69.68333333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0445_0500,1800_0600,4.789740585,150.1666667,8566,69.925,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0460_0515,1800_0600,4.789740585,163,8566,68.20833333,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0515_0530,1800_0600,4.789740585,216.4166667,8566,67.5,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0530_0545,1800_0600,4.789740585,269.6666667,8566,67.125,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0545_0560,1800_0600,4.789740585,266.4166667,8566,67.95,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0600_0615,0600_0900,4.789740585,287.1666667,4984,67.74166667,70,1/1/2018
10360AB,6,0.21931,12596,12614,1,1,1,0615_0630,0600_0900,2.826108439,324.5833333,4984,66.93333333,70,1/1/2018
