link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
5512AB,,849,9798,,1,1,0.13160,1,15.0,99999.0,,,,"LINESTRING (-112.067463 33.456560, -112.065185 33.456543)"
5512BA,,9798,849,,1,1,0.13160,1,15.0,99999.0,,,,"LINESTRING (-112.065185 33.456545, -112.067463 33.456562)"
5549AB,,9839,9840,,1,1,0.58929,4,70.0,18560.0,,,,"LINESTRING (-112.070300 33.462034, -112.060144 33.461671)"
5550AB,,9841,9842,,1,1,0.61168,4,70.0,18560.0,,,,"LINESTRING (-112.059426 33.462101, -112.069988 33.462600)"
5551AB,,9843,9844,,1,1,0.13340,1,25.0,1390.0,,,,"LINESTRING (-112.067481 33.458648, -112.065172 33.458681)"
5551BA,,9844,9843,,1,1,0.13340,1,25.0,1390.0,,,,"LINESTRING (-112.065172 33.458683, -112.067481 33.458650)"
5590AB,,9909,9910,,1,1,0.58581,1,70.0,8134.0,,,,"LINESTRING (-112.069610 33.462225, -112.059497 33.461731)"
5593AB,,9915,9916,,1,1,0.59905,1,70.0,8134.0,,,,"LINESTRING (-112.059668 33.462053, -112.070009 33.462505)"
5594AB,,9915,9917,,1,1,0.50221,1,39.0,4558.0,,,,"LINESTRING (-112.059668 33.462053, -112.068342 33.462454)"
5596AB,,9920,9921,,1,1,0.43846,1,39.0,4558.0,,,,"LINESTRING (-112.069128 33.462365, -112.061566 33.461872)"
5605AB,,9933,9934,,1,1,0.09392,2,39.0,9116.0,,,,"LINESTRING (-112.068104 33.461885, -112.066512 33.461608)"
5606AB,,9935,9936,,1,1,0.11883,2,39.0,9116.0,,,,"LINESTRING (-112.065051 33.462198, -112.066742 33.463038)"
5607AB,,9937,9936,,1,1,0.11057,1,39.0,4558.0,,,,"LINESTRING (-112.065219 33.463634, -112.066742 33.463038)"
6971AB,,831,10730,,1,1,0.26159,1,15.0,99999.0,,,,"LINESTRING (-112.094929 33.454858, -112.095606 33.458611)"
6971BA,,10730,831,,1,1,0.26159,1,15.0,99999.0,,,,"LINESTRING (-112.095608 33.458611, -112.094931 33.454858)"
6977AB,,10736,10737,,1,1,0.48997,2,70.0,9280.0,,,,"LINESTRING (-112.109403 33.460795, -112.108223 33.453911)"
6982AB,,10743,10744,,1,1,0.08394,2,39.0,9116.0,,,,"LINESTRING (-112.099689 33.461051, -112.098245 33.461188)"
6983AB,,10745,10746,,1,1,0.25503,2,70.0,9280.0,,,,"LINESTRING (-112.098882 33.461923, -112.103290 33.462105)"
6984AB,,10745,10747,,1,1,0.42331,3,70.0,13920.0,,,,"LINESTRING (-112.098882 33.461923, -112.106210 33.461960)"
6985AB,,10748,10749,,1,1,0.24735,1,25.0,1390.0,,,,"LINESTRING (-112.091250 33.458634, -112.091260 33.455045)"
6985BA,,10749,10748,,1,1,0.24735,1,25.0,1390.0,,,,"LINESTRING (-112.091258 33.455045, -112.091248 33.458634)"
6986AB,,10748,10750,,1,1,0.70793,1,35.0,2469.0,,,,"LINESTRING (-112.091250 33.458633, -112.082525 33.451420)"
6986BA,,10750,10748,,1,1,0.70793,1,35.0,2469.0,,,,"LINESTRING (-112.082523 33.451422, -112.091248 33.458635)"
6989AB,,10752,10754,,1,1,0.19966,4,70.0,18560.0,,,,"LINESTRING (-112.107958 33.455459, -112.107930 33.458356)"
6991AB,,10757,10758,,1,1,0.42074,2,25.0,2780.0,,,,"LINESTRING (-112.108560 33.459098, -112.108561 33.452993)"
6992AB,,10759,10730,,1,1,0.25626,1,25.0,1390.0,,,,"LINESTRING (-112.100043 33.458587, -112.095607 33.458610)"
6992BA,,10730,10759,,1,1,0.25626,1,25.0,1390.0,,,,"LINESTRING (-112.095607 33.458612, -112.100043 33.458589)"
6993AB,,10759,10731,,1,1,0.25246,2,35.0,4938.0,,,,"LINESTRING (-112.100044 33.458588, -112.100083 33.454925)"
6993BA,,10731,10759,,1,1,0.25246,2,35.0,4938.0,,,,"LINESTRING (-112.100081 33.454925, -112.100042 33.458588)"
