node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,control_type,control_type_name,cycle_length_in_second,signal_offset_in_second,,
1,,-110.970085,32.224930,,,1,"POINT (-110.970085 32.224930)",1,,0,0,,
2,,-110.970070,32.223598,,,2,"POINT (-110.970070 32.223598)",1,,0,0,,
3,,-110.967941,32.222775,,,3,"POINT (-110.967941 32.222775)",1,,0,0,,
4,,-110.967323,32.223721,,,4,"POINT (-110.967323 32.223721)",1,,0,0,,
5,,-110.966293,32.221649,,,5,"POINT (-110.966293 32.221649)",1,,0,0,,
6,,-110.967834,32.221626,,,6,"POINT (-110.967834 32.221626)",1,,0,0,,
7,,-110.969772,32.221519,,,7,"POINT (-110.969772 32.221519)",1,,0,0,,
8,,-110.971771,32.221424,,,8,"POINT (-110.971771 32.221424)",1,,0,0,,
9,,-110.969902,32.222557,,,9,"POINT (-110.969902 32.222557)",1,,0,0,,
10,,-110.971878,32.222301,,,10,"POINT (-110.971878 32.222301)",1,,0,0,,
11,,-110.972137,32.223492,,,11,"POINT (-110.972137 32.223492)",1,,0,0,,
12,,-110.972420,32.224670,,,12,"POINT (-110.972420 32.224670)",1,,0,0,,
13,,-110.973267,32.227165,,,13,"POINT (-110.973267 32.227165)",1,,0,0,,
14,,-110.967102,32.225372,,,14,"POINT (-110.967102 32.225372)",1,,0,0,,
15,,-110.974426,32.224819,,,15,"POINT (-110.974426 32.224819)",1,,0,0,,
16,,-110.974403,32.222599,,,16,"POINT (-110.974403 32.222599)",1,,0,0,,
17,,-110.978783,32.223518,,,17,"POINT (-110.978783 32.223518)",1,,0,0,,
18,,-110.977768,32.219406,,,18,"POINT (-110.977768 32.219406)",1,,0,0,,
19,,-110.974236,32.219124,,,19,"POINT (-110.974236 32.219124)",1,,0,0,,
20,,-110.971581,32.218998,,,20,"POINT (-110.971581 32.218998)",1,,0,0,,
21,,-110.969498,32.217243,,,21,"POINT (-110.969498 32.217243)",1,,0,0,,
22,,-110.967018,32.217278,,,22,"POINT (-110.967018 32.217278)",1,,0,0,,
23,,-110.964050,32.216122,,,23,"POINT (-110.964050 32.216122)",1,,0,0,,
24,,-110.959862,32.214985,,,24,"POINT (-110.959862 32.214985)",1,,0,0,,
25,,-110.971954,32.214622,,,25,"POINT (-110.971954 32.214622)",1,,0,0,,
26,,-110.976318,32.214592,,,26,"POINT (-110.976318 32.214592)",1,,0,0,,
27,,-110.977104,32.209400,,,27,"POINT (-110.977104 32.209400)",1,,0,0,,
28,,-110.971581,32.209415,,,28,"POINT (-110.971581 32.209415)",1,,0,0,,
29,,-110.966965,32.209438,,,29,"POINT (-110.966965 32.209438)",1,,0,0,,
30,,-110.964592,32.209423,,,30,"POINT (-110.964592 32.209423)",1,,0,0,,
31,,-110.958603,32.209679,,,31,"POINT (-110.958603 32.209679)",1,,0,0,,
32,,-110.953171,32.210827,,,32,"POINT (-110.953171 32.210827)",1,,0,0,,
33,,-110.946594,32.208237,,,33,"POINT (-110.946594 32.208237)",1,,0,0,,
34,,-110.942513,32.211891,,,34,"POINT (-110.942513 32.211891)",1,,0,0,,
35,,-110.951874,32.215450,,,35,"POINT (-110.951874 32.215450)",1,,0,0,,
36,,-110.962563,32.225750,,,36,"POINT (-110.962563 32.225750)",1,,0,0,,
37,,-110.962593,32.232216,,,37,"POINT (-110.962593 32.232216)",1,,0,0,,
