link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,cell_type,length,lanes,free_speed,capacity,geometry,ref_volume,link_type_name,dir,VDF_alpha,VDF_beta,VDF_peak_load_factor
30027,,840,43254,,5,1,-1,0.48,9,15,1111,"LINESTRING (-111.145630 32.182896, -111.153870 32.182862)",,Zonal connector,1,0.15,4,1
30027,,43254,840,,5,1,-1,0.48,9,15,1111,"LINESTRING (-111.153870 32.182854, -111.145630 32.182888)",,Zonal connector,1,0.15,4,1
30028,,782,43256,,5,1,-1,0.54,9,15,1111,"LINESTRING (-111.157349 32.412487, -111.148071 32.412388)",,Zonal connector,1,0.15,4,1
30028,,43256,782,,5,1,-1,0.54,9,15,1111,"LINESTRING (-111.148071 32.412396, -111.157349 32.412495)",,Zonal connector,1,0.15,4,1
30029,,784,43258,,5,1,-1,2.38,9,15,1111,"LINESTRING (-111.148865 32.468231, -111.189484 32.470993)",,Zonal connector,1,0.15,4,1
30029,,43258,784,,5,1,-1,2.38,9,15,1111,"LINESTRING (-111.189484 32.470985, -111.148865 32.468223)",,Zonal connector,1,0.15,4,1
30030,VALENCIA RD,43259,43260,,6,1,-1,0.66,1,60,1800,"LINESTRING (-111.156464 32.133289, -111.145287 32.133262)",,Major arterial,1,0.15,4,1
30030,VALENCIA RD,43260,43259,,6,1,-1,0.66,1,60,1800,"LINESTRING (-111.145287 32.133270, -111.156464 32.133297)",,Major arterial,1,0.15,4,1
30031,TANGERINE RD,43261,43262,,6,1,-1,1.63,1,44,1750,"LINESTRING (-111.135986 32.424504, -111.162682 32.425347)",,Major arterial,1,0.15,4,1
30031,TANGERINE RD,43262,43261,,6,1,-1,1.63,1,44,1750,"LINESTRING (-111.162682 32.425339, -111.135986 32.424496)",,Major arterial,1,0.15,4,1
30032,AVRA VALLEY RD,43263,43264,,6,1,-1,2.1,1,63,1750,"LINESTRING (-111.131683 32.400334, -111.165291 32.402699)",,Major arterial,1,0.15,4,1
30032,AVRA VALLEY RD,43264,43263,,6,1,-1,2.1,1,63,1750,"LINESTRING (-111.165291 32.402691, -111.131683 32.400326)",,Major arterial,1,0.15,4,1
30033,KINNEY RD,43265,43266,,6,1,-1,2.83,1,49,1800,"LINESTRING (-111.167994 32.247323, -111.132143 32.221642)",,Major arterial,1,0.15,4,1
30033,KINNEY RD,43266,43265,,6,1,-1,2.83,1,49,1800,"LINESTRING (-111.132139 32.221648, -111.167990 32.247329)",,Major arterial,1,0.15,4,1
30034,SAN JOAQUIN RD,43254,43267,,6,1,-1,0.62,1,60,1800,"LINESTRING (-111.153872 32.182855, -111.145662 32.177197)",,Major arterial,1,0.15,4,1
30034,SAN JOAQUIN RD,43267,43254,,6,1,-1,0.62,1,60,1800,"LINESTRING (-111.145658 32.177203, -111.153868 32.182861)",,Major arterial,1,0.15,4,1
30035,BOPP RD,43268,43267,,6,1,-1,0.68,1,37,1800,"LINESTRING (-111.157242 32.177208, -111.145660 32.177196)",,Major arterial,1,0.15,4,1
