link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,restricted_turn_nodes,auto_turn_volume,ref_volume,ref_diff,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_info,MEU_vol_auto,MEU_vol_info,mode_cap_auto,mode_cap_info,mode_VOC_auto,mode_VOC_info,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,3,3.000000,1.950400,1.212181,1.950400,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,4,4:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.978,59.173,36.777,0.986,0.552,0.552,1900.000,5700.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.089,0.000,60.000,51.000,0.400,4.000,57.343,50.999,4240.975,115.317,4240.975,115.317,1.589,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",3148.767,349.863,3148.767,349.863,0.552,0.552,0.552,0.552,60.000,60.000,60.000,60.000,59.694,59.777,59.861,59.944,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,59.173,59.173,0.000,0.552,0.552,0.000,0.089,0.089,0.000,period-based
2,2,bpr,3,4,3.000000,1.891960,1.175861,1.891960,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,5:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.925,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,4113.902,112.234,4113.902,112.234,1.913,0.000,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
3,3,bpr,4,5,3.000000,1.815980,1.128639,1.815980,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,6:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.847,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,3948.690,107.727,3948.690,107.727,1.836,0.000,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
4,4,bpr,5,6,3.000000,2.078070,1.291529,2.078070,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,7:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,2.114,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,4518.582,123.275,4518.582,123.275,2.101,0.000,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
5,5,bpr,6,7,3.000000,1.890790,1.175134,1.890790,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,8:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.924,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,4111.358,112.165,4111.358,112.165,1.912,0.000,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
6,6,bpr,7,8,3.000000,2.059340,1.279888,2.059340,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,9:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,2.095,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,4477.855,122.163,4477.855,122.163,2.082,0.000,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
7,7,bpr,8,9,3.000000,1.703610,1.058800,1.703610,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,10:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.733,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,3704.351,101.061,3704.351,101.061,1.723,0.000,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
8,8,bpr,10,11,2.000000,1.497710,0.930833,1.497710,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,12:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.629,55.158,34.281,0.919,0.875,0.875,1800.000,3600.000,0.000,0.000,0.000,1.000,2.000,1574.384,0.955,1.142,0.559,0.000,60.000,51.000,0.400,4.000,46.469,49.084,3256.640,94.999,3256.640,94.999,7.667,0.000,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",3148.767,349.863,3148.767,349.863,0.875,0.875,0.875,0.875,60.000,60.000,60.000,60.000,58.931,59.223,59.514,59.806,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,55.158,55.158,0.000,0.875,0.875,0.000,0.559,0.559,0.000,period-based
9,9,bpr,11,12,3.000000,0.987380,0.613661,0.987380,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,2:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.005,58.977,36.655,0.983,0.583,0.583,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1049.589,0.955,1.142,0.110,0.000,60.000,51.000,0.400,4.000,56.737,50.997,2146.972,58.573,2146.972,58.573,0.998,0.000,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",3148.767,349.863,3148.767,349.863,0.583,0.583,0.583,0.583,60.000,60.000,60.000,60.000,59.623,59.726,59.829,59.932,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,58.977,58.977,0.000,0.583,0.583,0.000,0.110,0.110,0.000,period-based
10,10,bpr,9,10,2.000000,1.609970,1.000603,1.609970,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3498.630,,11:3148;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3498.630,1.751,55.158,34.281,0.919,0.875,0.875,1800.000,3600.000,0.000,0.000,0.000,1.000,2.000,1574.384,0.955,1.142,0.559,0.000,60.000,51.000,0.400,4.000,46.469,49.084,3500.739,102.120,3500.739,102.120,8.242,0.000,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",3148.767,349.863,3148.767,349.863,0.875,0.875,0.875,0.875,60.000,60.000,60.000,60.000,58.931,59.223,59.514,59.806,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3498.630,3498.630,0.000,55.158,55.158,0.000,0.875,0.875,0.000,0.559,0.559,0.000,period-based
11,11,bpr,1,14,3.000000,0.768430,0.477582,0.768430,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3501.370,,15:3151;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3501.370,0.782,58.974,36.653,0.983,0.584,0.584,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1050.411,0.955,1.142,0.111,0.000,60.000,51.000,0.400,4.000,56.727,50.997,1672.193,45.623,1672.193,45.623,0.780,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",3151.233,350.137,3151.233,350.137,0.584,0.584,0.584,0.584,60.000,60.000,60.000,60.000,59.622,59.725,59.828,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3501.370,3501.370,0.000,58.974,58.974,0.000,0.584,0.584,0.000,0.111,0.111,0.000,period-based
12,12,bpr,14,15,3.000000,0.633210,0.393543,0.633210,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3501.370,,16:3151;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3501.370,0.644,58.974,36.653,0.983,0.584,0.584,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1050.411,0.955,1.142,0.111,0.000,60.000,51.000,0.400,4.000,56.727,50.997,1377.938,37.595,1377.938,37.595,0.643,0.000,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",3151.233,350.137,3151.233,350.137,0.584,0.584,0.584,0.584,60.000,60.000,60.000,60.000,59.622,59.725,59.828,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3501.370,3501.370,0.000,58.974,58.974,0.000,0.584,0.584,0.000,0.111,0.111,0.000,period-based
13,13,bpr,15,16,3.000000,0.680980,0.423232,0.680980,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,3501.370,,17:3151;,-1.000,0.000,0.000,0.000,0.000,,,,0.000,3501.370,0.693,58.974,36.653,0.983,0.584,0.584,1800.000,5400.000,0.000,0.000,0.000,1.000,3.000,1050.411,0.955,1.142,0.111,0.000,60.000,51.000,0.400,4.000,56.727,50.997,1481.891,40.431,1481.891,40.431,0.691,0.000,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",3151.233,350.137,3151.233,350.137,0.584,0.584,0.584,0.584,60.000,60.000,60.000,60.000,59.622,59.725,59.828,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3501.370,3501.370,0.000,58.974,58.974,0.000,0.584,0.584,0.000,0.111,0.111,0.000,period-based
