link_seq_id,link_id,link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,link_type_s0,link_type_s1,penalty_s0,penalty_s1,Vam_25nb_auto,Vam_25nb_info,Vam_2040_auto,Vam_2040_info,VAB_am_25nb_auto,VAB_am_25nb_info,VAB_am_2040_auto,VAB_am_2040_info,VBA_am_25nb_auto,VBA_am_25nb_info,VBA_am_2040_auto,VBA_am_2040_info,block,MEUVABam25nbauto,capABam25nbauto,PENABam25nbauto,DOCABam25nbauto,TTABam_25nb_auto,MEUVABam25nbinfo,capABam25nbinfo,PENABam25nbinfo,DOCABam25nbinfo,TTABam_25nb_info,MEUVABam2040auto,capABam2040auto,PENABam2040auto,DOCABam2040auto,TTABam_2040_auto,MEUVABam2040info,capABam2040info,PENABam2040info,DOCABam2040info,TTABam_2040_info,MEUVBAam25nbauto,capBAam25nbauto,PENBAam25nbauto,DOCBAam25nbauto,TTBAam_25nb_auto,MEUVBAam25nbinfo,capBAam25nbinfo,PENBAam25nbinfo,DOCBAam25nbinfo,TTBAam_25nb_info,MEUVBAam2040auto,capBAam2040auto,PENBAam2040auto,DOCBAam2040auto,TTBAam_2040_auto,MEUVBAam2040info,capBAam2040info,PENBAam2040info,DOCBAam2040info,TTBAam_2040_info,
11,11,motorway,1,14,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",0.768430,0.477582,0.768430,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,0.782,350.1,6000.0,0.0,0.584,0.782,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.769,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.769,,,,,,,,,,,,,,,,,
12,12,motorway,14,15,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",0.633210,0.393543,0.633210,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,0.644,350.1,6000.0,0.0,0.584,0.644,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.633,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.633,,,,,,,,,,,,,,,,,
13,13,motorway,15,16,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",0.680980,0.423232,0.680980,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,0.693,350.1,6000.0,0.0,0.584,0.693,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.681,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,0.681,,,,,,,,,,,,,,,,,
14,14,motorway,16,17,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",1.067520,0.663468,1.067520,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.086,350.1,6000.0,0.0,0.584,1.086,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.068,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.068,,,,,,,,,,,,,,,,,
15,15,motorway,17,18,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",1.011240,0.628490,1.011240,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.029,350.1,6000.0,0.0,0.584,1.029,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.012,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.012,,,,,,,,,,,,,,,,,
16,16,motorway,18,19,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",1.086160,0.675053,1.086160,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.105,350.1,6000.0,0.0,0.584,1.105,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.087,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.087,,,,,,,,,,,,,,,,,
17,17,motorway,19,20,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",1.198560,0.744910,1.198560,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.219,350.1,6000.0,0.0,0.584,1.219,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.199,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.199,,,,,,,,,,,,,,,,,
18,18,motorway,20,21,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",1.123630,0.698341,1.123630,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.143,350.1,6000.0,0.0,0.584,1.143,1220.0,5400.0,0.0,0.226,1.124,1220.0,6000.0,0.0,0.226,1.124,,,,,,,,,,,,,,,,,
19,19,motorway,21,22,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",1.329690,0.826408,1.329690,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.353,350.1,6000.0,0.0,0.584,1.353,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.330,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.330,,,,,,,,,,,,,,,,,
20,20,motorway,22,23,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",1.065000,0.661902,1.065000,-1,,network_wide,-1,0,-1,1,3.0,3.0,motorway,motorway,3151.2,350.1,1220.0,1220.0,3151.2,350.1,1220.0,1220.0,,,,,,3151.2,5400.0,0.0,0.584,1.084,350.1,6000.0,0.0,0.584,1.084,1220.0,5400.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.065,1220.0,6000.0,-1456816083547664115333400476785272000684476368293100444571045580859570544264831110688000580944034235439327939516888695896823154136090794400940032.0,0.226,1.065,,,,,,,,,,,,,,,,,
