link_seq_id,link_id,link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,penalty_s0,Vam_25nb_auto,VAB_am_25nb_auto,VBA_am_25nb_auto,block,MEUVABam25nbauto,capABam25nbauto,PENABam25nbauto,DOCABam25nbauto,TTABam_25nb_auto,MEUVBAam25nbauto,capBAam25nbauto,PENBAam25nbauto,DOCBAam25nbauto,TTBAam_25nb_auto,
1,1,,1285,5018,"LINESTRING (-111.943375 40.616454,-111.938855 40.616737)",0.383586,0.238400,0.680720,-1,,network_wide,-1,0,-1,-1,7.0,,408.3,408.3,,,408.3,70000.0,0.0,0.006,0.681,,,,,
2,2,,1286,11125,"LINESTRING (-111.934202 40.630776,-111.933970 40.624024)",0.749794,0.466000,1.330602,-1,,network_wide,-1,0,-1,-1,7.0,,845.8,845.8,,,845.8,70000.0,0.0,0.012,1.331,,,,,
3,3,,1289,4952,"LINESTRING (-111.933868 40.616707,-111.929251 40.616674)",0.390504,0.242700,0.692998,-1,,network_wide,-1,0,-1,-1,7.0,,369.7,369.7,,,369.7,70000.0,0.0,0.005,0.693,,,,,
4,4,,1289,5018,"LINESTRING (-111.933868 40.616707,-111.938855 40.616737)",0.421719,0.262100,0.748392,-1,,network_wide,-1,0,-1,-1,7.0,,286.7,286.7,,,286.7,70000.0,0.0,0.004,0.748,,,,,
5,5,,1289,11124,"LINESTRING (-111.933868 40.616707,-111.931819 40.609526)",0.815602,0.506900,1.447386,-1,,network_wide,-1,0,-1,-1,7.0,,225.2,225.2,,,225.2,70000.0,0.0,0.003,1.447,,,,,
6,6,,1289,11125,"LINESTRING (-111.933868 40.616707,-111.933970 40.624024)",0.812062,0.504700,1.441104,-1,,network_wide,-1,0,-1,-1,7.0,,41.5,41.5,,,41.5,70000.0,0.0,0.001,1.441,,,,,
7,7,,1290,4952,"LINESTRING (-111.924502 40.617134,-111.929251 40.616674)",0.404824,0.251600,0.718411,-1,,network_wide,-1,0,-1,-1,7.0,,336.2,336.2,,,336.2,70000.0,0.0,0.005,0.718,,,,,
8,8,,1296,5240,"LINESTRING (-111.915638 40.613722,-111.911929 40.614669)",0.330810,0.205600,0.587064,-1,,network_wide,-1,0,-1,-1,7.0,,10.4,10.4,,,10.4,70000.0,0.0,0.000,0.587,,,,,
9,9,,1299,4958,"LINESTRING (-111.908054 40.616174,-111.910232 40.618529)",0.319869,0.198800,0.567647,-1,,network_wide,-1,0,-1,-1,7.0,,93.1,93.1,,,93.1,70000.0,0.0,0.001,0.568,,,,,
10,10,,1299,11129,"LINESTRING (-111.908054 40.616174,-111.907639 40.610911)",0.585193,0.363700,1.038497,-1,,network_wide,-1,0,-1,-1,7.0,,103.8,103.8,,,103.8,70000.0,0.0,0.001,1.038,,,,,
11,11,,1314,11146,"LINESTRING (-111.944074 40.606326,-111.938858 40.605898)",0.443762,0.275800,0.787511,-1,,network_wide,-1,0,-1,-1,7.0,,691.3,691.3,,,691.3,70000.0,0.0,0.010,0.788,,,,,
12,12,,1316,11148,"LINESTRING (-111.943565 40.598006,-111.938793 40.599039)",0.419627,0.260800,0.744680,-1,,network_wide,-1,0,-1,-1,7.0,,0.0,0.0,,,0.0,70000.0,0.0,0.000,0.745,,,,,
13,13,,1318,11160,"LINESTRING (-111.943411 40.590891,-111.938878 40.590844)",0.383586,0.238400,0.680720,-1,,network_wide,-1,0,-1,-1,7.0,,0.0,0.0,,,0.0,70000.0,0.0,0.000,0.681,,,,,
14,14,,1319,11124,"LINESTRING (-111.934408 40.607297,-111.931819 40.609526)",0.330489,0.205400,0.586493,-1,,network_wide,-1,0,-1,1,7.0,,365.2,365.2,,,365.2,70000.0,0.0,0.005,0.586,,,,,
15,15,,1320,5820,"LINESTRING (-111.934152 40.599993,-111.929267 40.603321)",0.554301,0.344500,0.983674,-1,,network_wide,-1,0,-1,1,7.0,,0.0,0.0,,,0.0,70000.0,0.0,0.000,0.984,,,,,
