link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_plf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
1,0,0,1285,5018,-1,-1,99,,,7.000000,0.383586,33.810000,28.738501,0.680720,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943375 40.616454,-111.938855 40.616737)"
2,1,0,1286,11125,-1,-1,99,,,7.000000,0.749794,33.810000,28.738501,1.330602,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934202 40.630776,-111.933970 40.624024)"
3,2,0,1289,4952,-1,-1,99,,,7.000000,0.390504,33.810000,28.738501,0.692998,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933868 40.616707,-111.929251 40.616674)"
4,3,0,1289,5018,-1,-1,99,,,7.000000,0.421719,33.810000,28.738501,0.748392,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933868 40.616707,-111.938855 40.616737)"
5,4,0,1289,11124,-1,-1,99,,,7.000000,0.815602,33.810000,28.738501,1.447386,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933868 40.616707,-111.931819 40.609526)"
6,5,0,1289,11125,-1,-1,99,,,7.000000,0.812062,33.810000,28.738501,1.441104,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.933868 40.616707,-111.933970 40.624024)"
7,6,0,1290,4952,-1,-1,99,,,7.000000,0.404824,33.810000,28.738501,0.718411,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.924502 40.617134,-111.929251 40.616674)"
8,7,0,1296,5240,-1,-1,99,,,7.000000,0.330810,33.810000,28.738501,0.587064,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.915638 40.613722,-111.911929 40.614669)"
9,8,0,1299,4958,-1,-1,99,,,7.000000,0.319869,33.810000,28.738501,0.567647,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.908054 40.616174,-111.910232 40.618529)"
10,9,0,1299,11129,-1,-1,99,,,7.000000,0.585193,33.810000,28.738501,1.038497,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.908054 40.616174,-111.907639 40.610911)"
11,10,0,1314,11146,-1,-1,99,,,7.000000,0.443762,33.810000,28.738501,0.787511,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.944074 40.606326,-111.938858 40.605898)"
12,11,0,1316,11148,-1,-1,99,,,7.000000,0.419627,33.810000,28.738501,0.744680,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943565 40.598006,-111.938793 40.599039)"
13,12,0,1318,11160,-1,-1,99,,,7.000000,0.383586,33.810000,28.738501,0.680720,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943411 40.590891,-111.938878 40.590844)"
14,13,0,1319,11124,-1,-1,99,,,7.000000,0.330489,33.810000,28.738501,0.586493,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934408 40.607297,-111.931819 40.609526)"
15,14,0,1320,5820,-1,-1,99,,,7.000000,0.554301,33.810000,28.738501,0.983674,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934152 40.599993,-111.929267 40.603321)"
16,15,0,1320,11148,-1,-1,99,,,7.000000,0.406594,33.810000,28.738501,0.721552,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934152 40.599993,-111.938793 40.599039)"
17,16,0,1322,5589,-1,-1,99,,,7.000000,0.358646,33.810000,28.738501,0.636462,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934349 40.591006,-111.934063 40.587781)"
18,17,0,1322,11161,-1,-1,99,,,7.000000,0.429603,33.810000,28.738501,0.762383,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934349 40.591006,-111.929272 40.591047)"
19,18,0,1323,5592,-1,-1,99,,,7.000000,0.433947,33.810000,28.738501,0.770093,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.921418 40.591609,-111.922175 40.587742)"
20,19,0,1325,10853,-1,-1,99,,,7.000000,0.254705,32.200000,27.370001,0.474605,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.907451 40.592344,-111.904442 40.592385)"
21,20,0,1346,11172,-1,-1,99,,,7.000000,0.405146,33.810000,28.738501,0.718982,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943605 40.584092,-111.938819 40.584171)"
22,21,0,1348,5210,-1,-1,99,,,7.000000,0.406272,33.810000,28.738501,0.720980,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943542 40.576985,-111.938741 40.576961)"
23,22,0,1349,5210,-1,-1,99,,,7.000000,0.371518,33.810000,28.738501,0.659305,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934352 40.576870,-111.938741 40.576961)"
24,23,0,1349,5219,-1,-1,99,,,7.000000,0.438613,33.810000,28.738501,0.778373,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934352 40.576870,-111.929172 40.576740)"
25,24,0,1349,11181,-1,-1,99,,,7.000000,0.497342,33.810000,28.738501,0.882594,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.934352 40.576870,-111.931031 40.573173)"
26,25,0,1351,5209,-1,-1,99,,,7.000000,0.406112,33.810000,28.738501,0.720695,10000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-111.943535 40.568001,-111.938738 40.568083)"
