link_seq_id,link_id,based_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1,1,,1285,5018,"LINESTRING (-111.943375 40.616454,-111.938855 40.616737)",0.383586,0.238400,0.680720,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,408.3,408.3,70000.0,0.0,0.0,0.7,0.0,0.0,408.3,408.3,70000.000,0.000,0.006,0.681,0.000,0.000,
2,2,,1286,11125,"LINESTRING (-111.934202 40.630776,-111.933970 40.624024)",0.749794,0.466000,1.330602,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,845.8,845.8,70000.0,0.0,0.0,1.3,0.0,0.0,845.8,845.8,70000.000,0.000,0.012,1.331,0.000,0.000,
3,3,,1289,4952,"LINESTRING (-111.933868 40.616707,-111.929251 40.616674)",0.390504,0.242700,0.692998,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,369.7,369.7,70000.0,0.0,0.0,0.7,0.0,0.0,369.7,369.7,70000.000,0.000,0.005,0.693,0.000,0.000,
4,4,,1289,5018,"LINESTRING (-111.933868 40.616707,-111.938855 40.616737)",0.421719,0.262100,0.748392,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,286.7,286.7,70000.0,0.0,0.0,0.7,0.0,0.0,286.7,286.7,70000.000,0.000,0.004,0.748,0.000,0.000,
5,5,,1289,11124,"LINESTRING (-111.933868 40.616707,-111.931819 40.609526)",0.815602,0.506900,1.447386,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,225.2,225.2,70000.0,0.0,0.0,1.4,0.0,0.0,225.2,225.2,70000.000,0.000,0.003,1.447,0.000,0.000,
6,6,,1289,11125,"LINESTRING (-111.933868 40.616707,-111.933970 40.624024)",0.812062,0.504700,1.441104,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,41.5,41.5,70000.0,0.0,0.0,1.4,0.0,0.0,41.5,41.5,70000.000,0.000,0.001,1.441,0.000,0.000,
7,7,,1290,4952,"LINESTRING (-111.924502 40.617134,-111.929251 40.616674)",0.404824,0.251600,0.718411,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,336.2,336.2,70000.0,0.0,0.0,0.7,0.0,0.0,336.2,336.2,70000.000,0.000,0.005,0.718,0.000,0.000,
8,8,,1296,5240,"LINESTRING (-111.915638 40.613722,-111.911929 40.614669)",0.330810,0.205600,0.587064,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,10.4,10.4,70000.0,0.0,0.0,0.6,0.0,0.0,10.4,10.4,70000.000,0.000,0.000,0.587,0.000,0.000,
9,9,,1299,4958,"LINESTRING (-111.908054 40.616174,-111.910232 40.618529)",0.319869,0.198800,0.567647,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,93.1,93.1,70000.0,0.0,0.0,0.6,0.0,0.0,93.1,93.1,70000.000,0.000,0.001,0.568,0.000,0.000,
10,10,,1299,11129,"LINESTRING (-111.908054 40.616174,-111.907639 40.610911)",0.585193,0.363700,1.038497,33.810000,-26.190000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,7.0,,7.0,103.8,103.8,70000.0,0.0,0.0,1.0,0.0,0.0,103.8,103.8,70000.000,0.000,0.001,1.038,0.000,0.000,
