link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,cell_type,length,lanes,free_speed,capacity,geometry,length_in_miles,free_speed_mph,cost,VDF_fftt1,VDF_plf1,,
5,Connector,1289,11124,,2,1,-1,815.60211,7,33.0,10000.0,"LINESTRING (-111.933884 40.616702, -111.931835 40.609521)",0.5069,21,0,1.448285714,1,,
10,Connector,1299,11129,,2,1,-1,585.19330,7,33.0,10000.0,"LINESTRING (-111.908070 40.616173, -111.907655 40.610910)",0.3637,21,0,1.039142857,1,,
14,Connector,1319,11124,,2,1,-1,330.48859,7,33.0,10000.0,"LINESTRING (-111.934397 40.607284, -111.931808 40.609513)",0.2054,21,0,0.586857143,1,,
15,Connector,1320,5820,,2,1,-1,554.30048,7,33.0,10000.0,"LINESTRING (-111.934143 40.599979, -111.929258 40.603307)",0.3445,21,0,0.984285714,1,,
16,Connector,1320,11148,,2,1,-1,406.59430,7,33.0,10000.0,"LINESTRING (-111.934155 40.600009, -111.938796 40.599055)",0.2527,21,0,0.722,1,,
17,Connector,1322,5589,,2,1,-1,358.64609,7,33.0,10000.0,"LINESTRING (-111.934365 40.591005, -111.934079 40.587780)",0.2229,21,0,0.636857143,1,,
18,Connector,1322,11161,,2,1,-1,429.60300,7,33.0,10000.0,"LINESTRING (-111.934349 40.590989, -111.929272 40.591030)",0.267,21,0,0.762857143,1,,
19,Connector,1323,5592,,2,1,-1,433.94730,7,33.0,10000.0,"LINESTRING (-111.921434 40.591612, -111.922191 40.587745)",0.2697,21,0,0.770571429,1,,
20,Connector,1325,10853,,2,1,-1,254.70470,7,32.0,10000.0,"LINESTRING (-111.907451 40.592327, -111.904442 40.592368)",0.1583,20,0,0.4749,1,,
31,Connector,1353,5589,,2,1,-1,412.54761,7,33.0,10000.0,"LINESTRING (-111.934250 40.584067, -111.934047 40.587780)",0.2564,21,0,0.732571429,1,,
32,Connector,1353,11172,,2,1,-1,385.35550,7,33.0,10000.0,"LINESTRING (-111.934266 40.584085, -111.938819 40.584188)",0.2395,21,0,0.684285714,1,,
33,Connector,1353,11173,,2,1,-1,426.06320,7,33.0,10000.0,"LINESTRING (-111.934265 40.584052, -111.929245 40.584353)",0.2648,21,0,0.756571429,1,,
34,Connector,1354,5592,,2,1,-1,422.68430,7,32.0,10000.0,"LINESTRING (-111.923412 40.584049, -111.922159 40.587737)",0.2627,20,0,0.7881,1,,
35,Connector,1354,11173,,2,1,-1,493.48029,7,32.0,10000.0,"LINESTRING (-111.923427 40.584070, -111.929245 40.584385)",0.3067,20,0,0.9201,1,,
46,Connector,1360,10850,,2,1,-1,265.64590,7,32.0,10000.0,"LINESTRING (-111.901825 40.584043, -111.904166 40.585638)",0.1651,20,0,0.4953,1,,
53,500 West,4156,10850,,1,1,-1,273.53000,1,38.0,633.0,"LINESTRING (-111.900942 40.585637, -111.904175 40.585641)",0.17,24,0,0.425,1,,
54,700 West,4804,5106,,1,1,-1,418.98361,1,46.0,666.0,"LINESTRING (-111.910324 40.602331, -111.910285 40.598557)",0.2604,29,0,0.538758621,1,,
55,700 West,4804,5109,,1,1,-1,400.48010,1,46.0,666.0,"LINESTRING (-111.910290 40.602331, -111.910298 40.605939)",0.2489,29,0,0.514965517,1,,
59,1300 West,4952,5022,,1,1,-1,805.62628,1,51.0,666.0,"LINESTRING (-111.929268 40.616674, -111.929180 40.609415)",0.5007,32,0,0.9388125,1,,
