sensor_id,from_node_id,to_node_id,demand_period,count,scenario_index,activate
1,483,481,am,3000.975,0,1
2,5216,5356,am,2267.8,0,1
3,5356,5216,am,2267.8,0,1
4,5214,11261,am,1685.5,0,1
5,11261,5214,am,1685.5,0,1
6,5208,5209,am,1273,0,1
7,5209,5208,am,1273,0,1
8,5112,11172,am,1334.2,0,1
9,11172,5112,am,1334.2,0,1
10,11160,5113,am,1306.2,0,1
11,5113,11160,am,1306.2,0,1
12,5017,5018,am,1857,0,1
13,5018,5017,am,1857,0,1
14,5022,4952,am,452.5,0,1
15,4952,5022,am,452.5,0,1
16,5436,11125,am,1540,0,1
17,11125,5436,am,1540,0,1
18,5436,5578,am,1952.2,0,1
19,5578,5436,am,1952.2,0,1
20,5112,5589,am,2179.2,0,1
21,5589,5112,am,2179.2,0,1
