first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
,1,-111.942300,40.624038,0,20,1080.737841,1,2
,2,-111.943739,40.609520,1,1,919.324705,1,2
,3,-111.943604,40.587762,2,13,1738.835869,1,2
,4,-111.944442,40.573253,3,16,60.531414,1,2
,5,-111.943762,40.562247,4,16,453.781937,1,2
,6,-111.938753,40.552997,5,19,604.892663,1,2
,7,-111.929153,40.555761,6,19,590.215093,1,2
,8,-111.902749,40.557151,7,10,67.615997,1,2
,9,-111.899113,40.558973,8,2,333.063852,1,2
,10,-111.897106,40.569721,9,2,21.863131,1,2
,11,-111.901030,40.587971,10,11,648.755361,1,2
,12,-111.906610,40.605960,11,3,633.000002,1,3
,13,-111.902804,40.610814,12,4,319.016102,1,2
,14,-111.901884,40.620828,13,5,260.062459,1,2
,15,-111.910059,40.625783,14,6,145.694693,1,2
,16,-111.929192,40.626782,15,7,182.398663,1,2
,17,-111.933868,40.616707,16,17,1009.784384,1,2
,18,-111.934202,40.630776,17,8,474.768852,1,2
,19,-111.933963,40.567876,18,9,302.176415,1,2
,20,-111.924114,40.567177,19,9,263.355069,1,2
,21,-111.913648,40.554715,20,10,243.974661,1,2
,22,-111.900748,40.562521,-1,0,0.000000,0,0
,23,-111.902492,40.575680,-1,0,0.000000,0,0
,24,-111.907451,40.592344,21,11,201.999999,1,3
,25,-111.923428,40.584054,22,12,521.000004,1,3
,26,-111.921418,40.591609,23,12,427.000005,1,3
,27,-111.943605,40.584092,24,13,516.384314,1,2
,28,-111.911824,40.577722,25,14,402.687284,1,2
,29,-111.911260,40.581966,26,14,0.000000,1,3
,30,-111.901834,40.584029,-1,0,1.878760,0,0
,31,-111.944074,40.606326,27,1,672.140515,1,2
,32,-111.943375,40.616454,28,15,486.137346,1,2
,33,-111.943535,40.568001,29,16,140.317110,1,2
,34,-111.934408,40.607297,30,1,1108.000001,1,3
,35,-111.924502,40.617134,31,17,275.190254,1,2
,36,-111.908054,40.616174,32,4,124.640878,1,2
,37,-111.934352,40.576870,33,18,622.101723,1,2
,38,-111.936589,40.553565,34,19,28.782998,1,2
,39,-111.908153,40.571760,35,14,28.859255,1,2
,40,-111.915638,40.613722,36,17,7.002297,1,2
,41,-111.938760,40.630427,37,20,526.741499,1,2
