first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,0,25nb,am,auto,0,0,0,0,0,0,0,22;23;30;,"POLYGON ((-111.901 40.5625,-111.902 40.5757,-111.902 40.584,))"
,1,25nb,am,auto,2555.13,9567.8,5946.43,15206.7,3.74455,2.32725,5.95145,2;31;34;,"POLYGON ((-111.944 40.6095,-111.944 40.6063,-111.934 40.6073,))"
,2,25nb,am,auto,2364.68,12305.6,7647.98,55796.5,5.20391,3.23425,23.5958,9;10;,"POLYGON ((-111.899 40.559,-111.897 40.5697,))"
,3,25nb,am,auto,718.486,3088.6,1919.57,7562.64,4.29875,2.67169,10.5258,12;,"POLYGON ((-111.907 40.606,))"
,4,25nb,am,auto,714.531,3194.49,1985.39,6260.61,4.47076,2.77859,8.76185,13;36;,"POLYGON ((-111.903 40.6108,-111.908 40.6162,))"
,5,25nb,am,auto,651.136,3161.8,1965.07,6015.44,4.85582,3.01791,9.23838,14;,"POLYGON ((-111.902 40.6208,))"
,6,25nb,am,auto,246.208,1084.83,674.227,2095.57,4.40616,2.73845,8.51138,15;,"POLYGON ((-111.91 40.6258,))"
,7,25nb,am,auto,281.957,1117.76,694.691,2007.61,3.96429,2.46382,7.1203,16;,"POLYGON ((-111.929 40.6268,))"
,8,25nb,am,auto,845.849,3530.23,2194.05,5728.77,4.17359,2.5939,6.7728,18;,"POLYGON ((-111.934 40.6308,))"
,9,25nb,am,auto,886.02,3767.16,2341.31,8013.7,4.25178,2.6425,9.04461,19;20;,"POLYGON ((-111.934 40.5679,-111.924 40.5672,))"
,10,25nb,am,auto,745.796,3728.17,2317.08,10914.8,4.99892,3.10685,14.6351,8;21;,"POLYGON ((-111.903 40.5572,-111.914 40.5547,))"
,11,25nb,am,auto,1816.27,8875.41,5516.1,15229.9,4.88662,3.03705,8.38526,11;24;,"POLYGON ((-111.901 40.588,-111.907 40.5923,))"
,12,25nb,am,auto,1198.4,4583.71,2848.79,8638.14,3.82485,2.37716,7.20804,25;26;,"POLYGON ((-111.923 40.5841,-111.921 40.5916,))"
,13,25nb,am,auto,2666.13,11796.8,7331.76,22318.4,4.42469,2.74996,8.37108,3;27;,"POLYGON ((-111.944 40.5878,-111.944 40.5841,))"
,14,25nb,am,auto,974.046,4241.19,2635.92,15050.1,4.3542,2.70616,15.4511,28;29;39;,"POLYGON ((-111.912 40.5777,-111.911 40.582,-111.908 40.5718,))"
,15,25nb,am,auto,408.268,1731.99,1076.44,2765.76,4.24229,2.6366,6.77437,32;,"POLYGON ((-111.943 40.6165,))"
,16,25nb,am,auto,1162.64,5075,3154.13,10443.6,4.36506,2.7129,8.98263,4;5;33;,"POLYGON ((-111.944 40.5733,-111.944 40.5622,-111.944 40.568,))"
,17,25nb,am,auto,1255.14,5158.14,3205.81,9179.26,4.10962,2.55414,7.31334,17;35;40;,"POLYGON ((-111.934 40.6167,-111.925 40.6171,-111.916 40.6137,))"
,18,25nb,am,auto,761.107,2964.56,1842.49,5788.92,3.89507,2.4208,7.60592,37;,"POLYGON ((-111.934 40.5769,))"
,19,25nb,am,auto,2352.63,11404.1,7087.72,24945.8,4.8474,3.01268,10.6034,6;7;38;,"POLYGON ((-111.939 40.553,-111.929 40.5558,-111.937 40.5536,))"
,20,25nb,am,auto,2982.7,13822.2,8590.58,20483.5,4.63414,2.88014,6.86744,1;41;,"POLYGON ((-111.942 40.624,-111.939 40.6304,))"
