link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
,531,450,442,,1,1,0.09950,1,65.0,1900.0,,,,"LINESTRING (-112.096826 33.446910, -112.095388 33.446924)"
,531,442,440,,1,1,0.31354,1,65.0,1900.0,,,,"LINESTRING (-112.095388 33.446924, -112.090855 33.446953)"
,531,440,449,,1,1,0.08182,1,65.0,1900.0,,,,"LINESTRING (-112.090855 33.446953, -112.089672 33.446961)"
,531,449,439,,1,1,0.13279,1,65.0,1900.0,,,,"LINESTRING (-112.089672 33.446961, -112.087752 33.446973)"
,531,439,448,,1,1,0.23754,1,65.0,1900.0,,,,"LINESTRING (-112.087752 33.446973, -112.084318 33.446989)"
,531,448,446,,1,1,0.16046,1,65.0,1900.0,,,,"LINESTRING (-112.084318 33.446989, -112.081999 33.447006)"
,531,446,445,,1,1,0.15166,1,65.0,1900.0,,,,"LINESTRING (-112.081999 33.447006, -112.079806 33.447018)"
,531,445,444,,1,1,0.17644,1,65.0,1900.0,,,,"LINESTRING (-112.079806 33.447018, -112.077255 33.447044)"
,531,444,2510,,1,1,0.24214,1,65.0,1900.0,,,,"LINESTRING (-112.077255 33.447044, -112.073760 33.447554)"
,531,2510,1799,,1,1,0.03830,1,65.0,1900.0,,,,"LINESTRING (-112.073760 33.447554, -112.073700 33.449019)"
,531,1799,1797,,1,1,0.05514,1,65.0,1900.0,,,,"LINESTRING (-112.073700 33.449019, -112.073730 33.451139)"
,531,1797,6401,,1,1,0.44062,1,65.0,1900.0,,,,"LINESTRING (-112.073730 33.451139, -112.067363 33.451674)"
,531,6401,1480,,1,1,0.09369,1,65.0,1900.0,,,,"LINESTRING (-112.067363 33.451674, -112.068040 33.454796)"
,531,1480,1305,,1,1,0.14050,1,65.0,1900.0,,,,"LINESTRING (-112.068040 33.454796, -112.069219 33.459198)"
,531,1305,1304,,1,1,0.06194,1,65.0,1900.0,,,,"LINESTRING (-112.069219 33.459198, -112.069220 33.461582)"
,531,1304,7346,,1,1,15.82581,1,65.0,1900.0,,,,"LINESTRING (-112.069220 33.461582, -111.842382 33.381734)"
,531,7346,3903,,1,1,3.72163,1,65.0,1900.0,,,,"LINESTRING (-111.842382 33.381734, -111.788592 33.378515)"
,531,3903,3902,,1,1,0.17739,1,65.0,1900.0,,,,"LINESTRING (-111.788592 33.378515, -111.790235 33.373211)"
,531,3902,3916,,1,1,0.23703,1,65.0,1900.0,,,,"LINESTRING (-111.790235 33.373211, -111.789984 33.364004)"
,531,3916,6551,,1,1,0.28913,1,65.0,1900.0,,,,"LINESTRING (-111.789984 33.364004, -111.792622 33.355270)"
,531,6551,1837,,1,1,0.47038,1,65.0,1900.0,,,,"LINESTRING (-111.792622 33.355270, -111.789880 33.372034)"
,531,1837,7346,,1,1,3.64014,1,65.0,1900.0,,,,"LINESTRING (-111.789880 33.372034, -111.842382 33.381734)"
,531,7346,3397,,1,1,15.84134,1,65.0,1900.0,,,,"LINESTRING (-111.842382 33.381734, -112.069484 33.460818)"
,531,3397,3391,,1,1,0.10159,1,65.0,1900.0,,,,"LINESTRING (-112.069484 33.460818, -112.070067 33.457231)"
,531,3391,4,,1,1,0.10682,1,65.0,1900.0,,,,"LINESTRING (-112.070067 33.457231, -112.070083 33.453121)"
,531,4,5223,,1,1,0.24034,1,65.0,1900.0,,,,"LINESTRING (-112.070083 33.453121, -112.073504 33.451514)"
,531,5223,6082,,1,1,0.15814,1,65.0,1900.0,,,,"LINESTRING (-112.073504 33.451514, -112.075462 33.448371)"
,531,6082,6088,,1,1,0.11359,1,65.0,1900.0,,,,"LINESTRING (-112.075462 33.448371, -112.077104 33.448323)"
,531,6088,6083,,1,1,0.22977,1,65.0,1900.0,,,,"LINESTRING (-112.077104 33.448323, -112.080426 33.448332)"
,531,6083,6084,,1,1,0.19645,1,65.0,1900.0,,,,"LINESTRING (-112.080426 33.448332, -112.083266 33.448309)"
,531,6084,6089,,1,1,0.21471,1,65.0,1900.0,,,,"LINESTRING (-112.083266 33.448309, -112.086370 33.448289)"
,531,6089,6080,,1,1,0.23635,1,65.0,1900.0,,,,"LINESTRING (-112.086370 33.448289, -112.089787 33.448266)"
,531,6080,6081,,1,1,0.14941,1,65.0,1900.0,,,,"LINESTRING (-112.089787 33.448266, -112.091947 33.448260)"
,531,6081,2854,,1,1,0.27661,1,65.0,1900.0,,,,"LINESTRING (-112.091947 33.448260, -112.095945 33.448521)"
,533,1304,7777,,1,1,26.28770,1,65.0,1900.0,,,,"LINESTRING (-112.069220 33.461582, -111.690190 33.387244)"
,533,7777,3397,,1,1,26.30447,1,65.0,1900.0,,,,"LINESTRING (-111.690190 33.387244, -112.069484 33.460818)"
,542,7070,3397,,1,1,17.02583,1,65.0,1900.0,,,,"LINESTRING (-111.833281 33.275591, -112.069484 33.460818)"
,535,1304,7347,,1,1,19.56846,1,65.0,1900.0,,,,"LINESTRING (-112.069220 33.461582, -111.786327 33.467505)"
,535,7347,7349,,1,1,7.12031,1,65.0,1900.0,,,,"LINESTRING (-111.786327 33.467505, -111.683396 33.470674)"
