link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
1,1,3,0700_0800,5447.848,15.161,39.575,1.362,period-based
2,3,2,0700_0800,5447.848,15.161,39.575,1.362,period-based
3,1,4,0700_0800,1552.149,15.161,59.362,0.517,period-based
4,4,2,0700_0800,1552.149,15.161,59.362,0.517,period-based
