first_column,mode_type,mode_type_index,name,vot,multimodal_dedicated_assignment_flag,person_occupancy,headway_in_sec,DTM_real_time_info_type,activate
0,auto,0,auto,10,1,1,1.5,0,1
0,info,1,info,10,0,1,1,1,1
