link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,1400:00_1401:00,0.00000,0.00000,0.00000,0.00000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1401:00_1402:00,0.00000,1.00000,0.00000,0.16667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1402:00_1403:00,9.00000,43.00000,9.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1403:00_1404:00,42.00000,84.00000,51.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1404:00_1405:00,42.00000,126.00000,93.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1405:00_1406:00,41.00000,167.00000,134.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1406:00_1407:00,42.00000,209.00000,176.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1407:00_1408:00,41.00000,250.00000,217.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1408:00_1409:00,42.00000,292.00000,259.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1409:00_1410:00,41.00000,333.00000,300.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1410:00_1411:00,42.00000,375.00000,342.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1411:00_1412:00,41.00000,416.00000,383.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1412:00_1413:00,42.00000,458.00000,425.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1413:00_1414:00,41.00000,499.00000,466.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1414:00_1415:00,42.00000,541.00000,508.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1415:00_1416:00,41.00000,583.00000,549.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1416:00_1417:00,42.00000,624.00000,591.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1417:00_1418:00,41.00000,666.00000,632.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1418:00_1419:00,42.00000,707.00000,674.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1419:00_1420:00,41.00000,749.00000,715.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1420:00_1421:00,42.00000,790.00000,757.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1421:00_1422:00,41.00000,832.00000,798.00000,5.66667,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1422:00_1423:00,42.00000,873.00000,840.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1423:00_1424:00,42.00000,915.00000,882.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
1,1,3,1424:00_1425:00,41.00000,956.00000,923.00000,5.50000,0.00000,0.80000,0.00000,75.00000,simulation-based
