first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,agent_type_no,agent_type,PCE_unit,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence
,0,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.0000,11.8167,23.1696,14.4000,117.6453,73.1171,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.099976;845.900024;846.700012;847.500000;848.299988;849.179138;850.058350;850.937500;854.137512;855.016663;855.816650;856.816650;
,1,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.0408,11.8134,23.1696,14.4000,117.6777,73.1372,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.137512;845.937500;846.737488;847.537476;848.337524;849.216675;850.095825;850.974976;854.174988;855.054138;855.854187;856.854187;
,2,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.0815,11.8143,23.1696,14.4000,117.6686,73.1315,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.179138;845.979187;846.779175;847.579163;848.379150;849.258362;850.137512;851.016663;854.216675;855.095825;855.895813;856.895813;
,3,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.0723,11.8153,23.1696,14.4000,117.6594,73.1258,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.170837;845.970825;846.770813;847.570862;848.370850;849.250000;850.129150;851.008362;854.208313;855.087524;855.887512;856.887512;
,4,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.1130,11.8162,23.1696,14.4000,117.6503,73.1201,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.212524;846.012512;846.812500;847.612488;848.412476;849.291687;850.170837;851.049988;854.250000;855.129150;855.929138;856.929138;
,5,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.1537,11.8129,23.1696,14.4000,117.6826,73.1402,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.250000;846.049988;846.849976;847.650024;848.450012;849.329163;850.208313;851.087524;854.287476;855.166687;855.966675;856.966675;
,6,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.1445,11.8138,23.1696,14.4000,117.6735,73.1345,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.241638;846.041687;846.841675;847.641663;848.441650;849.320862;850.200012;851.079163;854.279175;855.158325;855.958313;856.958313;
,7,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.1852,11.8148,23.1696,14.4000,117.6643,73.1289,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.283325;846.083313;846.883362;847.683350;848.483337;849.362488;850.241638;851.120850;854.320862;855.200012;856.000000;857.000000;
,8,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.2260,11.8240,23.1696,14.4000,117.5723,73.0717,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.325012;846.125000;846.924988;847.724976;848.525024;849.404175;850.283325;851.162476;854.362488;855.250000;856.049988;857.049988;
,9,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.2167,11.8166,23.1696,14.4000,117.6461,73.1175,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.316650;846.116638;846.916687;847.716675;848.516663;849.395813;850.275024;851.154175;854.354187;855.233337;856.033325;857.033325;
,10,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.2575,11.8133,23.1696,14.4000,117.6784,73.1376,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.354187;846.154175;846.954163;847.754150;848.554138;849.433350;850.312500;851.191650;854.391663;855.270813;856.070862;857.070862;
,11,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.2982,11.8184,23.1696,14.4000,117.6278,73.1061,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.395813;846.195862;846.995850;847.795837;848.595825;849.474976;850.354187;851.233337;854.433350;855.316650;856.116638;857.116638;
,12,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.2890,11.8152,23.1696,14.4000,117.6601,73.1262,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.387512;846.187500;846.987488;847.787476;848.587524;849.466675;850.345825;851.224976;854.424988;855.304138;856.104187;857.104187;
,13,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.3297,11.8161,23.1696,14.4000,117.6510,73.1206,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.429138;846.229187;847.029175;847.829163;848.629150;849.508362;850.387512;851.266663;854.466675;855.345825;856.145813;857.145813;
,14,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.3705,11.8212,23.1696,14.4000,117.6004,73.0891,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.466675;846.266663;847.066650;847.866638;848.666687;849.545837;850.433350;851.312500;854.512512;855.391663;856.191650;857.191650;
,15,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.3612,11.8138,23.1696,14.4000,117.6742,73.1350,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.458313;846.258362;847.058350;847.858337;848.658325;849.537476;850.416687;851.295837;854.495850;855.375000;856.174988;857.174988;
,16,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.4020,11.8147,23.1696,14.4000,117.6650,73.1293,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.500000;846.299988;847.099976;847.900024;848.700012;849.579163;850.458313;851.337524;854.537476;855.416687;856.216675;857.216675;
,17,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.4427,11.8239,23.1696,14.4000,117.5730,73.0721,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.541687;846.341675;847.141663;847.941650;848.741638;849.620850;850.500000;851.379150;854.579163;855.466675;856.266663;857.266663;
,18,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.4335,11.8165,23.1696,14.4000,117.6468,73.1179,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.533325;846.333313;847.133362;847.933350;848.733337;849.612488;850.491638;851.370850;854.570862;855.450012;856.250000;857.250000;
,19,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.4742,11.8133,23.1696,14.4000,117.6791,73.1380,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.570862;846.370850;847.170837;847.970825;848.770813;849.650024;850.529175;851.408325;854.608337;855.487488;856.287476;857.287476;
,20,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.5150,11.8142,23.1696,14.4000,117.6700,73.1324,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.612488;846.412476;847.212524;848.012512;848.812500;849.691650;850.570862;851.450012;854.650024;855.529175;856.329163;857.329163;
,21,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.5057,11.8151,23.1696,14.4000,117.6608,73.1267,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.604187;846.404175;847.204163;848.004150;848.804138;849.683350;850.562500;851.441650;854.641663;855.520813;856.320862;857.320862;
,22,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.5464,11.8160,23.1696,14.4000,117.6517,73.1210,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.645813;846.445862;847.245850;848.045837;848.845825;849.724976;850.604187;851.483337;854.683350;855.562500;856.362488;857.362488;
,23,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.5872,11.8128,23.1696,14.4000,117.6840,73.1411,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.683350;846.483337;847.283325;848.083313;848.883362;849.762512;850.641663;851.520813;854.720825;855.599976;856.400024;857.400024;
,24,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.5779,11.8137,23.1696,14.4000,117.6749,73.1354,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.674988;846.474976;847.275024;848.075012;848.875000;849.754150;850.633362;851.512512;854.712524;855.591675;856.391663;857.391663;
,25,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.6187,11.8146,23.1696,14.4000,117.6657,73.1297,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.716675;846.516663;847.316650;848.116638;848.916687;849.795837;850.674988;851.554138;854.754150;855.633362;856.433350;857.433350;
,26,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.6595,11.8155,23.1696,14.4000,117.6566,73.1240,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.758362;846.558350;847.358337;848.158325;848.958313;849.837524;850.716675;851.595825;854.795837;855.674988;856.474976;857.474976;
,27,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.6502,11.8165,23.1696,14.4000,117.6475,73.1184,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.750000;846.549988;847.349976;848.150024;848.950012;849.829163;850.708313;851.587524;854.787476;855.666687;856.466675;857.466675;
,28,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.6910,11.8132,23.1696,14.4000,117.6798,73.1385,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.787476;846.587524;847.387512;848.187500;848.987488;849.866638;850.745850;851.625000;854.825012;855.704163;856.504150;857.504150;
,29,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.7317,11.8183,23.1696,14.4000,117.6292,73.1070,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.829163;846.629150;847.429138;848.229187;849.029175;849.908325;850.787476;851.666687;854.866638;855.750000;856.549988;857.549988;
,30,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.7225,11.8150,23.1696,14.4000,117.6615,73.1271,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.820862;846.620850;847.420837;848.220825;849.020813;849.900024;850.779175;851.658325;854.858337;855.737488;856.537476;857.537476;
,31,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.7632,11.8160,23.1696,14.4000,117.6524,73.1214,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.862488;846.662476;847.462524;848.262512;849.062500;849.941650;850.820862;851.700012;854.900024;855.779175;856.579163;857.579163;
,32,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.8040,11.8127,23.1696,14.4000,117.6847,73.1415,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.900024;846.700012;847.500000;848.299988;849.099976;849.979187;850.858337;851.737488;854.937500;855.816650;856.616638;857.616638;
,33,1,2,0,0,0,0,0,1,auto,1,PM,1,0,845.7947,11.8136,23.1696,14.4000,117.6756,73.1359,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,845.891663;846.691650;847.491638;848.291687;849.091675;849.970825;850.849976;851.729187;854.929138;855.808350;856.608337;857.608337;
