iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,auto,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,auto,1,1,-1,1,-1,0.000170,0.000170,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,auto,1,2,-1,1,3,45.010170,45.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
1,auto,1,2,-1,1,3,45.010170,45.000000,40.253933,0.053648,"LINESTRING (40.253933 0.053648,19.778254 14.806867)"
0,auto,1,3,-1,1,1,0.010170,0.010000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
1,auto,1,3,-1,1,1,0.010170,0.010000,19.778254,14.806867,"LINESTRING (19.778254 14.806867,0.017882 -0.125179)"
0,auto,1,4,-1,1,1,45.000168,45.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
1,auto,1,4,-1,1,1,45.000168,45.000000,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,0.017882 -0.125179)"
0,auto,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
1,auto,1,-1,1,1,-1,0.000000,0.000000,0.017882,-0.125179,"LINESTRING (0.017882 -0.125179,0.017882 -0.125179)"
0,auto,1,-2,2,1,2,45.010338,0.000168,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
1,auto,1,-2,2,1,2,45.010338,0.000168,40.253933,0.053648,"LINESTRING (40.253933 0.053648,40.253933 0.053648)"
0,auto,1,-3,3,1,3,0.010339,0.000170,19.778254,14.806867,"LINESTRING (19.778254 14.806867,19.778254 14.806867)"
1,auto,1,-3,3,1,3,0.010339,0.000170,19.778254,14.806867,"LINESTRING (19.778254 14.806867,19.778254 14.806867)"
0,auto,1,-4,4,1,4,45.000340,0.000172,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,19.688841 -9.692418)"
1,auto,1,-4,4,1,4,45.000340,0.000172,19.688841,-9.692418,"LINESTRING (19.688841 -9.692418,19.688841 -9.692418)"
