od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,
1,1,2,0,1,0,0,p,AM,30.37,1,-111.942300,40.624038,-111.943739,40.609520,2.1509,2.3396,1.4541,
2,1,3,0,2,0,0,p,AM,61.24,1,-111.942300,40.624038,-111.943604,40.587762,4.2029,4.7456,2.9494,
3,1,4,0,3,0,0,p,AM,2.94,1,-111.942300,40.624038,-111.944442,40.573253,5.9902,6.4468,4.0067,
4,1,5,0,4,0,0,p,AM,21.04,1,-111.942300,40.624038,-111.943762,40.562247,6.9693,7.5898,4.7171,
5,1,6,0,5,0,0,p,AM,28.05,1,-111.942300,40.624038,-111.938753,40.552997,7.5239,8.1917,5.0912,
6,1,7,0,6,0,0,p,AM,19.72,1,-111.942300,40.624038,-111.929153,40.555761,8.2629,8.6785,5.3937,
7,1,8,0,7,0,0,p,AM,3.13,1,-111.942300,40.624038,-111.902749,40.557151,9.4044,9.2041,5.7204,
8,1,9,0,8,0,0,p,AM,134.56,1,-111.942300,40.624038,-111.899113,40.558973,9.5776,9.3090,5.7856,
9,1,10,0,9,0,0,p,AM,8.83,1,-111.942300,40.624038,-111.897106,40.569721,9.3116,9.0396,5.6181,
10,1,11,0,10,0,0,p,AM,179.59,1,-111.942300,40.624038,-111.901030,40.587971,7.5428,7.6825,4.7747,
11,1,12,0,11,0,0,p,AM,4.81,1,-111.942300,40.624038,-111.906610,40.605960,5.1925,4.7516,2.9532,
12,1,13,0,12,0,0,p,AM,91.11,1,-111.942300,40.624038,-111.902804,40.610814,4.7700,4.5906,2.8531,
13,1,14,0,13,0,0,p,AM,111.77,1,-111.942300,40.624038,-111.901884,40.620828,4.0006,3.6809,2.2877,
14,1,15,0,14,0,0,p,AM,41.89,1,-111.942300,40.624038,-111.910059,40.625783,3.5557,3.3489,2.0814,
15,1,16,0,15,0,0,p,AM,52.29,1,-111.942300,40.624038,-111.929192,40.626782,1.5470,1.4553,0.9045,
16,1,17,0,16,0,0,p,AM,40.78,1,-111.942300,40.624038,-111.933868,40.616707,1.7678,1.5382,0.9560,
17,1,18,0,17,0,0,p,AM,39.70,1,-111.942300,40.624038,-111.934202,40.630776,2.0613,1.4544,0.9039,
18,1,19,0,18,0,0,p,AM,51.70,1,-111.942300,40.624038,-111.933963,40.567876,6.6159,6.9222,4.3022,
19,1,20,0,19,0,0,p,AM,38.51,1,-111.942300,40.624038,-111.924114,40.567177,7.8378,7.7176,4.7965,
20,1,21,0,20,0,0,p,AM,103.12,1,-111.942300,40.624038,-111.913648,40.554715,9.8456,10.1690,6.3201,
21,1,22,0,21,0,0,p,AM,52.35,1,-111.942300,40.624038,-111.900748,40.562521,8.8121,8.7728,5.4524,
22,1,23,0,22,0,0,p,AM,24.00,1,-111.942300,40.624038,-111.902492,40.575680,9.6589,9.1486,5.6859,
