name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length_in_miles,length,lanes,capacity,free_speed,link_type,cost,BPR_fftt1,BPR_plf1,BPR_alpha1,BPR_beta1
Connector,1,1285,5018,,1,0.2384,383.5856,7,10000,21,2,0,0.681142857,1,0.15,4
Connector,2,1286,11125,,1,0.466,749.794,7,10000,21,2,0,1.331428571,1,0.15,4
Connector,3,1289,4952,,1,0.2427,390.5043,7,10000,21,2,0,0.693428571,1,0.15,4
Connector,4,1289,5018,,1,0.2621,421.7189,7,10000,21,2,0,0.748857143,1,0.15,4
Connector,5,1289,11124,,1,0.5069,815.6021,7,10000,21,2,0,1.448285714,1,0.15,4
Connector,6,1289,11125,,1,0.5047,812.0623,7,10000,21,2,0,1.442,1,0.15,4
Connector,7,1290,4952,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
Connector,8,1296,5240,,1,0.2056,330.8104,7,10000,21,2,0,0.587428571,1,0.15,4
Connector,9,1299,4958,,1,0.1988,319.8692,7,10000,21,2,0,0.568,1,0.15,4
Connector,10,1299,11129,,1,0.3637,585.1933,7,10000,21,2,0,1.039142857,1,0.15,4
Connector,11,1314,11146,,1,0.2758,443.7622,7,10000,21,2,0,0.788,1,0.15,4
Connector,12,1316,11148,,1,0.2608,419.6272,7,10000,21,2,0,0.745142857,1,0.15,4
Connector,13,1318,11160,,1,0.2384,383.5856,7,10000,21,2,0,0.681142857,1,0.15,4
Connector,14,1319,11124,,1,0.2054,330.4886,7,10000,21,2,0,0.586857143,1,0.15,4
Connector,15,1320,5820,,1,0.3445,554.3005,7,10000,21,2,0,0.984285714,1,0.15,4
Connector,16,1320,11148,,1,0.2527,406.5943,7,10000,21,2,0,0.722,1,0.15,4
Connector,17,1322,5589,,1,0.2229,358.6461,7,10000,21,2,0,0.636857143,1,0.15,4
Connector,18,1322,11161,,1,0.267,429.603,7,10000,21,2,0,0.762857143,1,0.15,4
Connector,19,1323,5592,,1,0.2697,433.9473,7,10000,21,2,0,0.770571429,1,0.15,4
Connector,20,1325,10853,,1,0.1583,254.7047,7,10000,20,2,0,0.4749,1,0.15,4
Connector,21,1346,11172,,1,0.2518,405.1462,7,10000,21,2,0,0.719428571,1,0.15,4
Connector,22,1348,5210,,1,0.2525,406.2725,7,10000,21,2,0,0.721428571,1,0.15,4
Connector,23,1349,5210,,1,0.2309,371.5181,7,10000,21,2,0,0.659714286,1,0.15,4
Connector,24,1349,5219,,1,0.2726,438.6134,7,10000,21,2,0,0.778857143,1,0.15,4
Connector,25,1349,11181,,1,0.3091,497.3419,7,10000,21,2,0,0.883142857,1,0.15,4
Connector,26,1351,5209,,1,0.2524,406.1116,7,10000,21,2,0,0.721142857,1,0.15,4
Connector,27,1352,5209,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
Connector,28,1352,6256,,1,0.254,408.686,7,10000,21,2,0,0.725714286,1,0.15,4
Connector,29,1352,11181,,1,0.3966,638.1294,7,10000,21,2,0,1.133142857,1,0.15,4
Connector,30,1352,11261,,1,0.3863,621.5567,7,10000,21,2,0,1.103714286,1,0.15,4
Connector,31,1353,5589,,1,0.2564,412.5476,7,10000,21,2,0,0.732571429,1,0.15,4
Connector,32,1353,11172,,1,0.2395,385.3555,7,10000,21,2,0,0.684285714,1,0.15,4
Connector,33,1353,11173,,1,0.2648,426.0632,7,10000,21,2,0,0.756571429,1,0.15,4
Connector,34,1354,5592,,1,0.2627,422.6843,7,10000,20,2,0,0.7881,1,0.15,4
Connector,35,1354,11173,,1,0.3067,493.4803,7,10000,20,2,0,0.9201,1,0.15,4
Connector,36,1355,5219,,1,0.2329,374.7361,7,10000,21,2,0,0.665428571,1,0.15,4
Connector,37,1355,11183,,1,0.2952,474.9768,7,10000,21,2,0,0.843428571,1,0.15,4
Connector,38,1356,6255,,1,0.2527,406.5943,7,10000,21,2,0,0.722,1,0.15,4
Connector,39,1356,6256,,1,0.271,436.039,7,10000,21,2,0,0.774285714,1,0.15,4
Connector,40,1356,11183,,1,0.3674,591.1466,7,10000,21,2,0,1.049714286,1,0.15,4
Connector,41,1356,11259,,1,0.3823,615.1207,7,10000,21,2,0,1.092285714,1,0.15,4
Connector,42,1357,5174,,1,0.4171,671.1139,7,10000,21,2,0,1.191714286,1,0.15,4
Connector,43,1357,5588,,1,0.4955,797.2595,7,10000,21,2,0,1.415714286,1,0.15,4
Connector,44,1357,6255,,1,0.2849,458.4041,7,10000,21,2,0,0.814,1,0.15,4
Connector,45,1359,6185,,1,0.3586,576.9874,7,10000,21,2,0,1.024571429,1,0.15,4
Connector,46,1360,10850,,1,0.1651,265.6459,7,10000,20,2,0,0.4953,1,0.15,4
Connector,47,1360,11489,,1,0.2373,381.8157,7,10000,20,2,0,0.7119,1,0.15,4
Connector,48,1361,5728,,1,0.1705,274.3345,7,10000,20,2,0,0.5115,1,0.15,4
Connector,49,1397,11261,,1,0.6112,983.4208,7,10000,21,2,0,1.746285714,1,0.15,4
Connector,50,1404,11257,,1,0.1389,223.4901,7,10000,20,2,0,0.4167,1,0.15,4
300 West,51,3689,11507,,1,0.094,151.246,2,601,25,1,0,0.2256,1,0.15,4
500 West,52,4156,10849,,1,0.0946,152.2114,1,633,24,1,0,0.2365,1,0.15,4
500 West,53,4156,10850,,1,0.17,273.53,1,633,24,1,0,0.425,1,0.15,4
700 West,54,4804,5106,,1,0.2604,418.9836,1,666,29,1,0,0.538758621,1,0.15,4
700 West,55,4804,5109,,1,0.2489,400.4801,1,666,29,1,0,0.514965517,1,0.15,4
700 West,56,4899,5030,,1,0.2603,418.8227,2,633,30,1,0,0.5206,1,0.15,4
Connector,57,4952,1289,,1,0.2427,390.5043,7,10000,21,2,0,0.693428571,1,0.15,4
Connector,58,4952,1290,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
1300 West,59,4952,5022,,1,0.5007,805.6263,1,666,32,1,0,0.9388125,1,0.15,4
1300 West,60,4952,5440,,1,0.39199,630.71191,1,666,32,1,0,0.73498125,1,0.15,4
Connector,61,4958,1299,,1,0.1988,319.8692,7,10000,21,2,0,0.568,1,0.15,4
700 West,62,4958,5010,,1,0.14152,227.70568,2,814,36,1,0,0.235866667,1,0.15,4
700 West,63,4958,5030,,1,0.15809,254.36681,2,814,36,1,0,0.263483333,1,0.15,4
Center St,64,5009,5027,,1,0.1508,242.6372,2,814,36,1,0,0.251333333,1,0.15,4
Holden St,65,5009,5240,,1,0.2969,477.7121,2,814,36,1,0,0.494833333,1,0.15,4
7800 South,66,5009,5863,,1,0.1904,306.3536,2,814,36,1,0,0.317333333,1,0.15,4
700 West,67,5010,4958,,1,0.14152,227.70568,2,814,36,1,0,0.235866667,1,0.15,4
700 West,68,5010,5027,,1,0.31237,502.60333,1,857,35,1,0,0.535491429,1,0.15,4
Holden St,69,5010,5240,,1,0.13471,216.74839,2,814,36,1,0,0.224516667,1,0.15,4
Redwood Rd,70,5017,5018,,1,0.498,801.282,3,854,43,1,0,0.694883721,1,0.15,4
7800 South,71,5017,11123,,1,0.2622,421.8798,2,814,36,1,0,0.437,1,0.15,4
