link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
1,0,1285,5018,2,,7,0.238400,21.000000,14.700000,0.681143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943375 40.616454,-111.938855 40.616737)"
2,1,1286,11125,2,,7,0.466000,21.000000,14.700000,1.331429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934202 40.630776,-111.933970 40.624024)"
3,2,1289,4952,2,,7,0.242700,21.000000,14.700000,0.693429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933868 40.616707,-111.929251 40.616674)"
4,3,1289,5018,2,,7,0.262100,21.000000,14.700000,0.748857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933868 40.616707,-111.938855 40.616737)"
5,4,1289,11124,2,,7,0.506900,21.000000,14.700000,1.448286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933868 40.616707,-111.931819 40.609526)"
6,5,1289,11125,2,,7,0.504700,21.000000,14.700000,1.442000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.933868 40.616707,-111.933970 40.624024)"
7,6,1290,4952,2,,7,0.251600,21.000000,14.700000,0.718857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.924502 40.617134,-111.929251 40.616674)"
8,7,1296,5240,2,,7,0.205600,21.000000,14.700000,0.587429,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.915638 40.613722,-111.911929 40.614669)"
9,8,1299,4958,2,,7,0.198800,21.000000,14.700000,0.568000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.908054 40.616174,-111.910232 40.618529)"
10,9,1299,11129,2,,7,0.363700,21.000000,14.700000,1.039143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.908054 40.616174,-111.907639 40.610911)"
11,10,1314,11146,2,,7,0.275800,21.000000,14.700000,0.788000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.944074 40.606326,-111.938858 40.605898)"
12,11,1316,11148,2,,7,0.260800,21.000000,14.700000,0.745143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943565 40.598006,-111.938793 40.599039)"
13,12,1318,11160,2,,7,0.238400,21.000000,14.700000,0.681143,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.943411 40.590891,-111.938878 40.590844)"
14,13,1319,11124,2,,7,0.205400,21.000000,14.700000,0.586857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934408 40.607297,-111.931819 40.609526)"
15,14,1320,5820,2,,7,0.344500,21.000000,14.700000,0.984286,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934152 40.599993,-111.929267 40.603321)"
16,15,1320,11148,2,,7,0.252700,21.000000,14.700000,0.722000,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934152 40.599993,-111.938793 40.599039)"
17,16,1322,5589,2,,7,0.222900,21.000000,14.700000,0.636857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934349 40.591006,-111.934063 40.587781)"
18,17,1322,11161,2,,7,0.267000,21.000000,14.700000,0.762857,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.934349 40.591006,-111.929272 40.591047)"
19,18,1323,5592,2,,7,0.269700,21.000000,14.700000,0.770571,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.921418 40.591609,-111.922175 40.587742)"
20,19,1325,10853,2,,7,0.158300,20.000000,14.000000,0.474900,10000.000000,,1.000000,0.150000,4.000000,0.000000,0.368000,1.380000,0.954946,1.124000,"LINESTRING (-111.907451 40.592344,-111.904442 40.592385)"
