tmc_corridor_name,demand_period,links,vol0,speed0,DoC0,max_P0,vol,speed,Doc,P,diff_vol,diff_spd,diff_Doc,diff_P,d%_vol,d%_spd,
network_wide,AM,378,1272.63,27.9918,0.981359,13.1243,1337.99,28.2783,0.982236,13.2826,65.3606,0.286544,0.000876564,0.158281,5.13586,1.02367,
sa link_id:368,AM,1,6624.85,0.1,3.91078,4.52993,0,51.52,0,0,-6624.85,51.42,-3.91078,-4.52993,-100,5142,
