zone_id,name,geometry
1,A2,"POLYGON ((-124.000000 48.000000, -122.000000 48.000000, -122.000000 46.000000, -124.000000 46.000000, -124.000000 48.000000))"
2,A3,"POLYGON ((-124.000000 46.000000, -122.000000 46.000000, -122.000000 44.000000, -124.000000 44.000000, -124.000000 46.000000))"
4,A5,"POLYGON ((-124.000000 42.000000, -122.000000 42.000000, -122.000000 40.000000, -124.000000 40.000000, -124.000000 42.000000))"
5,A6,"POLYGON ((-124.000000 40.000000, -122.000000 40.000000, -122.000000 38.000000, -124.000000 38.000000, -124.000000 40.000000))"
6,A7,"POLYGON ((-124.000000 38.000000, -122.000000 38.000000, -122.000000 36.000000, -124.000000 36.000000, -124.000000 38.000000))"
1001,B2,"POLYGON ((-122.000000 48.000000, -120.000000 48.000000, -120.000000 46.000000, -122.000000 46.000000, -122.000000 48.000000))"
1002,B3,"POLYGON ((-122.000000 46.000000, -120.000000 46.000000, -120.000000 44.000000, -122.000000 44.000000, -122.000000 46.000000))"
1003,B4,"POLYGON ((-122.000000 44.000000, -120.000000 44.000000, -120.000000 42.000000, -122.000000 42.000000, -122.000000 44.000000))"
1005,B6,"POLYGON ((-122.000000 40.000000, -120.000000 40.000000, -120.000000 38.000000, -122.000000 38.000000, -122.000000 40.000000))"
1006,B7,"POLYGON ((-122.000000 38.000000, -120.000000 38.000000, -120.000000 36.000000, -122.000000 36.000000, -122.000000 38.000000))"
1007,B8,"POLYGON ((-122.000000 36.000000, -120.000000 36.000000, -120.000000 34.000000, -122.000000 34.000000, -122.000000 36.000000))"
2001,C2,"POLYGON ((-120.000000 48.000000, -118.000000 48.000000, -118.000000 46.000000, -120.000000 46.000000, -120.000000 48.000000))"
2005,C6,"POLYGON ((-120.000000 40.000000, -118.000000 40.000000, -118.000000 38.000000, -120.000000 38.000000, -120.000000 40.000000))"
2006,C7,"POLYGON ((-120.000000 38.000000, -118.000000 38.000000, -118.000000 36.000000, -120.000000 36.000000, -120.000000 38.000000))"
2007,C8,"POLYGON ((-120.000000 36.000000, -118.000000 36.000000, -118.000000 34.000000, -120.000000 34.000000, -120.000000 36.000000))"
3000,D1,"POLYGON ((-118.000000 50.000000, -116.000000 50.000000, -116.000000 48.000000, -118.000000 48.000000, -118.000000 50.000000))"
3001,D2,"POLYGON ((-118.000000 48.000000, -116.000000 48.000000, -116.000000 46.000000, -118.000000 46.000000, -118.000000 48.000000))"
3004,D5,"POLYGON ((-118.000000 42.000000, -116.000000 42.000000, -116.000000 40.000000, -118.000000 40.000000, -118.000000 42.000000))"
3007,D8,"POLYGON ((-118.000000 36.000000, -116.000000 36.000000, -116.000000 34.000000, -118.000000 34.000000, -118.000000 36.000000))"
3008,D9,"POLYGON ((-118.000000 34.000000, -116.000000 34.000000, -116.000000 32.000000, -118.000000 32.000000, -118.000000 34.000000))"
4000,E1,"POLYGON ((-116.000000 50.000000, -114.000000 50.000000, -114.000000 48.000000, -116.000000 48.000000, -116.000000 50.000000))"
4004,E5,"POLYGON ((-116.000000 42.000000, -114.000000 42.000000, -114.000000 40.000000, -116.000000 40.000000, -116.000000 42.000000))"
4007,E8,"POLYGON ((-116.000000 36.000000, -114.000000 36.000000, -114.000000 34.000000, -116.000000 34.000000, -116.000000 36.000000))"
4008,E9,"POLYGON ((-116.000000 34.000000, -114.000000 34.000000, -114.000000 32.000000, -116.000000 32.000000, -116.000000 34.000000))"
5000,F1,"POLYGON ((-114.000000 50.000000, -112.000000 50.000000, -112.000000 48.000000, -114.000000 48.000000, -114.000000 50.000000))"
5007,F8,"POLYGON ((-114.000000 36.000000, -112.000000 36.000000, -112.000000 34.000000, -114.000000 34.000000, -114.000000 36.000000))"
5008,F9,"POLYGON ((-114.000000 34.000000, -112.000000 34.000000, -112.000000 32.000000, -114.000000 32.000000, -114.000000 34.000000))"
6000,G1,"POLYGON ((-112.000000 50.000000, -110.000000 50.000000, -110.000000 48.000000, -112.000000 48.000000, -112.000000 50.000000))"
6004,G5,"POLYGON ((-112.000000 42.000000, -110.000000 42.000000, -110.000000 40.000000, -112.000000 40.000000, -112.000000 42.000000))"
6005,G6,"POLYGON ((-112.000000 40.000000, -110.000000 40.000000, -110.000000 38.000000, -112.000000 38.000000, -112.000000 40.000000))"
6007,G8,"POLYGON ((-112.000000 36.000000, -110.000000 36.000000, -110.000000 34.000000, -112.000000 34.000000, -112.000000 36.000000))"
6008,G9,"POLYGON ((-112.000000 34.000000, -110.000000 34.000000, -110.000000 32.000000, -112.000000 32.000000, -112.000000 34.000000))"
6009,G10,"POLYGON ((-112.000000 32.000000, -110.000000 32.000000, -110.000000 30.000000, -112.000000 30.000000, -112.000000 32.000000))"
7000,H1,"POLYGON ((-110.000000 50.000000, -108.000000 50.000000, -108.000000 48.000000, -110.000000 48.000000, -110.000000 50.000000))"
7005,H6,"POLYGON ((-110.000000 40.000000, -108.000000 40.000000, -108.000000 38.000000, -110.000000 38.000000, -110.000000 40.000000))"
7007,H8,"POLYGON ((-110.000000 36.000000, -108.000000 36.000000, -108.000000 34.000000, -110.000000 34.000000, -110.000000 36.000000))"
7008,H9,"POLYGON ((-110.000000 34.000000, -108.000000 34.000000, -108.000000 32.000000, -110.000000 32.000000, -110.000000 34.000000))"
8000,I1,"POLYGON ((-108.000000 50.000000, -106.000000 50.000000, -106.000000 48.000000, -108.000000 48.000000, -108.000000 50.000000))"
8005,I6,"POLYGON ((-108.000000 40.000000, -106.000000 40.000000, -106.000000 38.000000, -108.000000 38.000000, -108.000000 40.000000))"
8007,I8,"POLYGON ((-108.000000 36.000000, -106.000000 36.000000, -106.000000 34.000000, -108.000000 34.000000, -108.000000 36.000000))"
8008,I9,"POLYGON ((-108.000000 34.000000, -106.000000 34.000000, -106.000000 32.000000, -108.000000 32.000000, -108.000000 34.000000))"
8009,I10,"POLYGON ((-108.000000 32.000000, -106.000000 32.000000, -106.000000 30.000000, -108.000000 30.000000, -108.000000 32.000000))"
9000,J1,"POLYGON ((-106.000000 50.000000, -104.000000 50.000000, -104.000000 48.000000, -106.000000 48.000000, -106.000000 50.000000))"
9004,J5,"POLYGON ((-106.000000 42.000000, -104.000000 42.000000, -104.000000 40.000000, -106.000000 40.000000, -106.000000 42.000000))"
9005,J6,"POLYGON ((-106.000000 40.000000, -104.000000 40.000000, -104.000000 38.000000, -106.000000 38.000000, -106.000000 40.000000))"
9006,J7,"POLYGON ((-106.000000 38.000000, -104.000000 38.000000, -104.000000 36.000000, -106.000000 36.000000, -106.000000 38.000000))"
9007,J8,"POLYGON ((-106.000000 36.000000, -104.000000 36.000000, -104.000000 34.000000, -106.000000 34.000000, -106.000000 36.000000))"
10000,K1,"POLYGON ((-104.000000 50.000000, -102.000000 50.000000, -102.000000 48.000000, -104.000000 48.000000, -104.000000 50.000000))"
10004,K5,"POLYGON ((-104.000000 42.000000, -102.000000 42.000000, -102.000000 40.000000, -104.000000 40.000000, -104.000000 42.000000))"
10005,K6,"POLYGON ((-104.000000 40.000000, -102.000000 40.000000, -102.000000 38.000000, -104.000000 38.000000, -104.000000 40.000000))"
10006,K7,"POLYGON ((-104.000000 38.000000, -102.000000 38.000000, -102.000000 36.000000, -104.000000 36.000000, -104.000000 38.000000))"
10009,K10,"POLYGON ((-104.000000 32.000000, -102.000000 32.000000, -102.000000 30.000000, -104.000000 30.000000, -104.000000 32.000000))"
11000,L1,"POLYGON ((-102.000000 50.000000, -100.000000 50.000000, -100.000000 48.000000, -102.000000 48.000000, -102.000000 50.000000))"
11004,L5,"POLYGON ((-102.000000 42.000000, -100.000000 42.000000, -100.000000 40.000000, -102.000000 40.000000, -102.000000 42.000000))"
11006,L7,"POLYGON ((-102.000000 38.000000, -100.000000 38.000000, -100.000000 36.000000, -102.000000 36.000000, -102.000000 38.000000))"
11010,L11,"POLYGON ((-102.000000 30.000000, -100.000000 30.000000, -100.000000 28.000000, -102.000000 28.000000, -102.000000 30.000000))"
12000,M1,"POLYGON ((-100.000000 50.000000, -98.000000 50.000000, -98.000000 48.000000, -100.000000 48.000000, -100.000000 50.000000))"
12004,M5,"POLYGON ((-100.000000 42.000000, -98.000000 42.000000, -98.000000 40.000000, -100.000000 40.000000, -100.000000 42.000000))"
12010,M11,"POLYGON ((-100.000000 30.000000, -98.000000 30.000000, -98.000000 28.000000, -100.000000 28.000000, -100.000000 30.000000))"
13001,N2,"POLYGON ((-98.000000 48.000000, -96.000000 48.000000, -96.000000 46.000000, -98.000000 46.000000, -98.000000 48.000000))"
13004,N5,"POLYGON ((-98.000000 42.000000, -96.000000 42.000000, -96.000000 40.000000, -98.000000 40.000000, -98.000000 42.000000))"
13005,N6,"POLYGON ((-98.000000 40.000000, -96.000000 40.000000, -96.000000 38.000000, -98.000000 38.000000, -98.000000 40.000000))"
13007,N8,"POLYGON ((-98.000000 36.000000, -96.000000 36.000000, -96.000000 34.000000, -98.000000 34.000000, -98.000000 36.000000))"
13008,N9,"POLYGON ((-98.000000 34.000000, -96.000000 34.000000, -96.000000 32.000000, -98.000000 32.000000, -98.000000 34.000000))"
13009,N10,"POLYGON ((-98.000000 32.000000, -96.000000 32.000000, -96.000000 30.000000, -98.000000 30.000000, -98.000000 32.000000))"
13010,N11,"POLYGON ((-98.000000 30.000000, -96.000000 30.000000, -96.000000 28.000000, -98.000000 28.000000, -98.000000 30.000000))"
14001,O2,"POLYGON ((-96.000000 48.000000, -94.000000 48.000000, -94.000000 46.000000, -96.000000 46.000000, -96.000000 48.000000))"
14002,O3,"POLYGON ((-96.000000 46.000000, -94.000000 46.000000, -94.000000 44.000000, -96.000000 44.000000, -96.000000 46.000000))"
14004,O5,"POLYGON ((-96.000000 42.000000, -94.000000 42.000000, -94.000000 40.000000, -96.000000 40.000000, -96.000000 42.000000))"
14005,O6,"POLYGON ((-96.000000 40.000000, -94.000000 40.000000, -94.000000 38.000000, -96.000000 38.000000, -96.000000 40.000000))"
14008,O9,"POLYGON ((-96.000000 34.000000, -94.000000 34.000000, -94.000000 32.000000, -96.000000 32.000000, -96.000000 34.000000))"
14009,O10,"POLYGON ((-96.000000 32.000000, -94.000000 32.000000, -94.000000 30.000000, -96.000000 30.000000, -96.000000 32.000000))"
14010,O11,"POLYGON ((-96.000000 30.000000, -94.000000 30.000000, -94.000000 28.000000, -96.000000 28.000000, -96.000000 30.000000))"
15002,P3,"POLYGON ((-94.000000 46.000000, -92.000000 46.000000, -92.000000 44.000000, -94.000000 44.000000, -94.000000 46.000000))"
15004,P5,"POLYGON ((-94.000000 42.000000, -92.000000 42.000000, -92.000000 40.000000, -94.000000 40.000000, -94.000000 42.000000))"
15005,P6,"POLYGON ((-94.000000 40.000000, -92.000000 40.000000, -92.000000 38.000000, -94.000000 38.000000, -94.000000 40.000000))"
15007,P8,"POLYGON ((-94.000000 36.000000, -92.000000 36.000000, -92.000000 34.000000, -94.000000 34.000000, -94.000000 36.000000))"
15008,P9,"POLYGON ((-94.000000 34.000000, -92.000000 34.000000, -92.000000 32.000000, -94.000000 32.000000, -94.000000 34.000000))"
15009,P10,"POLYGON ((-94.000000 32.000000, -92.000000 32.000000, -92.000000 30.000000, -94.000000 30.000000, -94.000000 32.000000))"
15012,P13,"POLYGON ((-94.000000 26.000000, -92.000000 26.000000, -92.000000 24.000000, -94.000000 24.000000, -94.000000 26.000000))"
16002,Q3,"POLYGON ((-92.000000 46.000000, -90.000000 46.000000, -90.000000 44.000000, -92.000000 44.000000, -92.000000 46.000000))"
16003,Q4,"POLYGON ((-92.000000 44.000000, -90.000000 44.000000, -90.000000 42.000000, -92.000000 42.000000, -92.000000 44.000000))"
16004,Q5,"POLYGON ((-92.000000 42.000000, -90.000000 42.000000, -90.000000 40.000000, -92.000000 40.000000, -92.000000 42.000000))"
16005,Q6,"POLYGON ((-92.000000 40.000000, -90.000000 40.000000, -90.000000 38.000000, -92.000000 38.000000, -92.000000 40.000000))"
16006,Q7,"POLYGON ((-92.000000 38.000000, -90.000000 38.000000, -90.000000 36.000000, -92.000000 36.000000, -92.000000 38.000000))"
16007,Q8,"POLYGON ((-92.000000 36.000000, -90.000000 36.000000, -90.000000 34.000000, -92.000000 34.000000, -92.000000 36.000000))"
16008,Q9,"POLYGON ((-92.000000 34.000000, -90.000000 34.000000, -90.000000 32.000000, -92.000000 32.000000, -92.000000 34.000000))"
16009,Q10,"POLYGON ((-92.000000 32.000000, -90.000000 32.000000, -90.000000 30.000000, -92.000000 30.000000, -92.000000 32.000000))"
16010,Q11,"POLYGON ((-92.000000 30.000000, -90.000000 30.000000, -90.000000 28.000000, -92.000000 28.000000, -92.000000 30.000000))"
17003,R4,"POLYGON ((-90.000000 44.000000, -88.000000 44.000000, -88.000000 42.000000, -90.000000 42.000000, -90.000000 44.000000))"
17004,R5,"POLYGON ((-90.000000 42.000000, -88.000000 42.000000, -88.000000 40.000000, -90.000000 40.000000, -90.000000 42.000000))"
17005,R6,"POLYGON ((-90.000000 40.000000, -88.000000 40.000000, -88.000000 38.000000, -90.000000 38.000000, -90.000000 40.000000))"
17006,R7,"POLYGON ((-90.000000 38.000000, -88.000000 38.000000, -88.000000 36.000000, -90.000000 36.000000, -90.000000 38.000000))"
17008,R9,"POLYGON ((-90.000000 34.000000, -88.000000 34.000000, -88.000000 32.000000, -90.000000 32.000000, -90.000000 34.000000))"
17009,R10,"POLYGON ((-90.000000 32.000000, -88.000000 32.000000, -88.000000 30.000000, -90.000000 30.000000, -90.000000 32.000000))"
18003,S4,"POLYGON ((-88.000000 44.000000, -86.000000 44.000000, -86.000000 42.000000, -88.000000 42.000000, -88.000000 44.000000))"
18004,S5,"POLYGON ((-88.000000 42.000000, -86.000000 42.000000, -86.000000 40.000000, -88.000000 40.000000, -88.000000 42.000000))"
18005,S6,"POLYGON ((-88.000000 40.000000, -86.000000 40.000000, -86.000000 38.000000, -88.000000 38.000000, -88.000000 40.000000))"
18008,S9,"POLYGON ((-88.000000 34.000000, -86.000000 34.000000, -86.000000 32.000000, -88.000000 32.000000, -88.000000 34.000000))"
18009,S10,"POLYGON ((-88.000000 32.000000, -86.000000 32.000000, -86.000000 30.000000, -88.000000 30.000000, -88.000000 32.000000))"
19003,T4,"POLYGON ((-86.000000 44.000000, -84.000000 44.000000, -84.000000 42.000000, -86.000000 42.000000, -86.000000 44.000000))"
19004,T5,"POLYGON ((-86.000000 42.000000, -84.000000 42.000000, -84.000000 40.000000, -86.000000 40.000000, -86.000000 42.000000))"
19005,T6,"POLYGON ((-86.000000 40.000000, -84.000000 40.000000, -84.000000 38.000000, -86.000000 38.000000, -86.000000 40.000000))"
19008,T9,"POLYGON ((-86.000000 34.000000, -84.000000 34.000000, -84.000000 32.000000, -86.000000 32.000000, -86.000000 34.000000))"
