from_stop_id,to_stop_id,transfer_type,min_transfer_time
ABE,ABE,0,
ABQ,ABQ,0,
ACA,ACA,0,
ADM,ADM,0,
AKY,AKY,0,
ALB,ALB,2,3600
ALC,ALC,0,
ALD,ALD,0,
ALI,ALI,0,
ALN,ALN,3,
ALP,ALP,0,
ALT,ALT,0,
ALX,ALX,2,3600
ALY,ALY,3,
AMM,AMM,0,
AMS,AMS,0,
ANA,ANA,0,
ARB,ARB,2,3600
ARD,ARD,0,
ARK,ARK,0,
ARN,ARN,0,
ASD,ASD,0,
AST,AST,0,
ATL,ATL,0,
ATN,ATN,0,
AUS,AUS,3,
BAL,BAL,0,
BAM,BAM,0,
BAR,BAR,0,
BBY,BBY,3,
BCV,BCV,0,
BEL,BEL,3,
BEN,BEN,0,
BER,BER,0,
BFD,BFD,3,
BFX,BFX,3,
BHM,BHM,0,
BKY,BKY,0,
BLF,BLF,0,
BMM,BMM,0,
BMT,BMT,0,
BNC,BNC,0,
BNG,BNG,0,
BNL,BNL,3,
BON,BON,3,
BOS,BOS,2,3600
BRA,BRA,0,
BRH,BRH,0,
BRK,BRK,0,
BRL,BRL,0,
BRO,BRO,0,
BRP,BRP,0,
BTL,BTL,3,
BUF,BUF,2,3600
BUR,BUR,0,
BWI,BWI,2,1800
BYN,BYN,0,
CAM,CAM,0,
CBN,CBN,3,
CBR,CBR,0,
CBS,CBS,3,
CBV,CBV,0,
CDL,CDL,3,
CEN,CEN,3,
CHI,CHI,2,3600
CHM,CHM,3,
CHS,CHS,0,
CHW,CHW,0,
CIC,CIC,0,
CIN,CIN,0,
CLA,CLA,0,
CLB,CLB,0,
CLE,CLE,2,3600
CLF,CLF,0,
CLP,CLP,0,
CLT,CLT,2,3600
CML,CML,0,
CMO,CMO,3,
CNV,CNV,0,
COC,COC,0,
COI,COI,0,
COT,COT,0,
COV,COV,0,
COX,COX,3,
CPN,CPN,0,
CRF,CRF,0,
CRN,CRN,0,
CRT,CRT,0,
CRV,CRV,0,
CSN,CSN,0,
CTL,CTL,0,
CUM,CUM,0,
CUT,CUT,0,
CVS,CVS,3,
CWH,CWH,0,
CWT,CWT,0,
CYN,CYN,2,3600
DAL,DAL,3,
DAN,DAN,0,
DAV,DAV,2,3600
DDG,DDG,0,
DEM,DEM,0,
DEN,DEN,3,
DER,DER,0,
DET,DET,3,
DFB,DFB,0,
DHM,DHM,0,
DIL,DIL,0,
DLB,DLB,0,
DLD,DLD,3,
DLK,DLK,0,
DNC,DNC,0,
DNK,DNK,0,
DOA,DOA,0,
DOV,DOV,0,
DOW,DOW,0,
DQN,DQN,0,
DRD,DRD,0,
DRT,DRT,0,
DUN,DUN,0,
DVL,DVL,0,
DWT,DWT,0,
DYE,DYE,0,
EDM,EDM,0,
EFG,EFG,0,
EKH,EKH,0,
ELK,ELK,0,
ELP,ELP,0,
ELT,ELT,0,
ELY,ELY,0,
EMY,EMY,3,
ENC,ENC,0,
EPH,EPH,0,
ERI,ERI,0,
ESM,ESM,0,
ESX,ESX,0,
EUG,EUG,3,
EVR,EVR,3,
EWR,EWR,0,
EXR,EXR,0,
EXT,EXT,0,
FAR,FAR,2,5
FAY,FAY,0,
FBG,FBG,0,
FED,FED,0,
FLG,FLG,3,
FLN,FLN,0,
FLO,FLO,3,
FMD,FMD,3,
FMG,FMG,0,
FMT,FMT,0,
FNO,FNO,3,
FRA,FRA,0,
FRE,FRE,0,
FTC,FTC,0,
FTL,FTL,0,
FTN,FTN,0,
FTW,FTW,2,3600
FUL,FUL,2,3600
GAC,GAC,0,
GAS,GAS,0,
GBB,GBB,2,3600
GCK,GCK,0,
GDL,GDL,0,
GFK,GFK,0,
GGW,GGW,0,
GJT,GJT,0,
GLE,GLE,0,
GLM,GLM,0,
GLN,GLN,0,
GLP,GLP,0,
GMS,GMS,0,
GNB,GNB,0,
GNS,GNS,0,
GPK,GPK,0,
GRA,GRA,0,
GRI,GRI,0,
GRO,GRO,3,
GRR,GRR,0,
GRV,GRV,0,
GSC,GSC,3,
GTA,GTA,0,
GUA,GUA,3,
GVB,GVB,0,
GWD,GWD,0,
HAM,HAM,0,
HAR,HAR,3,
HAS,HAS,0,
HAV,HAV,0,
HAY,HAY,0,
HAZ,HAZ,0,
HBG,HBG,0,
HEM,HEM,0,
HER,HER,0,
HFD,HFD,0,
HFY,HFY,0,
HGD,HGD,0,
HHL,HHL,0,
HIN,HIN,0,
HLD,HLD,0,
HMD,HMD,0,
HMI,HMI,0,
HMW,HMW,0,
HNF,HNF,3,
HOL,HOL,0,
HOM,HOM,0,
HOP,HOP,0,
HOS,HOS,3,
HPT,HPT,3,
HUD,HUD,0,
HUN,HUN,0,
HUT,HUT,0,
IDP,IDP,0,
IND,IND,3,
IRV,IRV,3,
JAN,JAN,0,
JAX,JAX,3,
JEF,JEF,3,
JOL,JOL,0,
JSP,JSP,0,
JST,JST,0,
JXN,JXN,3,
KAL,KAL,3,
KAN,KAN,0,
