agent_id,agent_type,trip_id,route_id,route_id_short_name,o_zone_id,d_zone_id,travel_time,distance,node_sequence,time_sequence
1,transit,2100644154,66,Acela Express,488,324,169.000,211.195,488;56;27;499;349;323;324;,0600:00;0621:00;0632:00;0716:00;0733:00;0832:00;0849:00;,
2,transit,2100644156,66,Acela Express,488,324,169.000,211.195,488;56;27;499;349;323;324;,0600:00;0621:00;0632:00;0716:00;0733:00;0832:00;0849:00;,
3,transit,2100644158,66,Acela Express,488,324,169.000,211.195,488;56;27;499;349;323;324;,0600:00;0621:00;0632:00;0716:00;0733:00;0832:00;0849:00;,
4,transit,2100646687,66,Acela Express,488,324,169.000,211.195,488;56;27;499;349;323;324;,0600:00;0621:00;0632:00;0716:00;0733:00;0832:00;0849:00;,
5,transit,2103643519,66,Acela Express,324,488,175.000,211.231,324;323;281;469;349;499;27;488;,0600:00;0615:00;0628:00;0654:00;0718:00;0739:00;0818:00;0855:00;,
6,transit,2103643520,66,Acela Express,324,488,175.000,211.231,324;323;281;469;349;499;27;488;,0600:00;0615:00;0628:00;0654:00;0718:00;0739:00;0818:00;0855:00;,
7,transit,2103643522,66,Acela Express,324,488,175.000,211.231,324;323;281;469;349;499;27;488;,0600:00;0615:00;0628:00;0654:00;0718:00;0739:00;0818:00;0855:00;,
8,transit,2104633810,66,Acela Express,488,324,171.000,211.195,488;56;27;499;349;323;324;,0755:00;0816:00;0827:00;0916:00;0933:00;1029:00;1046:00;,
9,transit,2104633811,66,Acela Express,488,324,166.000,211.195,488;56;27;499;349;323;324;,0800:00;0821:00;0832:00;0916:00;0933:00;1029:00;1046:00;,
10,transit,2104644159,66,Acela Express,488,324,166.000,211.195,488;56;27;499;349;323;324;,0800:00;0821:00;0832:00;0916:00;0933:00;1029:00;1046:00;,
11,transit,2104644160,66,Acela Express,488,324,166.000,211.195,488;56;27;499;349;323;324;,0800:00;0821:00;0832:00;0916:00;0933:00;1029:00;1046:00;,
12,transit,2104644162,66,Acela Express,488,324,166.000,211.195,488;56;27;499;349;323;324;,0800:00;0821:00;0832:00;0916:00;0933:00;1029:00;1046:00;,
13,transit,2107643534,66,Acela Express,324,488,175.000,211.202,324;323;281;349;499;27;488;,0700:00;0715:00;0728:00;0815:00;0834:00;0920:00;0955:00;,
14,transit,2107649582,66,Acela Express,324,488,178.000,211.202,324;323;281;349;499;27;488;,0700:00;0715:00;0728:00;0815:00;0834:00;0915:00;0958:00;,
15,transit,2107649583,66,Acela Express,324,488,175.000,211.202,324;323;281;349;499;27;488;,0700:00;0715:00;0728:00;0815:00;0834:00;0920:00;0955:00;,
16,transit,2107649584,66,Acela Express,324,488,175.000,211.202,324;323;281;349;499;27;488;,0700:00;0715:00;0728:00;0815:00;0834:00;0920:00;0955:00;,
17,transit,2109649576,66,Acela Express,324,488,178.000,211.202,324;323;281;349;499;27;488;,0800:00;0815:00;0828:00;0910:00;0931:00;1010:00;1058:00;,
18,transit,2109649577,66,Acela Express,324,488,173.000,211.202,324;323;281;349;499;27;488;,0800:00;0815:00;0828:00;0910:00;0931:00;1015:00;1053:00;,
19,transit,2109649579,66,Acela Express,324,488,173.000,211.202,324;323;281;349;499;27;488;,0800:00;0815:00;0828:00;0910:00;0931:00;1015:00;1053:00;,
