link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
100,,1,2,,1,1,0.34410,3,65.0,1900.0,,,,"LINESTRING (-122.298000 37.846000, -122.299000 37.851000)"
101,,2,3,,1,1,0.26815,3,65.0,1900.0,,,,"LINESTRING (-122.299000 37.851000, -122.300000 37.854000)"
102,,3,4,,1,1,0.27125,3,65.0,1900.0,,,,"LINESTRING (-122.300000 37.854000, -122.301000 37.857000)"
103,,4,5,,1,1,0.18755,3,65.0,1900.0,,,,"LINESTRING (-122.301000 37.857000, -122.302000 37.862000)"
104,,5,6,,1,1,0.15345,3,65.0,1900.0,,,,"LINESTRING (-122.302000 37.862000, -122.303000 37.865000)"
105,,6,7,,1,1,0.32550,3,65.0,1900.0,,,,"LINESTRING (-122.303000 37.865000, -122.304000 37.869000)"
106,,6,8,,1,1,0.17515,2,65.0,1900.0,,,,"LINESTRING (-122.303000 37.865000, -122.304000 37.867000)"
107,,9,10,,1,1,0.13640,2,65.0,1900.0,,,,"LINESTRING (-122.297000 37.849000, -122.299000 37.849000)"
108,,11,12,,1,1,0.34410,3,65.0,1900.0,,,,"LINESTRING (-122.305000 37.869000, -122.303000 37.864000)"
109,,12,13,,1,1,0.14105,3,65.0,1900.0,,,,"LINESTRING (-122.303000 37.864000, -122.305000 37.870000)"
110,,13,14,,1,1,0.18445,3,65.0,1900.0,,,,"LINESTRING (-122.305000 37.870000, -122.302000 37.859000)"
111,,14,15,,1,1,0.26970,3,65.0,1900.0,,,,"LINESTRING (-122.302000 37.859000, -122.300000 37.852000)"
112,,15,16,,1,1,0.26660,3,65.0,1900.0,,,,"LINESTRING (-122.300000 37.852000, -122.300000 37.851000)"
113,,16,17,,1,1,0.09145,3,65.0,1900.0,,,,"LINESTRING (-122.300000 37.851000, -122.300000 37.850000)"
114,,17,18,,1,1,0.25265,3,65.0,1900.0,,,,"LINESTRING (-122.300000 37.850000, -122.298000 37.845000)"
115,,17,19,,1,1,0.15655,2,65.0,1900.0,,,,"LINESTRING (-122.300000 37.850000, -122.300000 37.848000)"
116,,20,12,,1,1,0.14415,2,65.0,1900.0,,,,"LINESTRING (-122.305000 37.866000, -122.303000 37.864000)"
