route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
571,Express-Weekday-1-2007-VMW-1111100,14462306,"Surprise PNR",1,,5710016,31901
571,Express-Weekday-1-2007-VMW-1111100,14462307,"Surprise PNR",1,,5710016,31900
573,Express-Weekday-1-2007-VMW-1111100,14462308,"State Capitol",0,,5730017,31904
573,Express-Weekday-1-2007-VMW-1111100,14462309,"State Capitol",0,,5730017,31903
573,Express-Weekday-1-2007-VMW-1111100,14462310,"Foothills Rec Ctr",1,,5730011,31908
573,Express-Weekday-1-2007-VMW-1111100,14462311,"Foothills Rec Ctr",1,,5730011,31907
575,Express-Weekday-1-2007-VMW-1111100,14462312,"State Capitol",0,,5750008,31912
575,Express-Weekday-1-2007-VMW-1111100,14462313,"State Capitol",0,,5750008,31911
575,Express-Weekday-1-2007-VMW-1111100,14462314,"Arrowhead Ctr",1,,5750010,31914
575,Express-Weekday-1-2007-VMW-1111100,14462315,"Arrowhead Ctr",1,,5750010,31913
571,Express-Weekday-1-2007-VMW-1111100,14462316,"State Capitol",0,,5710014,31895
571,Express-Weekday-1-2007-VMW-1111100,14462317,"State Capitol",0,,5710014,31894
562,Express-Weekday-1-2007-VMW-1111100,14462318,"State Capitol",0,,5620018,31878
562,Express-Weekday-1-2007-VMW-1111100,14462319,"Goodyear PNR",1,,5620012,31882
562,Express-Weekday-1-2007-VMW-1111100,14462320,"Goodyear PNR",1,,5620012,31883
562,Express-Weekday-1-2007-VMW-1111100,14462321,"State Capitol",0,,5620018,31879
563,Express-Weekday-1-2007-VMW-1111100,14462322,"State Capitol",0,,5630025,31886
563,Express-Weekday-1-2007-VMW-1111100,14462323,"State Capitol",0,,5630025,31887
563,Express-Weekday-1-2007-VMW-1111100,14462324,"State Capitol",0,,5630026,31888
563,Express-Weekday-1-2007-VMW-1111100,14462325,"Buckeye PNR",1,,5630028,31890
563,Express-Weekday-1-2007-VMW-1111100,14462326,"Buckeye PNR",1,,5630028,31892
563,Express-Weekday-1-2007-VMW-1111100,14462327,"Avondale PNR",1,,5630027,31893
563,Express-Weekday-1-2007-VMW-1111100,14462563,"State Capitol",0,,5630026,31889
571,Express-Weekday-1-2007-VMW-1111100,14462564,"State Capitol",0,,5710014,31897
573,Express-Weekday-1-2007-VMW-1111100,14462565,"State Capitol",0,,5730017,31902
575,Express-Weekday-1-2007-VMW-1111100,14462566,"State Capitol",0,,5750008,31910
562,Express-Weekday-1-2007-VMW-1111100,14462567,"State Capitol",0,,5620018,31880
563,Express-Weekday-1-2007-VMW-1111100,14462568,"Avondale PNR",1,,5630027,31891
571,Express-Weekday-1-2007-VMW-1111100,14462569,"Surprise PNR",1,,5710016,31899
573,Express-Weekday-1-2007-VMW-1111100,14462570,"Foothills Rec Ctr",1,,5730011,31909
