link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,person_vol_rt,person_vol_dms,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
11,bpr,1,14,3.000000,0.768430,0.477582,0.768430,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,0.769,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,2227.684,59.759,2227.684,59.759,0.019,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
12,bpr,14,15,3.000000,0.633210,0.393543,0.633210,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,0.633,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,1835.680,49.243,1835.680,49.243,0.016,0.000,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
13,bpr,15,16,3.000000,0.680980,0.423232,0.680980,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,0.681,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,1974.166,52.958,1974.166,52.958,0.017,0.000,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
14,bpr,16,17,3.000000,1.067520,0.663468,1.067520,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.068,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3094.748,83.018,3094.748,83.018,0.027,0.000,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
15,bpr,17,18,3.000000,1.011240,0.628490,1.011240,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.012,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,2931.592,78.641,2931.592,78.641,0.026,0.000,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
16,bpr,18,19,3.000000,1.086160,0.675053,1.086160,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.087,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3148.786,84.467,3148.786,84.467,0.028,0.000,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
17,bpr,19,20,3.000000,1.198560,0.744910,1.198560,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.199,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3474.634,93.208,3474.634,93.208,0.030,0.000,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
18,bpr,20,21,3.000000,1.123630,0.698341,1.123630,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.124,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3257.411,87.381,3257.411,87.381,0.028,0.000,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
19,bpr,21,22,3.000000,1.329690,0.826408,1.329690,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.330,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3854.781,103.406,3854.781,103.406,0.034,0.000,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
20,bpr,22,23,3.000000,1.065000,0.661902,1.065000,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4664.502,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,4664.502,1.065,59.980,37.278,1.000,0.216,0.216,1800.000,0.000,0.000,0.000,0.250,3.000,388.709,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.935,51.000,3087.443,82.822,3087.443,82.822,0.027,0.000,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",744.109,3404.722,515.671,59.997,59.989,59.981,59.973,59.965,59.957,59.949,59.941,56.959,59.946,59.954,59.962,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,4664.502,3176.284,60.000,59.980,-0.019,0.069,0.216,0.147,0.000,0.002,0.002,period-based
