link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,person_vol_rt,person_vol_dms,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
21,bpr,23,24,3.000000,1.369480,0.851137,1.369480,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.370,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4722.833,126.733,4722.833,126.733,0.083,0.000,"LINESTRING (-112.1173400 33.6398700, -112.1025730 33.6399860)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
22,bpr,24,25,3.000000,1.385800,0.861280,1.385800,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.387,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4779.114,128.244,4779.114,128.244,0.084,0.000,"LINESTRING (-112.1025730 33.6399860, -112.0876300 33.6400890)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
23,bpr,25,26,3.000000,1.404530,0.872921,1.404530,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.405,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4843.708,129.977,4843.708,129.977,0.085,0.000,"LINESTRING (-112.0876300 33.6400890, -112.0724850 33.6401930)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
24,bpr,26,27,3.000000,1.161080,0.721616,1.161080,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.162,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4004.138,107.448,4004.138,107.448,0.070,0.000,"LINESTRING (-112.0724850 33.6401930, -112.0599650 33.6402790)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
25,bpr,27,28,3.000000,1.254750,0.779832,1.254750,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.256,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4327.171,116.116,4327.171,116.116,0.076,0.000,"LINESTRING (-112.0599650 33.6402790, -112.0464350 33.6403720)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
26,bpr,28,29,3.000000,0.983710,0.611380,0.983710,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,0.984,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,3392.454,91.034,3392.454,91.034,0.059,0.000,"LINESTRING (-112.0464350 33.6403720, -112.0388420 33.6465680)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
27,bpr,29,2,3.000000,1.275470,0.792710,1.275470,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5548.849,-1.000,0.000,1488.219,1488.219,0.000,,,,0.000,5548.849,1.276,59.961,37.266,0.999,0.257,0.257,1800.000,0.000,0.000,0.000,0.250,3.000,462.404,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.870,51.000,4398.627,118.034,4398.627,118.034,0.077,0.000,"LINESTRING (-112.0388420 33.6465680, -112.0298670 33.6552860)",744.109,3804.731,1000.009,59.995,59.978,59.962,59.946,59.930,59.913,59.897,59.881,56.919,59.892,59.908,59.924,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1488.219,5548.849,4060.630,60.000,59.961,-0.039,0.069,0.257,0.188,0.000,0.004,0.004,period-based
28,bpr,12,2,4.000000,1.125470,0.699484,1.125470,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,1.126,59.993,37.286,1.000,0.169,0.169,1800.000,0.000,0.000,0.000,0.250,4.000,303.493,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.976,51.000,3396.619,91.097,3396.619,91.097,0.011,0.000,"LINESTRING (-112.0386420 33.6623000, -112.0298670 33.6552860)",4755.891,0.000,100.000,59.999,59.996,59.993,59.990,59.987,59.984,59.981,59.978,56.985,59.980,59.983,59.986,59.989,59.992,59.995,59.998,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,4855.891,-4655.891,59.893,59.993,0.100,0.330,0.169,-0.162,0.011,0.001,-0.011,period-based
29,bpr,1,30,2.000000,2.580210,1.603611,5.160420,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,5.160,30.000,18.645,1.000,0.000,0.000,1800.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.2164130 33.6539160, -112.1885870 33.6541820)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
30,bpr,30,31,2.000000,2.509000,1.559354,5.018000,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,5.018,30.000,18.645,1.000,0.000,0.000,900.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1885870 33.6541820, -112.1615280 33.6543680)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
31,bpr,31,32,2.000000,2.321790,1.443002,4.643580,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,4.644,30.000,18.645,1.000,0.000,0.000,1800.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1615280 33.6543680, -112.1364880 33.6545410)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
32,bpr,32,33,2.000000,1.988710,1.235991,3.977420,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,3.977,30.000,18.645,1.000,0.000,0.000,900.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1364880 33.6545410, -112.1150400 33.6546770)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
33,bpr,34,2,2.000000,3.108150,1.931728,9.324450,-1,0,,network_wide,-1,0,-1,-1,4,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,9.324,20.000,12.430,1.000,0.000,0.000,1800.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,20.000,17.000,0.400,4.000,20.000,17.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.0633880 33.6550440, -112.0298670 33.6552750)",0.000,0.000,0.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,,0.000,0.000,0.000,20.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
34,bpr,33,35,2.000000,2.448820,1.521952,4.897640,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,4.898,30.000,18.645,1.000,0.000,0.000,900.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1150400 33.6546770, -112.0886300 33.6548700)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
35,qvdf,35,34,2.000000,2.340500,1.454630,14.043000,-1,0,,network_wide,-1,0,-1,-1,2,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,14.043,10.000,6.215,1.000,0.000,0.000,900.000,0.000,0.000,0.000,0.250,2.000,0.000,0.955,1.142,0.000,0.000,10.000,8.500,0.400,4.000,10.000,8.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.0886300 33.6548700, -112.0633880 33.6550440)",0.000,0.000,0.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,,0.000,0.000,0.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
36,bpr,36,31,3.000000,0.974320,0.605544,1.948640,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,1.949,30.000,18.645,1.000,0.000,0.000,1000.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,30.000,25.500,0.400,4.000,30.000,25.500,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1688870 33.6606500, -112.1615350 33.6543710)",0.000,0.000,0.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,,0.000,0.000,0.000,30.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
37,bpr,31,36,3.000000,0.974250,0.605500,0.899308,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.899,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1615210 33.6543880, -112.1688730 33.6606660)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
38,bpr,31,37,3.000000,0.964400,0.599378,0.890215,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.890,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1615350 33.6543880, -112.1687240 33.6481020)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
39,bpr,37,31,3.000000,0.964400,0.599378,0.890215,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.890,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1687100 33.6480850, -112.1615210 33.6543710)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
40,bpr,38,33,3.000000,0.892780,0.554866,0.824105,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,884.347,-1.000,0.000,0.000,0.000,0.000,,,,0.000,884.347,0.824,65.000,40.398,1.000,0.039,0.039,1900.000,0.000,0.000,0.000,0.250,3.000,73.696,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,490.694,12.147,490.694,12.147,0.000,0.000,"LINESTRING (-112.1175340 33.6624650, -112.1150510 33.6546850)",0.000,400.009,484.338,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,61.750,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,884.347,884.347,65.000,65.000,-0.000,0.000,0.039,0.039,0.000,0.000,0.000,period-based
41,bpr,33,38,3.000000,0.892880,0.554929,0.824197,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.824,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1150300 33.6546910, -112.1175130 33.6624720)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
42,bpr,33,39,3.000000,0.871390,0.541572,0.804360,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,884.347,-1.000,0.000,0.000,0.000,0.000,,,,0.000,884.347,0.804,65.000,40.398,1.000,0.039,0.039,1900.000,0.000,0.000,0.000,0.250,3.000,73.696,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,478.938,11.856,478.938,11.856,0.000,0.000,"LINESTRING (-112.1150520 33.6546880, -112.1153660 33.6468330)",0.000,400.009,484.338,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,61.750,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,884.347,884.347,65.000,65.000,-0.000,0.000,0.039,0.039,0.000,0.000,0.000,period-based
43,bpr,39,33,3.000000,0.871390,0.541572,0.804360,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.804,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.1153430 33.6468330, -112.1150290 33.6546880)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
44,bpr,40,35,3.000000,0.812430,0.504929,0.749935,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.750,65.000,40.398,1.000,0.000,0.000,1900.000,0.000,0.000,0.000,0.250,3.000,0.000,0.955,1.142,0.000,0.000,65.000,55.250,0.400,4.000,65.000,55.250,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-112.0943640 33.6604190, -112.0886370 33.6548730)",0.000,0.000,0.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,65.000,,0.000,0.000,0.000,65.000,65.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
