first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_agent_type_sequence,information_type,agent_type,demand_period,volume,volume_before_odme,volume_after_odme,volume_diff_odme,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, SA_TT_0,SA_TT_1,SA_TT_2,SA_TT_3,SA_TT_4,SA_TT_5,SA_TT_6,SA_TT_7,SA_TT_8,SA_TT_9,SA_TT_10,SA_TT_11,SA_TT_12,SA_TT_13,SA_TT_14,SA_TT_15,SA_TT_16,SA_TT_17,SA_TT_18,SA_TT_19,SA_TT_20,SA_Vol_0,SA_Delta_Vol_1,SA_Delta_Vol_2,SA_Delta_Vol_3,SA_Delta_Vol_4,SA_Delta_Vol_5,SA_Delta_Vol_6,SA_Delta_Vol_7,SA_Delta_Vol_8,SA_Delta_Vol_9,SA_Delta_Vol_10,SA_Delta_Vol_11,SA_Delta_Vol_12,SA_Delta_Vol_13,SA_Delta_Vol_14,SA_Delta_Vol_15,SA_Delta_Vol_16,SA_Delta_Vol_17,SA_Delta_Vol_18,SA_Delta_Vol_19,SA_Delta_Vol_20,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,1,1,2,0,1,1->2,0,1,,,0,p,AM,4255.8907,0.0000,0.0000,0.0000,4255.8907,4255.8907,0.0000,0,1,1,0,1,0.0,12,0,864017.0,864017.0000,864017.0000,18.6107,11.5666,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,864017.095396,864017.012735,864017.012516,864017.012355,864017.012229,864017.012125,864017.012037,864017.011960,864017.011893,864017.011833,864017.011779,864017.011730,864017.011685,864017.011643,864017.011604,864017.011568,864017.011534,864017.011502,864017.011472,864017.011444,-1.000000,4255.890699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4255.890699,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)",,dms;sa;,,,
,2,1,2,0,1,1->2,1,2,,,0,p,AM,744.1094,0.0000,0.0000,0.0000,744.1094,744.1094,0.0000,0,1,1,0,0,0.0,18,0,18.8,18.8083,18.8083,18.7992,11.6838,1;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;2;,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;,18.799640,18.807853,18.807962,18.808047,18.808116,18.808174,18.808225,18.808270,18.808310,18.808347,18.808381,18.808412,18.808441,18.808468,18.808493,18.808517,18.808540,18.808561,18.808582,18.808601,-1.000000,744.109393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-744.109393,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451, -112.207035 33.644013, -112.202329 33.639298, -112.190818 33.639378, -112.179914 33.639453, -112.168202 33.639534, -112.155278 33.639623, -112.143162 33.639706, -112.128824 33.639805, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,,,,
,3,1,2,0,1,1->2,0,1,,,0,rt,AM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,1,1,1,0.0,12,0,864017.0,864017.0000,864017.0000,18.6107,11.5666,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,864017.095396,864017.012735,864017.012516,864017.012355,864017.012229,864017.012125,864017.012037,864017.011960,864017.011893,864017.011833,864017.011779,864017.011730,864017.011685,864017.011643,864017.011604,864017.011568,864017.011534,864017.011502,864017.011472,864017.011444,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
,4,1,2,0,1,1->2,2,3,,,0,rt,AM,3404.7216,0.0000,0.0000,0.0000,3404.7216,3404.7216,0.0000,0,1,1,1,0,0.0,18,0,18.8,18.8083,18.8083,18.7992,11.6838,1;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;2;,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;,18.799640,18.807853,18.807962,18.808047,18.808116,18.808174,18.808225,18.808270,18.808310,18.808347,18.808381,18.808412,18.808441,18.808468,18.808493,18.808517,18.808540,18.808561,18.808582,18.808601,-1.000000,3404.721560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3404.721560,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451, -112.207035 33.644013, -112.202329 33.639298, -112.190818 33.639378, -112.179914 33.639453, -112.168202 33.639534, -112.155278 33.639623, -112.143162 33.639706, -112.128824 33.639805, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,,,,
,5,1,2,0,1,1->2,0,1,,,0,dms,AM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,1,1,1,0.0,12,0,864017.0,864017.0000,864017.0000,18.6107,11.5666,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,864017.095396,864017.012735,864017.012516,864017.012355,864017.012229,864017.012125,864017.012037,864017.011960,864017.011893,864017.011833,864017.011779,864017.011730,864017.011685,864017.011643,864017.011604,864017.011568,864017.011534,864017.011502,864017.011472,864017.011444,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
,6,1,2,0,1,1->2,1,2,,,0,dms,AM,522.3721,0.0000,0.0000,0.0000,220.3533,522.3721,302.0188,0,1,1,1,0,0.0,18,0,18.8,18.8083,18.8083,18.7992,11.6838,1;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;2;,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;,18.799640,18.807853,18.807962,18.808047,18.808116,18.808174,18.808225,18.808270,18.808310,18.808347,18.808381,18.808412,18.808441,18.808468,18.808493,18.808517,18.808540,18.808561,18.808582,18.808601,-1.000000,220.353312,46.944709,35.203724,28.160119,23.464871,20.111399,17.596467,15.640523,14.075848,12.795717,11.728984,10.826397,10.052777,9.382328,8.795701,8.278103,7.818027,7.406390,7.035925,6.700750,-522.372070,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451, -112.207035 33.644013, -112.202329 33.639298, -112.190818 33.639378, -112.179914 33.639453, -112.168202 33.639534, -112.155278 33.639623, -112.143162 33.639706, -112.128824 33.639805, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,,,,
,7,1,2,0,1,1->2,2,3,,,0,dms,AM,477.6280,0.0000,0.0000,0.0000,779.6467,477.6280,-302.0188,0,1,1,1,3,0.0,17,0,21.5,21.4549,21.4549,21.6920,13.4817,1;3;4;5;6;7;38;33;39;23;24;25;26;27;28;29;2;,1;2;3;4;5;56;40;42;58;21;22;23;24;25;26;27;,21.489171,21.456641,21.456404,21.456231,21.456096,21.455985,21.455891,21.455810,21.455739,21.455676,21.455619,21.455567,21.455520,21.455476,21.455435,21.455397,21.455362,21.455329,21.455297,21.455268,-1.000000,779.646729,-46.944709,-35.203724,-28.160119,-23.464871,-20.111399,-17.596467,-15.640523,-14.075848,-12.795717,-11.728984,-10.826397,-10.052777,-9.382328,-8.795701,-8.278103,-7.818027,-7.406390,-7.035925,-6.700750,-477.627971,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,dms;,,,
,8,4,2,2,1,4->2,0,1,,,0,p,AM,500.0000,0.0000,0.0000,0.0000,500.0000,500.0000,0.0000,0,1,1,0,1,0.0,10,0,864013.2,864013.1875,864013.1875,14.7683,9.1786,4;5;6;7;8;9;10;11;12;2;,3;4;5;6;7;10;8;9;28;,864013.240510,864013.168841,864013.168678,864013.168558,864013.168464,864013.168387,864013.168321,864013.168265,864013.168215,864013.168170,864013.168129,864013.168093,864013.168059,864013.168028,864013.167999,864013.167972,864013.167946,864013.167923,864013.167900,864013.167879,-1.000000,500.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-500.000009,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)",,sa;,,,
,9,4,2,2,1,4->2,0,1,,,0,rt,AM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,1,1,1,0.0,10,0,864013.2,864013.1875,864013.1875,14.7683,9.1786,4;5;6;7;8;9;10;11;12;2;,3;4;5;6;7;10;8;9;28;,864013.240510,864013.168841,864013.168678,864013.168558,864013.168464,864013.168387,864013.168321,864013.168265,864013.168215,864013.168170,864013.168129,864013.168093,864013.168059,864013.168028,864013.167999,864013.167972,864013.167946,864013.167923,864013.167900,864013.167879,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
,10,4,2,2,1,4->2,2,3,,,0,rt,AM,400.0090,0.0000,0.0000,0.0000,400.0090,400.0090,0.0000,0,1,1,1,0,0.0,15,0,17.6,17.6114,17.6114,17.8497,11.0937,4;5;6;7;38;33;39;23;24;25;26;27;28;29;2;,3;4;5;56;40;42;58;21;22;23;24;25;26;27;,17.634284,17.612746,17.612566,17.612434,17.612331,17.612247,17.612176,17.612115,17.612061,17.612013,17.611969,17.611930,17.611894,17.611861,17.611830,17.611801,17.611774,17.611749,17.611725,17.611703,-1.000000,400.009007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-400.009007,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,,,,
,11,4,2,2,1,4->2,0,1,,,1,dms,AM,100.0000,0.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0,1,1,0,1,0.0,11,0,864013.2,864013.1875,864013.1875,14.7683,9.1786,-4;4;5;6;7;8;9;10;11;12;2;,connector;3;4;5;6;7;10;8;9;28;,864013.240510,864013.168841,864013.168678,864013.168558,864013.168464,864013.168387,864013.168321,864013.168265,864013.168215,864013.168170,864013.168129,864013.168093,864013.168059,864013.168028,864013.167999,864013.167972,864013.167946,864013.167923,864013.167900,864013.167879,-1.000000,100.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000002,"LINESTRING (-112.182704 33.667637, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)",,sa;,,,
