link_id,tmc_corridor_name,tmc_road_sequence,tmc,link_type_name,from_node_id,to_node_id,geometry,link_type_code,FT,AT,nlanes,link_distance_VDF,free_speed,capacity,k_critical,v_congestion_cutoff,AM_Volume,AM_speed_BPR,AM_speed_QVDF, AM_t0,AM_t3,AM_P, AM_D,AM_DC_ratio,AM_mu,AM_gamma,vh06,vh07,vh08,vh09,vh10,vh11,vh12,vh13,vh14,vh15,vh16,vh17,vh18,vh19,vrh06,vrh07,vrh08,vrh09,vrh10,vrh11,vrh12,vrh13,vrh14,vrh15,vrh16,vrh17,vrh18,vrh19,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,vr06:00,vr06:15,vr06:30,vr06:45,vr07:00,vr07:15,vr07:30,vr07:45,vr08:00,vr08:15,vr08:30,vr08:45,vr09:00,vr09:15,vr09:30,vr09:45,vr10:00,vr10:15,vr10:30,vr10:45,vr11:00,vr11:15,vr11:30,vr11:45,vr12:00,vr12:15,vr12:30,vr12:45,vr13:00,vr13:15,vr13:30,vr13:45,vr14:00,vr14:15,vr14:30,vr14:45,vr15:00,vr15:15,vr15:30,vr15:45,vr16:00,vr16:15,vr16:30,vr16:45,vr17:00,vr17:15,vr17:30,vr17:45,vr18:00,vr18:15,vr18:30,vr18:45,vr19:00,vr19:15,vr19:30,vr19:45,
1,network_wide,-1,,,1,3,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",,1,1,0,1.212181,60.000000,1900.000000,45.000000,51.000000,6799.680359,59.928888,59.764790, 7.996223,8.003777,0.007554, 566.640030,0.298232,1900.000000,109819674350.748001,59.946,59.828,59.088,59.936,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.971,59.941,59.912,59.882,59.853,59.823,59.794,51.000,59.794,59.823,59.853,59.882,59.912,59.941,59.971,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
2,network_wide,-1,,,3,4,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",,1,1,0,1.175861,60.000000,1800.000000,45.000000,51.000000,6799.680359,59.911744,59.708278, 7.995311,8.004689,0.009378, 566.640030,0.314800,1800.000000,43802765160.020988,59.933,59.787,59.049,59.921,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.963,59.927,59.890,59.854,59.817,59.781,59.744,51.000,59.744,59.781,59.817,59.854,59.890,59.927,59.963,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
3,network_wide,-1,,,4,5,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",,1,1,0,1.128639,60.000000,1800.000000,45.000000,51.000000,7799.680359,59.847374,59.496754, 7.991882,8.008118,0.016236, 649.973363,0.361096,1800.000000,4876280518.799710,59.884,59.632,58.903,59.863,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.937,59.874,59.811,59.747,59.684,59.621,59.558,51.000,59.558,59.621,59.684,59.747,59.811,59.874,59.937,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
4,network_wide,-1,,,5,6,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",,1,1,0,1.291529,60.000000,1800.000000,45.000000,51.000000,7799.680359,59.847374,59.496754, 7.991882,8.008118,0.016236, 649.973363,0.361096,1800.000000,4876280518.799710,59.884,59.632,58.903,59.863,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.937,59.874,59.811,59.747,59.684,59.621,59.558,51.000,59.558,59.621,59.684,59.747,59.811,59.874,59.937,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
5,network_wide,-1,,,6,7,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",,1,1,0,1.175134,60.000000,1800.000000,45.000000,51.000000,7799.680359,59.847374,59.496754, 7.991882,8.008118,0.016236, 649.973363,0.361096,1800.000000,4876280518.799710,59.884,59.632,58.903,59.863,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.937,59.874,59.811,59.747,59.684,59.621,59.558,51.000,59.558,59.621,59.684,59.747,59.811,59.874,59.937,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
6,network_wide,-1,,,7,8,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",,1,1,0,1.279888,60.000000,1800.000000,45.000000,51.000000,5745.736267,59.954972,59.850915, 7.997609,8.002391,0.004781, 478.811356,0.266006,1800.000000,648315611431.491211,59.966,59.891,59.147,59.960,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.981,59.963,59.944,59.925,59.907,59.888,59.869,51.000,59.869,59.888,59.907,59.925,59.944,59.963,59.981,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
7,network_wide,-1,,,8,9,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",,1,1,0,1.058800,60.000000,1800.000000,45.000000,51.000000,5745.736267,59.954972,59.850915, 7.997609,8.002391,0.004781, 478.811356,0.266006,1800.000000,648315611431.491211,59.966,59.891,59.147,59.960,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.981,59.963,59.944,59.925,59.907,59.888,59.869,51.000,59.869,59.888,59.907,59.925,59.944,59.963,59.981,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
8,network_wide,-1,,,10,11,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",,1,1,0,0.930833,60.000000,1800.000000,45.000000,51.000000,5745.736267,59.772738,59.252800, 7.987897,8.012103,0.024205, 718.217033,0.399009,1800.000000,987021770.003019,59.828,59.452,58.733,59.796,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.906,59.812,59.718,59.624,59.530,59.436,59.342,51.000,59.342,59.436,59.530,59.624,59.718,59.812,59.906,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
9,network_wide,-1,,,11,12,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",,1,1,0,0.613661,60.000000,1800.000000,45.000000,51.000000,5745.736267,59.954972,59.850915, 7.997609,8.002391,0.004781, 478.811356,0.266006,1800.000000,648315611431.491211,59.966,59.891,59.147,59.960,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,59.981,59.963,59.944,59.925,59.907,59.888,59.869,51.000,59.869,59.888,59.907,59.925,59.944,59.963,59.981,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
10,network_wide,-1,,,9,10,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",,1,1,0,1.000603,60.000000,1800.000000,45.000000,51.000000,5745.736267,17.770853,9.581163, 6.949568,9.050432,2.100864, 3591.085113,1.995047,1709.337337,858.212687,55.656,15.990,12.496,54.634,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,0.314,0.245,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,60.000,57.631,55.261,52.892,47.733,17.752,9.007,6.427,5.800,6.427,9.007,17.752,47.733,52.892,55.261,57.631,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,1.000,1.000,1.000,1.000,0.936,0.348,0.177,0.126,0.114,0.126,0.177,0.348,0.936,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
