stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,district
10,17501,27th Av/Baseline PNR,,33.377274,-112.117589,,,0,,PH
100,16619,Bell Rd & 44th St,,33.64048337,-111.9860836,,,0,,PH
1002,15234,Alice Av & 66th Dr,,33.56353253,-112.2009471,,,0,,GL
10021,16877,3rd St & Taylor St,,33.45312081,-112.0700826,,,0,,PH
1003,13532,Atlanta Av & 11th Av,,33.4000364,-112.0858039,,,0,,PH
1004,14926,Baseline Rd & 19th Av,,33.377644,-112.0985289,,,0,,PH
1005,11503,Baseline Rd & 35th Av,,33.37751097,-112.133145,,,0,,PH
1006,10819,Baseline Rd & 7th Av,,33.37760769,-112.0821369,,,0,,PH
1007,14950,Baseline Rd & Terry Ln,,33.37807901,-111.9554215,,,0,,TE
1008,14928,Baseline Rd & 15th Av,,33.37761392,-112.0914515,,,0,,PH
1009,14722,27th Av/Baseline PNR,,33.37754533,-112.1180078,,,0,,PH
101,16620,Bell Rd & 4612 East,,33.64043868,-111.9798563,,,0,,PH
1010,11505,Baseline Rd & 29th Av,,33.37757473,-112.1214479,,,0,,PH
10104,50012,12th St & Liberty Ln (Flag Zone),,33.295379,-112.057755,,,0,,PH
1011,10760,Baseline Rd & 4th Av,,33.37764212,-112.0786642,,,0,,PH
1012,13303,Baseline Rd & 48th St,,33.37803349,-111.9777277,,,0,,TE
1013,14949,Baseline Rd & Beck Av,,33.37809714,-111.9581565,,,0,,TE
10131,17507,Chandler PNR,,33.275377,-111.833231,,,0,,CH
10133,10763,Manistee Manor,,33.552582,-112.171956,,,0,,GL
1014,14968,Baseline Rd & Dobson Rd,,33.37838207,-111.8770681,,,0,place_DOBA,ME
10142,10765,Sunnyslope TC,,33.567123,-112.069363,,,0,,PH
1015,18460,7th St & Union Hills Dr,,33.65525824,-112.0653616,,,0,,PH
1016,14225,Baseline Rd & Kyrene Rd,,33.3780073,-111.9454541,,,0,,TE
1019,18461,7th St & Westcott Dr,,33.65908958,-112.0654617,,,0,,PH
102,16623,Bell Rd & 52nd St,,33.64036946,-111.9682694,,,0,,PH
1020,14947,Baseline Rd & Priest Dr,,33.37805712,-111.9624723,,,0,,TE
1022,18462,7th St & Utopia Dr,,33.66255962,-112.0654727,,,0,,PH
1023,18463,7th St & Behrend Dr,,33.66625213,-112.0654426,,,0,,PH
10231,50146,Cholla St & 19th Av (Flag Zone),,33.589283,-112.098853,,,0,,PH
1024,16585,Bell Rd & 41st Av,,33.63925953,-112.1462735,,,0,,PH
1025,16597,Bell Rd & 11th Av,,33.6400372,-112.0867097,,,0,,PH
10258,50154,Cinnabar Av & 15th St (Flag Zone),,33.576629,-112.050246,,,0,,PH
1026,16596,Bell Rd & 15th Av,,33.64001368,-112.0909946,,,0,,PH
1027,16595,Bell Rd & 17th Av,,33.64000682,-112.0950439,,,0,,PH
10272,10775,Sunnyslope TC,,33.567025,-112.069340,,,0,,PH
1028,16594,Bell Rd & 19th Av,,33.63994917,-112.0987754,,,0,,PH
10280,50156,Sunnyslope Manor (Flag Zone),,33.562889,-112.071478,,,0,,PH
1029,16593,Bell Rd & 21st Av,,33.63991747,-112.1027928,,,0,,PH
103,16624,Bell Rd & 54th St,,33.64034836,-111.9642778,,,0,,PH
1030,16592,Bell Rd & 23rd Av,,33.63986996,-112.1078832,,,0,,PH
1031,16591,Bell Rd & 29th Av,,33.63965622,-112.1208321,,,0,,PH
1032,16590,Bell Rd & 31st Av,,33.63961089,-112.1245942,,,0,,PH
1033,16589,Bell Rd & 33rd Dr,,33.63952691,-112.1295439,,,0,,PH
