first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_co2_kg,avg_nox_kg,
,0,base,am7,auto,2700,1,81000,50341.8,287486,2.88E+06,452.884,30,18.6451,106.476,1067.26,0.167735,57.2407764
,0,base,am7,info,300,2,16935,10525.2,19649.9,970230,188.484,56.4499,35.0839,65.4998,3234.1,0.628279,92.181884
,0,base,am8,auto,2700,1,81000,50341.8,88971.6,1.08E+07,2225.87,30,18.6451,32.9525,3998.65,0.824396,214.4611721
,0,base,am8,info,300,1,9000,5593.54,9885.74,1.38E+06,294.364,30,18.6451,32.9525,4615.62,0.981213,247.5513674
,0,base,am9,auto,2700,1,81000,50341.8,88971.6,1.41E+07,3072.68,30,18.6451,32.9525,5232.59,1.13803,280.6415627
,0,base,am9,info,300,1,9000,5593.54,9885.74,1.75E+06,388.454,30,18.6451,32.9525,5849.56,1.29485,313.7317579
,0,base,am10,auto,2700,1,81000,50341.8,88971.6,1.75E+07,3919.49,30,18.6451,32.9525,6466.53,1.45166,346.8219532
,0,base,am10,info,300,1,9000,5593.54,9885.74,2.13E+06,482.544,30,18.6451,32.9525,7083.5,1.60848,379.9121485
,1,info,am7,auto,1500,1,45000,27967.7,157711,1.61E+06,257.732,30,18.6451,105.141,1070.02,0.171822,57.38880457
,1,info,am7,info,1500,2,84024.2,52221.4,98991.6,4.83E+06,947.476,56.0162,34.8143,65.9944,3221.58,0.63165,92.53611303
,1,info,am8,auto,1500,1,45000,27967.7,45421.9,6.01E+06,1261.11,30,18.6451,30.2813,4009.67,0.840743,215.0522121
,1,info,am8,info,1500,1,45000,27967.7,45421.9,6.95E+06,1508.6,30,18.6451,30.2813,4632.15,1.00573,248.4379274
,1,info,am9,auto,1500,1,45000,27967.7,45421.9,7.88E+06,1756.09,30,18.6451,30.2813,5254.62,1.17072,281.8231063
,1,info,am9,info,1500,1,45000,27967.7,45421.9,8.82E+06,2003.57,30,18.6451,30.2813,5877.1,1.33571,315.2088216
,1,info,am10,auto,1500,1,45000,27967.7,45421.9,9.75E+06,2251.06,30,18.6451,30.2813,6499.58,1.5007,348.5945369
,1,info,am10,info,1500,1,45000,27967.7,45421.9,1.07E+07,2498.54,30,18.6451,30.2813,7122.06,1.6657,381.9802522
